score,relative_path,suffix,size,sha1_head,tags,name_hits,content_hits,reference_hits,mp_QueryName,mp_ScriptName,ActivationRadius
89,content/dlc/zombiepack/gringos/dlc_mourn_suicide_original.xml,.xml,5754,51AFE5DE1927F427B573D28707406AE5A61F9451,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,AttachProp,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_nun_bencha.xml,.xml,5029,4D558F685A18B31D07F398B45F92771E31A64325,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_nun_benchb.xml,.xml,5029,6558AF2A7EF28F7E4BE931FAD7ED26F21AEF0829,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_nun_benchc.xml,.xml,5029,C6CFFBA89A5087C15AC75C271F93A05A62749D00,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_outbreak3.xml,.xml,4750,EB36778F19759F8823C4EE6BE60E7C71612C257F,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SpawnPoint,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_rcm_mother_superior.xml,.xml,9332,B1930E49BA9E55DD3F2A70E769A4EDFF906AF46F,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SpeechConts,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_robber_struggle.xml,.xml,9894,4D1E7D17E74EDEA84770472F82DCF13FE5879798,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SpeechConts,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_sasquatch2.xml,.xml,4754,A4EDA823DF73A80DEC66B7991223FF4D9F43025C,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SpawnPoint,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_stand_kneelvomit_n_any.xml,.xml,3848,777F137CF5583A2E59ACAC1B19362051EEFF1D89,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_survivor_fight.xml,.xml,5046,31EFBBB70F50E52E10F0C3794AB8E475120BB113,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_survivor_kneel_rfl.xml,.xml,5037,B85C0FD14241090DCB6F7C5A877399FE7A68C128,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_survivor_low_wall_rfl.xml,.xml,5046,8D6B4367104F367CD81EE63A4CD202459042F856,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_survivor_roof_rfl.xml,.xml,5034,D687C6587B304C434124354BC1A160B4CB9A0328,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_survivor_stand_rfl.xml,.xml,5037,E15F9756F7D7F6A0FA15080F5B40D6A4425D551A,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_survivor_window_rfl.xml,.xml,5040,90F15F1E5774C624636155B8A13E326B37DDB524,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_unforgiven.xml,.xml,9868,C1BCB637A0D1CBBA719FAE0BC4D4B297D567024D,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SpeechConts,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/treasure_hunter_handoff_z.xml,.xml,9979,83E5D74E74EC8964A85667B33A4BBAA66F651766,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,UseAnim,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/z_dlc_family_overrun.xml,.xml,9927,8964388CB726A5A8752FC5F0F8D8259D5A5C5E5C,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SpeechConts,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/z_dlc_z_beat_door.xml,.xml,5043,68885F25C78F4CD26A16706B176759A627B4BDDB,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/z_dlc_z_climb.xml,.xml,5031,6E20C7E8B3842C90ACA016ECF014C6118A44F0DB,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/z_dlc_z_family.xml,.xml,10888,E672D8A1AE4EDF46F83E0727E321B222ECCB79E7,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,AttachProp,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/z_dlc_z_overrun_attack1.xml,.xml,9893,187CA432043AD49519B6B064CAF732E0FB2D3358,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SpeechConts,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/z_dlc_z_overrun_attack2.xml,.xml,9892,C87987CFB54E70784DAB13B1E7718E2512E72B8A,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SpeechConts,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/z_dlc_z_overrun_attacked.xml,.xml,5034,7D89113C3A2C8D62B3CD2F9C05E98CD901BA743C,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0
