score,relative_path,size,sha1,mp_QueryName,mp_ScriptName,ActivationRadius,bCritical,bMaintainState,bLargeScript
20,content/dlc/zombiepack/gringos/horse_deed_war_z.xml,1105,6E7B5B5CD1C4E358891000D56EBF06940AD94D1A,ItemAttribs,content\scripting\gringo\ItemScripts\Horse_Deed,0.0,false,true,false
20,content/dlc/zombiepack/gringos/missing_persons_poster.xml,2707,72ED089D94F0F070DEB3EE252E1120D3AC30E439,UseAnim,content\DLC\ZombiePack\gringos\Scripts\MissingPersonsPoster,0.0,false,true,false
20,content/dlc/zombiepack/gringos/mp_opencoffin.xml,24153,7EF24F198519CEBA4C5656293EA18DBEB68E9429,TargetSkelAnim,content\DLC\ZombiePack\Gringos\Scripts\MP_CoffinPick,3.0,false,true,false
20,content/dlc/zombiepack/gringos/phosphorous.xml,1387,D997B50D92196099500FCED5508BCD289E3A5A09,UseAnim,content\DLC\ZombiePack\gringos\Scripts\Phosphorous,0.0,false,true,false
20,content/dlc/zombiepack/gringos/treasure_hunter_handoff_z.xml,9979,83E5D74E74EC8964A85667B33A4BBAA66F651766,UseAnim,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/z_dlc_family_overrun.xml,9927,8964388CB726A5A8752FC5F0F8D8259D5A5C5E5C,SpeechConts,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/z_dlc_z_beat_door.xml,5043,68885F25C78F4CD26A16706B176759A627B4BDDB,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/z_dlc_z_climb.xml,5031,6E20C7E8B3842C90ACA016ECF014C6118A44F0DB,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/z_dlc_z_family.xml,10888,E672D8A1AE4EDF46F83E0727E321B222ECCB79E7,AttachProp,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/z_dlc_z_overrun_attack1.xml,9893,187CA432043AD49519B6B064CAF732E0FB2D3358,SpeechConts,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/z_dlc_z_overrun_attack2.xml,9892,C87987CFB54E70784DAB13B1E7718E2512E72B8A,SpeechConts,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/z_dlc_z_overrun_attacked.xml,5034,7D89113C3A2C8D62B3CD2F9C05E98CD901BA743C,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/z_dlc_z_overrun_dropgun.xml,5033,EBD3D745BB890796B53E5FF4D2225A95CC08E26C,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/z_dlc_z_overrun_suicide.xml,5033,90ACDAE0716DE4FDD12342DF29698867DEF69441,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/zombie_treasure_hunting_1.xml,8189,674AF7FE1A63E0E5D04D4D0E8372211AB2C0BEAE,BoxAnimation,content\DLC\ZombiePack\Gringos\Scripts\ZombiePack_Treasure,75.0,false,true,false
