score,relative_path,suffix,size,sha1_head,name_hits,content_hits,snippets
45,content/release64/dlc/zombiepack/gringos/scripts/holy_relic.wsc,.wsc,6702,8010CE9D2464CA124E8A1093A70EA875E78ACE31,content;gringo;release64;script;wsc,,
45,content/release64/dlc/zombiepack/gringos/scripts/missingpersonsposter.sco,.sco,7212,0B2F13EAF2B2DE1303E50A7440EB2ECE5A8A2921,content;gringo;release64;sco;script,,
45,content/release64/dlc/zombiepack/gringos/scripts/missingpersonsposter.wsc,.wsc,6989,9296886D67B5F741CA4F6E2C77E169D3C83E7637,content;gringo;release64;script;wsc,,
45,content/release64/dlc/zombiepack/gringos/scripts/mp_coffinpick.sco,.sco,8465,C03484CF25292FE4D299B9CB0C1B1C871135B1D1,content;gringo;release64;sco;script,,
45,content/release64/dlc/zombiepack/gringos/scripts/mp_coffinpick.wsc,.wsc,8280,C5B5494E82867EF8215672FD00188816352E747F,content;gringo;release64;script;wsc,,
45,content/release64/dlc/zombiepack/gringos/scripts/phosphorous.sco,.sco,7118,D42C44AFF4498432D1494F35D9FF988CAE3DFF72,content;gringo;release64;sco;script,,
45,content/release64/dlc/zombiepack/gringos/scripts/phosphorous.wsc,.wsc,6954,F64EF20C01DE15DB06DA35A0956BFA3DCB3B19BF,content;gringo;release64;script;wsc,,
45,content/release64/dlc/zombiepack/gringos/scripts/zombiebaitkit.sco,.sco,7101,69B02324907A324014011481CB257253CDCE2B82,content;gringo;release64;sco;script,,
45,content/release64/dlc/zombiepack/gringos/scripts/zombiebaitkit.wsc,.wsc,6936,FE1E57EDEAF3A46AD092A94E14013B3772F4FA23,content;gringo;release64;script;wsc,,
45,content/release64/dlc/zombiepack/gringos/scripts/zombieboomkit.sco,.sco,6606,7BD84829DAAE2C1CD18681C90D85B8D16C64F1AD,content;gringo;release64;sco;script,,
45,content/release64/dlc/zombiepack/gringos/scripts/zombieboomkit.wsc,.wsc,6474,B6A67E5D7985CD77913B8736898762B32B0A32FB,content;gringo;release64;script;wsc,,
45,content/release64/dlc/zombiepack/gringos/scripts/zombiepack_footlocker.sco,.sco,14031,3D57E41AAC1833231D9B3A8FCF06886808747F28,content;gringo;release64;sco;script,,
45,content/release64/dlc/zombiepack/gringos/scripts/zombiepack_footlocker.wsc,.wsc,13457,3952CD119DE47DA6CD2A0BF9EBDA7D96EB21DC56,content;gringo;release64;script;wsc,,
45,content/release64/dlc/zombiepack/gringos/scripts/zombiepack_lootzombie.sco,.sco,15936,F9D9F1330C4B5BC2A9453B9772EA392D2BB208D7,content;gringo;release64;sco;script,,
45,content/release64/dlc/zombiepack/gringos/scripts/zombiepack_lootzombie.wsc,.wsc,15178,FAA1FDE83E4EA45A344E50B1B3AA86B1ECB4A2CB,content;gringo;release64;script;wsc,,
45,content/release64/dlc/zombiepack/gringos/scripts/zombiepack_sleepgringo.sco,.sco,10740,5CD3CF25B2D28A457EEE63E80E1EB39A012D1C95,content;gringo;release64;sco;script,,
45,content/release64/dlc/zombiepack/gringos/scripts/zombiepack_sleepgringo.wsc,.wsc,10469,2F4F169D107A90FBD9C965B740DD126EDA7F960A,content;gringo;release64;script;wsc,,
45,content/release64/dlc/zombiepack/gringos/scripts/zombiepack_treasure.sco,.sco,19138,1386532A6847001439D0C44648138CF2BF8B6337,content;gringo;release64;sco;script,,
45,content/release64/dlc/zombiepack/gringos/scripts/zombiepack_treasure.wsc,.wsc,18327,28F542BECBF0937505AE0CB82924747F41FF1C47,content;gringo;release64;script;wsc,,
45,content/release64/dlc/zombiepack/north/tall_trees/pacific_union_railroad_camp/pacificunionrailroadcamp_z.sco,.sco,30358,690EF9FAFDDCD8E5076F624A7FC20C6BE71BC58A,camp;content;release64;sco,,
45,content/release64/dlc/zombiepack/north/tall_trees/pacific_union_railroad_camp/pacificunionrailroadcamp_z.wsc,.wsc,28456,4844D955DE612B8211F53D16A2A3F2CFC1772387,camp;content;release64;wsc,,
45,content/release64/north/tall_trees/pacific_union_railroad_camp/pacificunionrailroadcamp.wsc,.wsc,13316,A4CE97F6530D0C7C1536FA1461FC40947ABA5A52,camp;content;release64;wsc,,
45,content/release64/north/tall_trees/pacific_union_railroad_camp/pacificunionrailroadcampvol.wsc,.wsc,8073,4CE0DFE6D9138C640C1EFF639D58F1A169F97B09,camp;content;release64;wsc,,
45,content/release64/scripting/gringo/commonscripts/ai_lockpick_safe.wsc,.wsc,8842,0C01695FC3A2AC1D682366FBF15399EFBC16C367,content;gringo;release64;script;wsc,,
45,content/release64/scripting/gringo/commonscripts/ammocrate.wsc,.wsc,8370,FD3075B2446FAA4082731B37C1074918972CBA45,content;gringo;release64;script;wsc,,
45,content/release64/scripting/gringo/commonscripts/animal_eating.wsc,.wsc,8855,D6D7A0F5A5D54C46E26FEAA4A7A69DC65F5B998C,content;gringo;release64;script;wsc,,
45,content/release64/scripting/gringo/commonscripts/animalnointerrupt.wsc,.wsc,8781,FFD69A3EB8FD2B0B5C993AC0AD28F45EC02E76B2,content;gringo;release64;script;wsc,,
45,content/release64/scripting/gringo/commonscripts/attachanimgringo.wsc,.wsc,8730,7947BE671959D726FAADB7EFA543C6409AB92B81,content;gringo;release64;script;wsc,,
45,content/release64/scripting/gringo/commonscripts/aztecgold_treasure.wsc,.wsc,9119,FB0296D84F60B1FD733718B045D0B00F53B124CF,content;gringo;release64;script;wsc,,
45,content/release64/scripting/gringo/commonscripts/bandito_harass.wsc,.wsc,8895,3BF79882262B1F9AD4B43DCFA08DAADA83CE2EBC,content;gringo;release64;script;wsc,,
45,content/release64/scripting/gringo/commonscripts/bartendgringo.wsc,.wsc,14605,1E7131464CA75517BB0F07F23F2C4AC8E1BF29C3,content;gringo;release64;script;wsc,,
45,content/release64/scripting/gringo/commonscripts/blowthehatchgringo.wsc,.wsc,8656,8AFC8F0F56175C5E18D5D60BAE1DCA29FCFB4CBF,content;gringo;release64;script;wsc,,
45,content/release64/scripting/gringo/commonscripts/bodyleftfordead.wsc,.wsc,8747,6FED87FAF6A99B5FF0DF0787B8AC0C529094FC09,content;gringo;release64;script;wsc,,
45,content/release64/scripting/gringo/commonscripts/cannibalfamclue.wsc,.wsc,8883,2D85933C6171AA6766C2A9BFDC68CC2541C6F569,content;gringo;release64;script;wsc,,
45,content/release64/scripting/gringo/commonscripts/chair_weaponkill.wsc,.wsc,8783,3575B6A8E8C8AD12E2DF0CF9CEB287E3033B92DF,content;gringo;release64;script;wsc,,
