offset,offset_hex,opcode,kind,semantics,instruction_size,instruction_hex,delta,target_candidate
42941,0xA7BD,84,call_candidate,call2,3,54 10 1B,4123,47067
42948,0xA7C4,85,call_candidate,call2,3,55 6B F6,27638,70589
42955,0xA7CB,84,call_candidate,call2,3,54 10 1B,4123,47081
42962,0xA7D2,85,call_candidate,call2,3,55 6B F6,27638,70603
42969,0xA7D9,84,call_candidate,call2,3,54 10 1B,4123,47095
42976,0xA7E0,85,call_candidate,call2,3,55 6B F6,27638,70617
42983,0xA7E7,84,call_candidate,call2,3,54 10 1B,4123,47109
42988,0xA7EC,98,branch_candidate,unconditional_jump,3,62 02 FD,765,43756
43005,0xA7FD,99,branch_candidate,jump_false,3,63 00 2F,47,43055
43012,0xA804,85,call_candidate,call2,3,55 6B F6,27638,70653
43019,0xA80B,84,call_candidate,call2,3,54 10 1B,4123,47145
43026,0xA812,85,call_candidate,call2,3,55 6B F6,27638,70667
43033,0xA819,84,call_candidate,call2,3,54 10 1B,4123,47159
43040,0xA820,85,call_candidate,call2,3,55 6B F6,27638,70681
43047,0xA827,84,call_candidate,call2,3,54 10 1B,4123,47173
43052,0xA82C,98,branch_candidate,unconditional_jump,3,62 02 BD,701,43756
43068,0xA83C,99,branch_candidate,jump_false,3,63 00 47,71,43142
43074,0xA842,85,call_candidate,call2,3,55 6B F6,27638,70715
43081,0xA849,84,call_candidate,call2,3,54 10 1B,4123,47207
43087,0xA84F,85,call_candidate,call2,3,55 6B F6,27638,70728
43094,0xA856,84,call_candidate,call2,3,54 10 1B,4123,47220
43101,0xA85D,85,call_candidate,call2,3,55 6B F6,27638,70742
43108,0xA864,84,call_candidate,call2,3,54 10 1B,4123,47234
43114,0xA86A,85,call_candidate,call2,3,55 6B F6,27638,70755
43121,0xA871,84,call_candidate,call2,3,54 10 1B,4123,47247
43127,0xA877,85,call_candidate,call2,3,55 6B F6,27638,70768
43134,0xA87E,84,call_candidate,call2,3,54 10 1B,4123,47260
43139,0xA883,98,branch_candidate,unconditional_jump,3,62 02 66,614,43756
43153,0xA891,99,branch_candidate,jump_false,3,63 00 3D,61,43217
43160,0xA898,85,call_candidate,call2,3,55 6B F6,27638,70801
43167,0xA89F,84,call_candidate,call2,3,54 10 1B,4123,47293
43174,0xA8A6,85,call_candidate,call2,3,55 6B F6,27638,70815
43181,0xA8AD,84,call_candidate,call2,3,54 10 1B,4123,47307
43188,0xA8B4,85,call_candidate,call2,3,55 6B F6,27638,70829
43195,0xA8BB,84,call_candidate,call2,3,54 10 1B,4123,47321
43202,0xA8C2,85,call_candidate,call2,3,55 6B F6,27638,70843
43209,0xA8C9,84,call_candidate,call2,3,54 10 1B,4123,47335
43214,0xA8CE,98,branch_candidate,unconditional_jump,3,62 02 1B,539,43756
43232,0xA8E0,99,branch_candidate,jump_false,3,63 00 21,33,43268
43239,0xA8E7,85,call_candidate,call2,3,55 6B F6,27638,70880
43246,0xA8EE,84,call_candidate,call2,3,54 10 1B,4123,47372
43253,0xA8F5,85,call_candidate,call2,3,55 6B F6,27638,70894
43260,0xA8FC,84,call_candidate,call2,3,54 10 1B,4123,47386
43265,0xA901,98,branch_candidate,unconditional_jump,3,62 01 E8,488,43756
43283,0xA913,99,branch_candidate,jump_false,3,63 00 4B,75,43361
43290,0xA91A,85,call_candidate,call2,3,55 6B F6,27638,70931
43297,0xA921,84,call_candidate,call2,3,54 10 1B,4123,47423
43304,0xA928,85,call_candidate,call2,3,55 6B F6,27638,70945
43311,0xA92F,84,call_candidate,call2,3,54 10 1B,4123,47437
43318,0xA936,85,call_candidate,call2,3,55 6B F6,27638,70959
43325,0xA93D,84,call_candidate,call2,3,54 10 1B,4123,47451
43332,0xA944,85,call_candidate,call2,3,55 6B F6,27638,70973
43339,0xA94B,84,call_candidate,call2,3,54 10 1B,4123,47465
43346,0xA952,85,call_candidate,call2,3,55 6B F6,27638,70987
43353,0xA959,84,call_candidate,call2,3,54 10 1B,4123,47479
43358,0xA95E,98,branch_candidate,unconditional_jump,3,62 01 8B,395,43756
43374,0xA96E,99,branch_candidate,jump_false,3,63 00 4B,75,43452
43381,0xA975,85,call_candidate,call2,3,55 6B F6,27638,71022
43388,0xA97C,84,call_candidate,call2,3,54 10 1B,4123,47514
43395,0xA983,85,call_candidate,call2,3,55 6B F6,27638,71036
43402,0xA98A,84,call_candidate,call2,3,54 10 1B,4123,47528
43409,0xA991,85,call_candidate,call2,3,55 6B F6,27638,71050
43416,0xA998,84,call_candidate,call2,3,54 10 1B,4123,47542
43423,0xA99F,85,call_candidate,call2,3,55 6B F6,27638,71064
