score,path,suffix,size,terms,excerpt
40,research/wft_wedt_attachment_lab/smic_attachment_map.csv,.csv,119028,bandit|bandito,"L255: tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,607,player_bandito,2,2,smic_player_bandito_1 smic_player_default_hand_1_rm,1,0,0,0"
40,research/dualgun_left_hand_bypass/smic_player_hand_rows.csv,.csv,15714,bandit|bandito,"L2: tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,607,player_bandito,2,2,smic_player_bandito_1 smic_player_default_hand_1_rm,1,0,0,0"
40,research/CodeRed_Navres_Terrain_Navigation_Findings_Pass12.txt,.txt,4173,gang|hostile,L35: - tune/settings/default.traffic can carry road/trail/route-pressure metadata for law/gang/vehicle/train activity.
40,research/CodeRED_RESEARCH_MANIFEST.csv,.csv,8741,gang|lawman,"L13: ai,IMPORTANT All-Root NPC AI Factions Slice,IMPORTANT_readable_root_index_2026-05-02/categories/npc_ai_factions.csv,csv,Current all-root faction hostility companion follow lawman gang leads"
40,research/CodeRED_Gringo_Vehicle_Research_Pass_2026-04-29.md,.md,7379,gang|relation,L160: FBI01_gang
40,data/codered/script_workshop_extension_manifest.json,.json,2784831,enemy|hostile,"L70: ""AI_IS_HOSTILE_OR_ENEMY"","
40,data/codered/script_workshop_decode_manifest.json,.json,2784831,enemy|hostile,"L70: ""AI_IS_HOSTILE_OR_ENEMY"","
40,data/codered/ai_menu_bridge_integration_manifest.json,.json,1255,enemy|hostile,"L22: ""AI_IS_HOSTILE_OR_ENEMY"": 2"
20,research/terrainboundres_probe/map_layer_correlation_master.json,.json,659,relation,
20,research/menu resources/3. Add-On Menu/Cutscenes Info.txt,.txt,880,bandit,"L19: Spare the Rod, Spoil the Bandit = 27-32"
20,research/extracted_root_research/vehicle_spawning_findings.csv,.csv,988445,marshal,"L2: cutscenes;gringos;strings;vehicle_spawning,game directory.txt,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\game directory.txt,game directory.txt,.txt,418820,d09f1283a6206fdf98d8771b0c59a01a49696b3f,cutscenes:camera"
20,research/extracted_root_research/strings_findings.csv,.csv,775366,marshal,"L2: cutscenes;gringos;strings;vehicle_spawning,game directory.txt,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\game directory.txt,game directory.txt,.txt,418820,d09f1283a6206fdf98d8771b0c59a01a49696b3f,cutscenes:camera"
20,research/extracted_root_research/gringos_findings.csv,.csv,273157,marshal,"L2: cutscenes;gringos;strings;vehicle_spawning,game directory.txt,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\game directory.txt,game directory.txt,.txt,418820,d09f1283a6206fdf98d8771b0c59a01a49696b3f,cutscenes:camera"
20,research/extracted_root_research/extracted_root_research.md,.md,13606,marshal,"L52: - `act\actres\act\custom\cutscene_marshal03.cat` (.cat, 804 bytes) terms: cutscene"
20,research/extracted_root_research/extracted_root_findings.csv,.csv,1854917,marshal,"L3: cutscenes,act\actres\act\custom\cutscene_marshal03.cat,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\actres\act\custom\cutscene_marshal03.cat,cutscene_marshal03.cat,.cat,804,c867668b75ee5274021f520d91b2a5c5d0449"
20,research/extracted_root_research/cutscenes_findings.csv,.csv,250190,marshal,"L3: cutscenes,act\actres\act\custom\cutscene_marshal03.cat,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\actres\act\custom\cutscene_marshal03.cat,cutscene_marshal03.cat,.cat,804,c867668b75ee5274021f520d91b2a5c5d0449"
20,research/blackwater_wsi_gringo_correlation_outputs/wsi_wgd_correlations.csv,.csv,89103,relation,
20,research/blackwater_wsi_gringo_correlation_outputs/wsi_sector_context.csv,.csv,79270,relation,
20,research/blackwater_wsi_gringo_correlation_outputs/wsi_keyword_string_hits.csv,.csv,82046,relation,
20,research/blackwater_wsi_gringo_correlation_outputs/wsi_hash_matches_to_wgd.csv,.csv,0,relation,
20,research/blackwater_wsi_gringo_correlation_outputs/wsi_gringo_correlation_master.json,.json,1107,relation,"L9: ""correlation_count"": 271,"
20,research/blackwater_wsi_gringo_correlation_outputs/wsi_gringo_annotation_hosts.csv,.csv,31473,relation,
20,research/blackwater_wsi_gringo_correlation_outputs/wsi_annotation_candidate_hosts.csv,.csv,37857,relation,
20,research/blackwater_wsi_gringo_correlation_outputs/safe_candidate_gringo_hosts.csv,.csv,0,relation,
20,research/IMPORTANT_readable_root_index_2026-05-02/snippet_hits.csv,.csv,2190779,marshal,"L6: root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,cutscene,155,8,""139c56a7,""""cutscene_marshal03"""""""
20,research/CodeRed_Navres_Psocache_Findings_Pass12_Update.txt,.txt,6898,enemy,L51: cho_battleSet01x / 02x / 03x / Enemy01x
20,reports/pass16_living_world_report.json,.json,4941,sheriff,"L93: ""path"": ""root/tune/asd/sheriff.xml"","
20,related_apps/Code_RED_ScriptHookRDR_AI_Menu/docs/codered/trainer_ai_control_handoff_v1.md,.md,3513,marshal,L53: python tools\codered_trainer_ai_controller_v1.py npc-set law_caucasianmarshall_06_cs
20,related_apps/Code_RED_ScriptHookRDR_AI_Menu/data/codered/trainer_ai_profile_v1.json,.json,604,hostile,"L10: ""attack_hostiles"": true,"
20,related_apps/Code_RED_ScriptHookRDR_AI_Menu/README.md,.md,5636,hostile,L132: Attack nearest hostile request
20,related_apps/Code_RED_ScriptHookRDR_AI_Menu/CodeRED_AI_Menu.ini,.ini,489,gang,L6: roster=data/codered/rosters/npc_roster_law_gang_companion.txt
20,docs/script_workflow/REALTIME_WEAPON_MODIFIERS.md,.md,5122,lawman,L126: Lawman loadout
20,docs/script_workflow/README.md,.md,2684,relation,L59: - WSI/WGD correlation
20,docs/code-red-script-workflow/SCRIPT_FEATURE_STATUS.md,.md,2883,relation,"L30: | WSI/WGD gringo correlation | RPF/resource | research | correlator proof table | Useful for vehicle/world placement, not menu path. |"
20,docs/code-red-script-workflow/LANES.md,.md,2499,relation,L60: - refgroup/event/resource correlation
20,data/codered/trainer_ai_profile_v1.json,.json,604,hostile,"L10: ""attack_hostiles"": true,"
20,SCRIPTING.md,.md,1793,relation,"L32: - RPF/resource lane: archive inspection, tune edits, WSI/WGD/resource correlation, and controlled copied-archive patch tests."
20,SC-CL-master/llvm-14.0.0.src/CODE_OWNERS.TXT,.txt,4606,marshal,L55: N: Marshall Clow
