string_offset,string_offset_hex,string_text,string_class,reference_instruction_offset,reference_instruction_offset_hex,owner_function_index,owner_function,owner_function_offset_range
665,0x299,mp_arm_ffa01x,unknown,663,0x297,0,main,0x0..0x713
684,0x2AC,mp_chu_ffa01x,unknown,682,0x2AA,0,main,0x0..0x713
703,0x2BF,mp_esc_ffa01x,unknown,701,0x2BD,0,main,0x0..0x713
722,0x2D2,mp_hen_ffa01x,unknown,720,0x2D0,0,main,0x0..0x713
741,0x2E5,mp_lsh_ffa01x,unknown,739,0x2E3,0,main,0x0..0x713
760,0x2F8,mp_pik_ffa01x,unknown,758,0x2F6,0,main,0x0..0x713
779,0x30B,mp_upr_ffa01x,unknown,777,0x309,0,main,0x0..0x713
798,0x31E,mp_chu_platforms01x,unknown,796,0x31C,0,main,0x0..0x713
823,0x337,mp_mtp_base01x,unknown,821,0x335,0,main,0x0..0x713
843,0x34B,mp_fom_base01x,unknown,841,0x349,0,main,0x0..0x713
863,0x35F,mp_fom_ffa01x,unknown,861,0x35D,0,main,0x0..0x713
882,0x372,mp_wld_base01x,unknown,880,0x370,0,main,0x0..0x713
902,0x386,mp_chu_base01x,unknown,900,0x384,0,main,0x0..0x713
922,0x39A,"Hiding DLC leaderboards...
",debug/display text,920,0x398,0,main,0x0..0x713
955,0x3BB,LbCat_DLC0,unknown,953,0x3B9,0,main,0x0..0x713
971,0x3CB,LbCat_DLC1,unknown,969,0x3C9,0,main,0x0..0x713
987,0x3DB,LbCat_DLC2,unknown,985,0x3D9,0,main,0x0..0x713
1003,0x3EB,LbCat_DLC3,unknown,1001,0x3E9,0,main,0x0..0x713
1019,0x3FB,LbCat_DLC4,unknown,1017,0x3F9,0,main,0x0..0x713
1035,0x40B,LbCat_DLC5,unknown,1033,0x409,0,main,0x0..0x713
1051,0x41B,LbCat_DLC6,unknown,1049,0x419,0,main,0x0..0x713
1067,0x42B,LbCat_DLC7,unknown,1065,0x429,0,main,0x0..0x713
1088,0x440,setupComplete,unknown,1086,0x43E,0,main,0x0..0x713
1111,0x457,startScreenExit,unknown,1109,0x455,0,main,0x0..0x713
1132,0x46C,select,unknown,1130,0x46A,0,main,0x0..0x713
1144,0x478,net.EnterOnline,unknown,1142,0x476,0,main,0x0..0x713
1182,0x49E,setupComplete,unknown,1180,0x49C,0,main,0x0..0x713
1205,0x4B5,startScreenExit,unknown,1203,0x4B3,0,main,0x0..0x713
1226,0x4CA,simulateStartPress,unknown,1224,0x4C8,0,main,0x0..0x713
1288,0x508,"PressStart.sc - Cache is NOT primed, using fewer shots.",debug/display text,1286,0x506,0,main,0x0..0x713
1352,0x548,"PressStart.sc - Cache is primed, all shots available.",debug/display text,1350,0x546,0,main,0x0..0x713
1538,0x602,loadComplete,unknown,1536,0x600,0,main,0x0..0x713
1556,0x614,setupComplete,unknown,1554,0x612,0,main,0x0..0x713
1703,0x6A7,Startpad ,debug/display text,1701,0x6A5,0,main,0x0..0x713
1726,0x6BE,startPadSelected,unknown,1724,0x6BC,0,main,0x0..0x713
1799,0x707,asdf,unknown,1797,0x705,0,main,0x0..0x713
1829,0x725,fileDoFreeSpaceCheck,unknown,1827,0x723,1,Function_1,0x713..0xA25
1883,0x75B,SaveGame_DoNotInterruptMe,unknown,1881,0x759,1,Function_1,0x713..0xA25
1924,0x784,LoadingScreen,unknown,1922,0x782,1,Function_1,0x713..0xA25
1947,0x79B,loadComplete,unknown,1945,0x799,1,Function_1,0x713..0xA25
1965,0x7AD,setupComplete,unknown,1963,0x7AB,1,Function_1,0x713..0xA25
2022,0x7E6,fileSignedOutPostReboot,unknown,2020,0x7E4,1,Function_1,0x713..0xA25
2060,0x80C,dlc.reboot_content_removed,unknown,2058,0x80A,1,Function_1,0x713..0xA25
2107,0x83B,SSAlert_BlockedMP,unknown,2105,0x839,1,Function_1,0x713..0xA25
2130,0x852,SSAlert_NotSignedIn,unknown,2128,0x850,1,Function_1,0x713..0xA25
2156,0x86C,SSAlert_NotOnline,unknown,2154,0x86A,1,Function_1,0x713..0xA25
2180,0x884,SSAlert_NoCable,unknown,2178,0x882,1,Function_1,0x713..0xA25
2214,0x8A6,@UI.ACCEPT,unknown,2212,0x8A4,1,Function_1,0x713..0xA25
2252,0x8CC,SSAlert_BlockedMP,unknown,2250,0x8CA,1,Function_1,0x713..0xA25
2275,0x8E3,SSAlert_NotSignedIn,unknown,2273,0x8E1,1,Function_1,0x713..0xA25
2300,0x8FC,SSAlert_NotOnline,unknown,2298,0x8FA,1,Function_1,0x713..0xA25
2323,0x913,SSAlert_NoCable,unknown,2321,0x911,1,Function_1,0x713..0xA25
2347,0x92B,Dialog_PlayerHasSignedOut,unknown,2345,0x929,1,Function_1,0x713..0xA25
2390,0x956,@UI.ACCEPT,unknown,2388,0x954,1,Function_1,0x713..0xA25
2428,0x97C,Dialog_PlayerHasSignedOut,unknown,2426,0x97A,1,Function_1,0x713..0xA25
2487,0x9B7,net.EnterOnlineForInvite,unknown,2485,0x9B5,1,Function_1,0x713..0xA25
2539,0x9EB,Rebooted for Content controller=,debug/display text,2537,0x9E9,1,Function_1,0x713..0xA25
2582,0xA16,"
",unknown,2580,0xA14,1,Function_1,0x713..0xA25
2691,0xA83,fro,unknown,2689,0xA81,3,Function_3,0xA32..0x162B
2945,0xB81,fro,unknown,2943,0xB7F,3,Function_3,0xA32..0x162B
3087,0xC0F,nor,unknown,3085,0xC0D,3,Function_3,0xA32..0x162B
3229,0xC9D,nor,unknown,3227,0xC9B,3,Function_3,0xA32..0x162B
3372,0xD2C,mex,unknown,3370,0xD2A,3,Function_3,0xA32..0x162B
3514,0xDBA,mex,unknown,3512,0xDB8,3,Function_3,0xA32..0x162B
3657,0xE49,mex,unknown,3655,0xE47,3,Function_3,0xA32..0x162B
3800,0xED8,fro,unknown,3798,0xED6,3,Function_3,0xA32..0x162B
3943,0xF67,nor,unknown,3941,0xF65,3,Function_3,0xA32..0x162B
4086,0xFF6,nor,unknown,4084,0xFF4,3,Function_3,0xA32..0x162B
4229,0x1085,nor,unknown,4227,0x1083,3,Function_3,0xA32..0x162B
4371,0x1113,nor,unknown,4369,0x1111,3,Function_3,0xA32..0x162B
4513,0x11A1,nor,unknown,4511,0x119F,3,Function_3,0xA32..0x162B
4656,0x1230,fro,unknown,4654,0x122E,3,Function_3,0xA32..0x162B
4799,0x12BF,fro,unknown,4797,0x12BD,3,Function_3,0xA32..0x162B
4941,0x134D,mex,unknown,4939,0x134B,3,Function_3,0xA32..0x162B
5084,0x13DC,fro,unknown,5082,0x13DA,3,Function_3,0xA32..0x162B
5226,0x146A,mex,unknown,5224,0x1468,3,Function_3,0xA32..0x162B
5369,0x14F9,fro,unknown,5367,0x14F7,3,Function_3,0xA32..0x162B
5511,0x1587,mex,unknown,5509,0x1585,3,Function_3,0xA32..0x162B
5654,0x1616,fro,unknown,5652,0x1614,3,Function_3,0xA32..0x162B
