package,logical_key,donor_path,staged_path,staged_content_path,donor_size,staged_size,donor_sha1,staged_sha1,donor_crc32,staged_crc32,sha1_match,crc32_match,raw_copy_bytes_match
import_test_release_csc,action_areas/tesoro_azul/tesoroazulmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\tesoro_azul\tesoroazulmp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_release_csc\content\release\multiplayer\action_areas\tesoro_azul\tesoroazulmp.csc,import_test_release_csc/content/release/multiplayer/action_areas/tesoro_azul/tesoroazulmp.csc,30235,30235,89CB2FBD3310B6A83A54F02BEF9DDFEEE3DBD8BA,89CB2FBD3310B6A83A54F02BEF9DDFEEE3DBD8BA,90AB3337,90AB3337,True,True,True
import_test_release64_csc,action_areas/tesoro_azul/tesoroazulmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\tesoro_azul\tesoroazulmp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_release64_csc\content\release64\multiplayer\action_areas\tesoro_azul\tesoroazulmp.csc,import_test_release64_csc/content/release64/multiplayer/action_areas/tesoro_azul/tesoroazulmp.csc,30235,30235,89CB2FBD3310B6A83A54F02BEF9DDFEEE3DBD8BA,89CB2FBD3310B6A83A54F02BEF9DDFEEE3DBD8BA,90AB3337,90AB3337,True,True,True
import_test_both_csc,action_areas/tesoro_azul/tesoroazulmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\tesoro_azul\tesoroazulmp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\action_areas\tesoro_azul\tesoroazulmp.csc,import_test_both_csc/content/release/multiplayer/action_areas/tesoro_azul/tesoroazulmp.csc,30235,30235,89CB2FBD3310B6A83A54F02BEF9DDFEEE3DBD8BA,89CB2FBD3310B6A83A54F02BEF9DDFEEE3DBD8BA,90AB3337,90AB3337,True,True,True
import_test_both_csc,action_areas/tesoro_azul/tesoroazulmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\tesoro_azul\tesoroazulmp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\action_areas\tesoro_azul\tesoroazulmp.csc,import_test_both_csc/content/release64/multiplayer/action_areas/tesoro_azul/tesoroazulmp.csc,30235,30235,89CB2FBD3310B6A83A54F02BEF9DDFEEE3DBD8BA,89CB2FBD3310B6A83A54F02BEF9DDFEEE3DBD8BA,90AB3337,90AB3337,True,True,True
import_test_release_csc,action_areas/tumbleweed/tumbleweedmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\tumbleweed\tumbleweedmp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_release_csc\content\release\multiplayer\action_areas\tumbleweed\tumbleweedmp.csc,import_test_release_csc/content/release/multiplayer/action_areas/tumbleweed/tumbleweedmp.csc,30659,30659,153FA74BBD7CE51E5ED659B232A3CEA953E03B02,153FA74BBD7CE51E5ED659B232A3CEA953E03B02,61D7F330,61D7F330,True,True,True
import_test_release64_csc,action_areas/tumbleweed/tumbleweedmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\tumbleweed\tumbleweedmp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_release64_csc\content\release64\multiplayer\action_areas\tumbleweed\tumbleweedmp.csc,import_test_release64_csc/content/release64/multiplayer/action_areas/tumbleweed/tumbleweedmp.csc,30659,30659,153FA74BBD7CE51E5ED659B232A3CEA953E03B02,153FA74BBD7CE51E5ED659B232A3CEA953E03B02,61D7F330,61D7F330,True,True,True
import_test_both_csc,action_areas/tumbleweed/tumbleweedmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\tumbleweed\tumbleweedmp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\action_areas\tumbleweed\tumbleweedmp.csc,import_test_both_csc/content/release/multiplayer/action_areas/tumbleweed/tumbleweedmp.csc,30659,30659,153FA74BBD7CE51E5ED659B232A3CEA953E03B02,153FA74BBD7CE51E5ED659B232A3CEA953E03B02,61D7F330,61D7F330,True,True,True
import_test_both_csc,action_areas/tumbleweed/tumbleweedmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\tumbleweed\tumbleweedmp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\action_areas\tumbleweed\tumbleweedmp.csc,import_test_both_csc/content/release64/multiplayer/action_areas/tumbleweed/tumbleweedmp.csc,30659,30659,153FA74BBD7CE51E5ED659B232A3CEA953E03B02,153FA74BBD7CE51E5ED659B232A3CEA953E03B02,61D7F330,61D7F330,True,True,True
import_test_release_csc,action_areas/twin_rocks/twinrocksmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\twin_rocks\twinrocksmp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_release_csc\content\release\multiplayer\action_areas\twin_rocks\twinrocksmp.csc,import_test_release_csc/content/release/multiplayer/action_areas/twin_rocks/twinrocksmp.csc,29459,29459,25D61BF7D26A31E82C2A78DDD5691C289C0388E4,25D61BF7D26A31E82C2A78DDD5691C289C0388E4,152159A6,152159A6,True,True,True
import_test_release64_csc,action_areas/twin_rocks/twinrocksmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\twin_rocks\twinrocksmp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_release64_csc\content\release64\multiplayer\action_areas\twin_rocks\twinrocksmp.csc,import_test_release64_csc/content/release64/multiplayer/action_areas/twin_rocks/twinrocksmp.csc,29459,29459,25D61BF7D26A31E82C2A78DDD5691C289C0388E4,25D61BF7D26A31E82C2A78DDD5691C289C0388E4,152159A6,152159A6,True,True,True
