source,path,relative_path,path_family,name,extension,is_hash_named,size,size_mod_4,header_family,magic_hex_4,head_hex_16,head_hex_32,head_ascii_16,zstd_marker_in_first_512,zstd_marker_offset_in_first_512,compression_encryption_note,sha1,crc32,resource_type,resource_flag1_hex,resource_flag2_hex
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\rcm\jenny\rcm_jenny1.wsc,release64/rcm/jenny/rcm_jenny1.wsc,content/release64,rcm_jenny1.wsc,.wsc,False,16401,1,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 09 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 09 00 00 80 9F E6 19 61 59 27 56 08 0B 58 17 4E E2 51 70 B3,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,7660210809D50DDAEE886E9E3634327A500E2EA2,2CF10059,2,0x80000000,0x80000009
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\rcm\jenny\rcm_jenny2.wsc,release64/rcm/jenny/rcm_jenny2.wsc,content/release64,rcm_jenny2.wsc,.wsc,False,18227,3,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 0B 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 0B 00 00 80 3E B9 F7 30 C7 EC A1 27 D8 A3 D9 3A 46 47 E6 0E,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,0D0079A56B99DCF95673DFBF8526989C3C63A858,CB7875D2,2,0x80000000,0x8000000B
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\rcm\killerpimp\rcm_killerpimp1.wsc,release64/rcm/killerpimp/rcm_killerpimp1.wsc,content/release64,rcm_killerpimp1.wsc,.wsc,False,18184,0,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 0B 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 0B 00 00 80 5F 0D 56 E5 23 43 44 E3 86 9E B3 03 BB 3A 6A A4,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,3EE8BB3F05409C5CE0F21A073D33A546B88924D1,BB3BBE9B,2,0x80000000,0x8000000B
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\rcm\killerpimp\rcm_killerpimp1a.wsc,release64/rcm/killerpimp/rcm_killerpimp1a.wsc,content/release64,rcm_killerpimp1a.wsc,.wsc,False,21068,0,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 0D 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 0D 00 00 80 D2 48 62 23 DD 56 AD F9 C9 23 B0 C9 A7 7E 16 B8,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,7F9B24EB0DC4904EA54E8BAC9F6C3388E31C13FD,B3D69CBE,2,0x80000000,0x8000000D
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\rcm\killerpimp\rcm_killerpimp2.wsc,release64/rcm/killerpimp/rcm_killerpimp2.wsc,content/release64,rcm_killerpimp2.wsc,.wsc,False,15623,3,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 09 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 09 00 00 80 58 F4 46 4E 22 8D B3 82 DA D2 23 A8 20 B3 B8 DF,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,CCBF827570583BCB945B71D3396FA39578F83A9C,D1B6E8AC,2,0x80000000,0x80000009
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\rcm\killerpimp\rcm_killerpimp3.wsc,release64/rcm/killerpimp/rcm_killerpimp3.wsc,content/release64,rcm_killerpimp3.wsc,.wsc,False,39026,2,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 19 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 19 00 00 80 57 DF 0D BF E9 98 01 0D 8D FF F9 CA 6D 56 8D 84,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,2FA2DD45A941301A5084E33C1933725A523122DA,DA29090C,2,0x80000000,0x80000019
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\rcm\lights\rcm_lights1.wsc,release64/rcm/lights/rcm_lights1.wsc,content/release64,rcm_lights1.wsc,.wsc,False,15592,0,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 09 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 09 00 00 80 D0 69 CD 49 E4 54 DB 2E A9 59 01 B2 AA 66 5C 7B,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,212B84376597E278F2FD8CA4614F5BB56413124E,8C049726,2,0x80000000,0x80000009
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\rcm\lights\rcm_lights2.wsc,release64/rcm/lights/rcm_lights2.wsc,content/release64,rcm_lights2.wsc,.wsc,False,10321,1,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 07 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 07 00 00 80 65 A5 30 BC 4A 08 39 00 F6 39 85 F1 5E DE 9B 15,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,A1FEABB59873B2238B3D998EA98D49F0B611E35E,26A6D5C4,2,0x80000000,0x80000007
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\rcm\lights\rcm_lights3.wsc,release64/rcm/lights/rcm_lights3.wsc,content/release64,rcm_lights3.wsc,.wsc,False,38127,3,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 17 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 17 00 00 80 32 E3 00 B7 8A 3D F1 5B 95 F8 3F 68 EB C9 B8 A5,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,A4272AC0D33ECBA425184EDF22D265F21FFBCFED,58D7C700,2,0x80000000,0x80000017
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\rcm\lights\rcm_lights4.wsc,release64/rcm/lights/rcm_lights4.wsc,content/release64,rcm_lights4.wsc,.wsc,False,16674,2,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 0A 00 00 90,52 53 43 85 02 00 00 00 00 00 00 80 0A 00 00 90 AD 5D 50 5C C6 E9 C2 8E 70 64 BA 8C EC 29 DE 8B,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,8C57039584AA2757A7AEB4EB03A6A490DC77F2E7,5424FC2C,2,0x80000000,0x9000000A
