package,path,content_path,extension,size,important_restored_resource,sha1,crc32
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\action_areas\twin_rocks\twinrocksmp.csc,content/release64/multiplayer/action_areas/twin_rocks/twinrocksmp.csc,.csc,29459,False,25D61BF7D26A31E82C2A78DDD5691C289C0388E4,152159A6
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\action_areas\wilderness\bearwildernessaa.csc,content/release64/multiplayer/action_areas/wilderness/bearwildernessaa.csc,.csc,13114,False,6872EDF5E99581F3C27BB14DD32BBB62A971304C,6CD4A6F1
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\action_areas\wilderness\boarwildernessaa.csc,content/release64/multiplayer/action_areas/wilderness/boarwildernessaa.csc,.csc,13040,False,FE9D5B69407BF992B76598F1A49395115C5126B7,A774BEC6
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\action_areas\wilderness\cougarwildernessaa.csc,content/release64/multiplayer/action_areas/wilderness/cougarwildernessaa.csc,.csc,13049,False,9B410E83BC29DA293F4F9D13D40645FEA92DCD62,58169875
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\action_areas\wilderness\wolfwildernessaa.csc,content/release64/multiplayer/action_areas/wilderness/wolfwildernessaa.csc,.csc,13038,False,467865D3E3EB2CB19D1F101CA33D62F77D02D9CC,4DAEB359
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\ctf\ctf_base_game.csc,content/release64/multiplayer/ctf/ctf_base_game.csc,.csc,49087,True,AC7C093773FE09EEEEE4C2596FC240BFC57643A2,42B3FF50
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\deathmatch\deathmatch.csc,content/release64/multiplayer/deathmatch/deathmatch.csc,.csc,37135,True,DD24E432C08D25D17B09A64D29331FDC23646505,BDE20FFB
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\deathmatch\testmatch.csc,content/release64/multiplayer/deathmatch/testmatch.csc,.csc,7875,False,282B9963BAA2C8E307B8FC257C037F55B1E501C9,A3187040
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\freemode\freemode.csc,content/release64/multiplayer/freemode/freemode.csc,.csc,52662,True,39EB147487968B55BFA814C1754E4AB4B609BEFF,D9B7B993
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\mp_idle.csc,content/release64/multiplayer/mp_idle.csc,.csc,44631,True,836DA3EB1E388C2C12A0DBAE31B61EA11E93133E,B5A846BD
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\multiplayer_system_thread.csc,content/release64/multiplayer/multiplayer_system_thread.csc,.csc,31765,True,BCE3CD2CD1979BC827360BD76C3835FC608E41D2,A27B51DE
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\multiplayer_update_thread.csc,content/release64/multiplayer/multiplayer_update_thread.csc,.csc,24419,True,230CB503BBBE0F54BF2AA0BC8D34CAEDE42EF7C7,3DB12DCB
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\pr_multiplayer.csc,content/release64/multiplayer/pr_multiplayer.csc,.csc,15043,True,8EDD0E69B621DF58B2B7F66D744BAC8EE696C364,69A3548B
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\regions\coop\coopbasic.csc,content/release64/multiplayer/regions/coop/coopbasic.csc,.csc,9706,False,A89C2CE2247F437211E639CCD6EE1459B598C12C,0BA9F362
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\regions\ctf_arm\ctf_arm.csc,content/release64/multiplayer/regions/ctf_arm/ctf_arm.csc,.csc,13342,False,E8CB5EFBBFE52FB5266790579E59A3C80DB78165,899300CF
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\regions\ctf_arm\ctf_arm_single.csc,content/release64/multiplayer/regions/ctf_arm/ctf_arm_single.csc,.csc,12984,False,2EF2D88F799B7564A321CD2958401D6D7B9FF0E1,9EF42A80
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\regions\ctf_arm\ctf_arm_sym.csc,content/release64/multiplayer/regions/ctf_arm/ctf_arm_sym.csc,.csc,12918,False,F05D0903F2991CF41D6B6F51C97F555E1457D5BF,39363CCD
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\regions\ctf_chu\ctf_chu.csc,content/release64/multiplayer/regions/ctf_chu/ctf_chu.csc,.csc,11939,False,5A15EACA6D6DF076BA4FA16DE48C3E808D347315,E1BBAC58
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\regions\ctf_chu\ctf_chu_single.csc,content/release64/multiplayer/regions/ctf_chu/ctf_chu_single.csc,.csc,11958,False,C2B8A2A172BBB9A09F678A03278C7A6E8D2D1BAE,E2C2707F
