logical_key,csc_path,csc_size,csc_size_mod_4,csc_header_family,csc_head_hex_16,csc_compression_encryption_note,csc_resource_type,csc_resource_flag1_hex,csc_resource_flag2_hex,csc_sha1,csc_crc32,xsc_path,xsc_size,xsc_size_mod_4,xsc_header_family,xsc_head_hex_16,xsc_compression_encryption_note,xsc_resource_type,xsc_resource_flag1_hex,xsc_resource_flag2_hex,xsc_sha1,xsc_crc32,headers_match,bytes_match
regions/coop/coopbasic,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\coop\coopbasic.csc,9706,2,CSC_SWAPPED_RSC86,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 05,32-bit word-swapped RSC86 family; PSN CSC raw import is not proven by extracted PC examples,2,0x80000000,0x80000005,A89C2CE2247F437211E639CCD6EE1459B598C12C,0BA9F362,D:\Games\Red Dead Redemption\Code_RED\imports\XENON MULTIPLAYER\content\release64\multiplayer\regions\coop\coopbasic.xsc,9324,0,XSC_SWAPPED_RSC85,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 05,32-bit word-swapped RSC85 family; not raw-PC-proven by extracted examples,2,0x80000000,0x80000005,DD91A3FCDCF1708EA8D945162EF4ADD2FD8264AF,AD29AA22,False,False
regions/ctf_arm/ctf_arm,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_arm\ctf_arm.csc,13342,2,CSC_SWAPPED_RSC86,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 09,32-bit word-swapped RSC86 family; PSN CSC raw import is not proven by extracted PC examples,2,0x80000000,0x80000009,E8CB5EFBBFE52FB5266790579E59A3C80DB78165,899300CF,D:\Games\Red Dead Redemption\Code_RED\imports\XENON MULTIPLAYER\content\release64\multiplayer\regions\ctf_arm\ctf_arm.xsc,12574,2,XSC_SWAPPED_RSC85,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 09,32-bit word-swapped RSC85 family; not raw-PC-proven by extracted examples,2,0x80000000,0x80000009,FAEFFE82714FF7F5BAEB3CCE94F564E9C5D6835B,D16918E9,False,False
regions/ctf_arm/ctf_arm_single,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_arm\ctf_arm_single.csc,12984,0,CSC_SWAPPED_RSC86,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07,32-bit word-swapped RSC86 family; PSN CSC raw import is not proven by extracted PC examples,2,0x80000000,0x80000007,2EF2D88F799B7564A321CD2958401D6D7B9FF0E1,9EF42A80,D:\Games\Red Dead Redemption\Code_RED\imports\XENON MULTIPLAYER\content\release64\multiplayer\regions\ctf_arm\ctf_arm_single.xsc,12312,0,XSC_SWAPPED_RSC85,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07,32-bit word-swapped RSC85 family; not raw-PC-proven by extracted examples,2,0x80000000,0x80000007,275426CA9C6FDDB60B086953B3EB10C3933CCC5A,4AE3FEAB,False,False
regions/ctf_arm/ctf_arm_sym,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_arm\ctf_arm_sym.csc,12918,2,CSC_SWAPPED_RSC86,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07,32-bit word-swapped RSC86 family; PSN CSC raw import is not proven by extracted PC examples,2,0x80000000,0x80000007,F05D0903F2991CF41D6B6F51C97F555E1457D5BF,39363CCD,D:\Games\Red Dead Redemption\Code_RED\imports\XENON MULTIPLAYER\content\release64\multiplayer\regions\ctf_arm\ctf_arm_sym.xsc,12246,2,XSC_SWAPPED_RSC85,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07,32-bit word-swapped RSC85 family; not raw-PC-proven by extracted examples,2,0x80000000,0x80000007,EEDB3A84BF1FECD8399CA576E33DB09C295CEC24,16697069,False,False
regions/ctf_chu/ctf_chu,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_chu\ctf_chu.csc,11939,3,CSC_SWAPPED_RSC86,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07,32-bit word-swapped RSC86 family; PSN CSC raw import is not proven by extracted PC examples,2,0x80000000,0x80000007,5A15EACA6D6DF076BA4FA16DE48C3E808D347315,E1BBAC58,D:\Games\Red Dead Redemption\Code_RED\imports\XENON MULTIPLAYER\content\release64\multiplayer\regions\ctf_chu\ctf_chu.xsc,11364,0,XSC_SWAPPED_RSC85,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07,32-bit word-swapped RSC85 family; not raw-PC-proven by extracted examples,2,0x80000000,0x80000007,36727DCDB3C22F91DAFB126151D057B0CA2606FB,B6DB8942,False,False
regions/ctf_chu/ctf_chu_single,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_chu\ctf_chu_single.csc,11958,2,CSC_SWAPPED_RSC86,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07,32-bit word-swapped RSC86 family; PSN CSC raw import is not proven by extracted PC examples,2,0x80000000,0x80000007,C2B8A2A172BBB9A09F678A03278C7A6E8D2D1BAE,E2C2707F,D:\Games\Red Dead Redemption\Code_RED\imports\XENON MULTIPLAYER\content\release64\multiplayer\regions\ctf_chu\ctf_chu_single.xsc,11380,0,XSC_SWAPPED_RSC85,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07,32-bit word-swapped RSC85 family; not raw-PC-proven by extracted examples,2,0x80000000,0x80000007,0A76CF9D328BA2A0E36F0FC09BA2770C3349FDA5,1159A729,False,False
regions/ctf_chu/ctf_chu_sym,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_chu\ctf_chu_sym.csc,11912,0,CSC_SWAPPED_RSC86,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07,32-bit word-swapped RSC86 family; PSN CSC raw import is not proven by extracted PC examples,2,0x80000000,0x80000007,1468BFF54CADCBA4EBAC0013BD87727F89C48665,B16B7B9B,D:\Games\Red Dead Redemption\Code_RED\imports\XENON MULTIPLAYER\content\release64\multiplayer\regions\ctf_chu\ctf_chu_sym.xsc,11328,0,XSC_SWAPPED_RSC85,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07,32-bit word-swapped RSC85 family; not raw-PC-proven by extracted examples,2,0x80000000,0x80000007,236FC9BCD7E7DA643A8BF9E13083551D8D1FD459,5B4E4301,False,False
regions/ctf_dzc/ctf_dzc_sym,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_dzc\ctf_dzc_sym.csc,12251,3,CSC_SWAPPED_RSC86,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07,32-bit word-swapped RSC86 family; PSN CSC raw import is not proven by extracted PC examples,2,0x80000000,0x80000007,45DF618BBB88E5CC347D5A2DFCDCAFB28320F7A9,9FB23546,D:\Games\Red Dead Redemption\Code_RED\imports\XENON MULTIPLAYER\content\release64\multiplayer\regions\ctf_dzc\ctf_dzc_sym.xsc,11638,2,XSC_SWAPPED_RSC85,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07,32-bit word-swapped RSC85 family; not raw-PC-proven by extracted examples,2,0x80000000,0x80000007,8BA12DA3B5FFD317BCD13E8A31D4DB0422CAEBE5,EC6C5E5C,False,False
regions/ctf_hen/ctf_hen,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_hen\ctf_hen.csc,12979,3,CSC_SWAPPED_RSC86,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 09,32-bit word-swapped RSC86 family; PSN CSC raw import is not proven by extracted PC examples,2,0x80000000,0x80000009,A92E82616BA47F42F0B777A2141FDF7011D3D4AD,DD9D60D1,D:\Games\Red Dead Redemption\Code_RED\imports\XENON MULTIPLAYER\content\release64\multiplayer\regions\ctf_hen\ctf_hen.xsc,12280,0,XSC_SWAPPED_RSC85,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 09,32-bit word-swapped RSC85 family; not raw-PC-proven by extracted examples,2,0x80000000,0x80000009,41AF485242108E179179939142D43A74BA587627,A67805FD,False,False
regions/ctf_lsh/ctf_lsh,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_lsh\ctf_lsh.csc,14025,1,CSC_SWAPPED_RSC86,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 09,32-bit word-swapped RSC86 family; PSN CSC raw import is not proven by extracted PC examples,2,0x80000000,0x80000009,BF83228AF8F33B60A1528C5AF1200BD100C96860,097DF475,D:\Games\Red Dead Redemption\Code_RED\imports\XENON MULTIPLAYER\content\release64\multiplayer\regions\ctf_lsh\ctf_lsh.xsc,13236,0,XSC_SWAPPED_RSC85,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 09,32-bit word-swapped RSC85 family; not raw-PC-proven by extracted examples,2,0x80000000,0x80000009,4CF69A6A122E94069F0CF3F84EC6EC455650ACF4,5D9B4951,False,False
