index,type,path,name,extension,offset,size_in_archive,total_size,is_resource,is_compressed,resource_type
1812,file,root/content/release/multiplayer/0x63CF3218,0x63CF3218,,24752856,5088,5088,False,False,
1813,dir,root/content/release/multiplayer/playground,playground,,,,,,,
1814,file,root/content/release/multiplayer/pr_multiplayer.xsc,pr_multiplayer.xsc,.xsc,25020808,14510,14510,False,False,
1815,file,root/content/release/multiplayer/mp_teleport.xsc,mp_teleport.xsc,.xsc,24892376,4924,4924,False,False,
1816,dir,root/content/release/multiplayer/tutorial,tutorial,,,,,,,
1817,file,root/content/release/multiplayer/mp_idle.xsc,mp_idle.xsc,.xsc,24850960,41412,41412,False,False,
1818,file,root/content/release/multiplayer/pr_multiplayer.csc,pr_multiplayer.csc,.csc,25005760,15043,15043,False,False,
1819,dir,root/content/release/multiplayer/deathmatch,deathmatch,,,,,,,
1820,dir,root/content/release/multiplayer/support,support,,,,,,,
1821,file,root/content/release/multiplayer/mp_help_barker.xsc,mp_help_barker.xsc,.xsc,24805768,556,556,False,False,
1822,dir,root/content/release/multiplayer/ctf,ctf,,,,,,,
1823,file,root/content/release/multiplayer/sessionmap.xsc,sessionmap.xsc,.xsc,25035320,1080,1080,False,False,
1824,dir,root/content/release/multiplayer/freemode,freemode,,,,,,,
1825,file,root/content/release/multiplayer/0xD11C2D38,0xD11C2D38,,24757952,47304,47304,False,False,
1826,dir,root/content/release/multiplayer/action_areas,action_areas,,,,,,,
1827,file,root/content/release/multiplayer/0xE93D57E2,0xE93D57E2,,24805264,496,496,False,False,
1828,file,root/content/release/multiplayer/multiplayer_system_thread.xsc,multiplayer_system_thread.xsc,.xsc,24929072,29428,29428,False,False,
1829,dir,root/content/release/multiplayer/rotations,rotations,,,,,,,
1830,file,root/content/release/multiplayer/mp_idle.csc,mp_idle.csc,.csc,24806328,44631,44631,False,False,
1831,dir,root/content/release/multiplayer/regions/ctf_chu,ctf_chu,,,,,,,
1832,dir,root/content/release/multiplayer/regions/dm_tum,dm_tum,,,,,,,
1833,dir,root/content/release/multiplayer/regions/ctf_tum,ctf_tum,,,,,,,
1834,dir,root/content/release/multiplayer/regions/ctf_w2,ctf_w2,,,,,,,
1835,dir,root/content/release/multiplayer/regions/coop,coop,,,,,,,
1836,dir,root/content/release/multiplayer/regions/ctf_dzc,ctf_dzc,,,,,,,
1837,dir,root/content/release/multiplayer/regions/ctf_tes,ctf_tes,,,,,,,
1838,dir,root/content/release/multiplayer/regions/ctf_lsh,ctf_lsh,,,,,,,
1839,dir,root/content/release/multiplayer/regions/dm_arm,dm_arm,,,,,,,
1840,dir,root/content/release/multiplayer/regions/ctf_hen,ctf_hen,,,,,,,
1841,dir,root/content/release/multiplayer/regions/ctf_upr,ctf_upr,,,,,,,
1842,dir,root/content/release/multiplayer/regions/ctf_arm,ctf_arm,,,,,,,
1843,dir,root/content/release/multiplayer/regions/dm_hen,dm_hen,,,,,,,
1844,dir,root/content/release/multiplayer/regions/dm_chu,dm_chu,,,,,,,
1845,dir,root/content/release/multiplayer/regions/minigames,minigames,,,,,,,
1846,dir,root/content/release/multiplayer/regions/dm_lsh,dm_lsh,,,,,,,
1847,file,root/content/release/multiplayer/regions/ctf_chu/ctf_chu.csc,ctf_chu.csc,.csc,26489448,11939,11939,False,False,
1848,file,root/content/release/multiplayer/regions/ctf_chu/ctf_chu_single.xsc,ctf_chu_single.xsc,.xsc,26524720,11380,11380,False,False,
1849,file,root/content/release/multiplayer/regions/ctf_chu/ctf_chu_sym.csc,ctf_chu_sym.csc,.csc,26536104,11912,11912,False,False,
1850,file,root/content/release/multiplayer/regions/ctf_chu/ctf_chu_single.csc,ctf_chu_single.csc,.csc,26512760,11958,11958,False,False,
1851,file,root/content/release/multiplayer/regions/ctf_chu/ctf_chu_sym.xsc,ctf_chu_sym.xsc,.xsc,26548024,11328,11328,False,False,
1852,file,root/content/release/multiplayer/regions/ctf_chu/ctf_chu.xsc,ctf_chu.xsc,.xsc,26501392,11364,11364,False,False,
1853,file,root/content/release/multiplayer/regions/dm_tum/deathmatch_tum.csc,deathmatch_tum.csc,.csc,26873080,13193,13193,False,False,
1854,file,root/content/release/multiplayer/regions/dm_tum/deathmatch_tum.xsc,deathmatch_tum.xsc,.xsc,26886280,12548,12548,False,False,
1855,file,root/content/release/multiplayer/regions/ctf_tum/ctf_tum_single.csc,ctf_tum_single.csc,.csc,26702776,12747,12747,False,False,
1856,file,root/content/release/multiplayer/regions/ctf_tum/ctf_tum_single.xsc,ctf_tum_single.xsc,.xsc,26715528,12094,12094,False,False,
1857,file,root/content/release/multiplayer/regions/ctf_w2/ctf_w2_single.xsc,ctf_w2_single.xsc,.xsc,26760840,9144,9144,False,False,
1858,file,root/content/release/multiplayer/regions/ctf_w2/ctf_w2_single.csc,ctf_w2_single.csc,.csc,26751280,9555,9555,False,False,
1859,file,root/content/release/multiplayer/regions/coop/coopbasic.xsc,coopbasic.xsc,.xsc,26403720,9324,9324,False,False,
1860,file,root/content/release/multiplayer/regions/coop/coopbasic.csc,coopbasic.csc,.csc,26394008,9706,9706,False,False,
1861,file,root/content/release/multiplayer/regions/ctf_dzc/ctf_dzc_sym.xsc,ctf_dzc_sym.xsc,.xsc,26571616,11638,11638,False,False,
1862,file,root/content/release/multiplayer/regions/ctf_dzc/ctf_dzc_sym.csc,ctf_dzc_sym.csc,.csc,26559360,12251,12251,False,False,
1863,file,root/content/release/multiplayer/regions/ctf_tes/ctf_tes_single.xsc,ctf_tes_single.xsc,.xsc,26670232,10708,10708,False,False,
1864,file,root/content/release/multiplayer/regions/ctf_tes/ctf_tes_single.csc,ctf_tes_single.csc,.csc,26659008,11222,11222,False,False,
1865,file,root/content/release/multiplayer/regions/ctf_tes/ctf_tes_sym.xsc,ctf_tes_sym.xsc,.xsc,26692120,10650,10650,False,False,
1866,file,root/content/release/multiplayer/regions/ctf_tes/ctf_tes_sym.csc,ctf_tes_sym.csc,.csc,26680944,11170,11170,False,False,
1867,file,root/content/release/multiplayer/regions/ctf_lsh/ctf_lsh_sym.xsc,ctf_lsh_sym.xsc,.xsc,26647688,11318,11318,False,False,
1868,file,root/content/release/multiplayer/regions/ctf_lsh/ctf_lsh_sym.csc,ctf_lsh_sym.csc,.csc,26635800,11885,11885,False,False,
1869,file,root/content/release/multiplayer/regions/ctf_lsh/ctf_lsh.xsc,ctf_lsh.xsc,.xsc,26622560,13236,13236,False,False,
1870,file,root/content/release/multiplayer/regions/ctf_lsh/ctf_lsh.csc,ctf_lsh.csc,.csc,26608528,14025,14025,False,False,
1871,file,root/content/release/multiplayer/regions/dm_arm/deathmatch_arm.csc,deathmatch_arm.csc,.csc,26769992,13315,13315,False,False,
1872,file,root/content/release/multiplayer/regions/dm_arm/deathmatch_arm.xsc,deathmatch_arm.xsc,.xsc,26783312,12592,12592,False,False,
1873,file,root/content/release/multiplayer/regions/ctf_hen/ctf_hen.xsc,ctf_hen.xsc,.xsc,26596240,12280,12280,False,False,
1874,file,root/content/release/multiplayer/regions/ctf_hen/ctf_hen.csc,ctf_hen.csc,.csc,26583256,12979,12979,False,False,
1875,file,root/content/release/multiplayer/regions/ctf_upr/ctf_upr.csc,ctf_upr.csc,.csc,26727624,12105,12105,False,False,
1876,file,root/content/release/multiplayer/regions/ctf_upr/ctf_upr.xsc,ctf_upr.xsc,.xsc,26739736,11536,11536,False,False,
