# Code RED source/decompiled export
# Source: research/wft_wedt_attachment_lab/model_resource_summary.csv
# SHA1: 0ac58d17c76d9578dc36b2ef474c5aa95cee73bd

archive,entry_index,entry_name,entry_path,bundle_key,extension,resource_type,resource_hint,root_vft,root_vft_hint,slot_size,decoded_size,decoded_sha1,decode_mode,virtual_pointer_count,toc_offset,toc_total_size,decoded_extract
fragments2.rpf,61,zombie_gore_blackgunslinger_01.wft,root/fragments/zombie_gore_blackgunslinger_01.wft,zombie_gore_blackgunslinger_01,.wft,138,extension_wft,0x00DDB8E4,wft_root_vft_fragment_texture_or_model,78761,253952,b426e355f47bdb7afdb29acef9d3e5ac9fb467bb,rsc_zstd,1098,6955008,40960,
fragments2.rpf,62,zombie_toxicdrunk_n_dirty_01.wedt,root/fragments/zombie_toxicdrunk_n_dirty_01.wedt,zombie_toxicdrunk_n_dirty_01,.wedt,11,extension_wedt,0x00D0E590,wedt_root_vft_editdata,1569,8192,396b9140563dafe0ff6a444473f18e7060ac5d12,rsc_zstd,187,49389568,512,
fragments2.rpf,63,zombie_gore_cmaleold_01_hilod.wfd,root/fragments/zombie_gore_cmaleold_01_hilod.wfd,zombie_gore_cmaleold_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,1305582,2097152,fc605d5a8a2e3a0fbeb04ff685bd5f57cb1407d4,rsc_zstd,773,26079232,131072,
fragments2.rpf,64,zombie_gore_bruisermaleold_01_hilod.wfd,root/fragments/zombie_gore_bruisermaleold_01_hilod.wfd,zombie_gore_bruisermaleold_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,1424759,2228224,53605f5e58ff0f45d5940f0e3496738e3b74cabe,rsc_zstd,880,13172736,196608,
fragments2.rpf,65,zombie_toxiccaucasiancriminal_01_hilod.wfd,root/fragments/zombie_toxiccaucasiancriminal_01_hilod.wfd,zombie_toxiccaucasiancriminal_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,1096914,1703936,4fd38d651adfacc92f8d2398f7bcada322918e6c,rsc_zstd,746,48107520,196608,
fragments2.rpf,66,zombie_gore_cgunslinger_01.wft,root/fragments/zombie_gore_cgunslinger_01.wft,zombie_gore_cgunslinger_01,.wft,138,extension_wft,0x00DDB8E4,wft_root_vft_fragment_texture_or_model,114257,327680,9577295a9bcc8810299058cd3962747f708339c4,rsc_zstd,1136,22601728,24576,
fragments2.rpf,67,zombie_gore_mexicanrebel_01_hilod.wfd,root/fragments/zombie_gore_mexicanrebel_01_hilod.wfd,zombie_gore_mexicanrebel_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,1267136,1966080,7a7d9420bff3ddcede4a333b1fa66d380ed5ec21,rsc_zstd,839,34131968,262144,
fragments2.rpf,68,zombie_gore_bruiserprostitute_01.wedt,root/fragments/zombie_gore_bruiserprostitute_01.wedt,zombie_gore_bruiserprostitute_01,.wedt,11,extension_wedt,0x00D0E590,wedt_root_vft_editdata,1630,8192,855083a653e4acea8f43fb123a8b05d43a0a92a7,rsc_zstd,202,16367616,512,
fragments2.rpf,69,zombie_gore_hfemaleprostitute_01_medlod.wfd,root/fragments/zombie_gore_hfemaleprostitute_01_medlod.wfd,zombie_gore_hfemaleprostitute_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,189119,352256,81d2a37d683ed987656d09ec598b3d0c2a8f0eef,rsc_zstd,647,32155648,40960,
fragments2.rpf,70,zombie_hispanicmaleposse_01_hilod.wfd,root/fragments/zombie_hispanicmaleposse_01_hilod.wfd,zombie_hispanicmaleposse_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,1167345,1835008,3686da52a636f1794b44924e69b163a31bfd27a2,rsc_zstd,668,45301760,196608,
