# Code RED source/decompiled export
# Source: research/car_truck_inventory/reference_entries.csv
# SHA1: 703f1fcc07482828f6f79f1b1c2dc6550009edb3

category,root_label,path,relative_path,name,extension,size,sha1,match_reason
reference,rdr1_mods_root,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\navres\0x08850B94\woodcar01x.cnm,navres\0x08850B94\woodcar01x.cnm,woodcar01x.cnm,.cnm,1553,f7652ef4301d2b328f643c35871c18d5894503df,car_truck_filename
reference,rdr1_mods_root,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\fragments\woodcar01x_hilod.cfd,fragments\woodcar01x_hilod.cfd,woodcar01x_hilod.cfd,.cfd,421933,623d1876b71b070bdf89b317f82de118ca8e46a6,car_truck_filename
templates,driveable_vehicles_backup,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\template_draftvehicle.xml,template_draftvehicle.xml,template_draftvehicle.xml,.xml,1240,d1c4363cbba2e45f3300ab6c5c461ae316abf734,known_target_filename
templates,rdr1_mods_root,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\tune\template\template_draftvehicle.xml,tune\template\template_draftvehicle.xml,template_draftvehicle.xml,.xml,1178,78a1c57f2ab7cc19f8e2175012e4ac09b2387e7f,known_target_filename
templates,driveable_vehicles_backup,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\template_vehicle.xml,template_vehicle.xml,template_vehicle.xml,.xml,1091,5d912f4a9e088534878e7ec081d1a23875eff6ad,known_target_filename
templates,rdr1_mods_root,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\tune\template\template_vehicle.xml,tune\template\template_vehicle.xml,template_vehicle.xml,.xml,1029,0b6f50dc5d8e01f92b691fb2dcbd5d29de4d003d,known_target_filename
templates,driveable_vehicles_backup,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\template_vehiclecar01.xml,template_vehiclecar01.xml,template_vehiclecar01.xml,.xml,1325,05f69ef36c8cab9ea5ba5ce62edcc047cc9956be,known_target_filename
templates,rdr1_mods_root,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\tune\template\template_vehiclecar01.xml,tune\template\template_vehiclecar01.xml,template_vehiclecar01.xml,.xml,1325,05f69ef36c8cab9ea5ba5ce62edcc047cc9956be,known_target_filename
templates,rdr1_mods_root,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\tune\template\template_vehicletruck01.xml,tune\template\template_vehicletruck01.xml,template_vehicletruck01.xml,.xml,660,662025cb627dce9866694be7a4bfe97dceb0655c,known_target_filename
textures,rdr1_mods_root,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\fragments\car01x_hilod.ctd,fragments\car01x_hilod.ctd,car01x_hilod.ctd,.ctd,1625447,280f687f10007c654098e255e38712f480fe58e0,car_truck_filename
textures,codered_driveable_vehicles_mod,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\Mods\Game - Driveable vehicles +\fragments\car01x_hilod.wtd,fragments\car01x_hilod.wtd,car01x_hilod.wtd,.wtd,1625885,91c8d6d13959969f9646687939c47290cd139318,known_target_filename
textures,driveable_vehicles_backup,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\fragments\car01x_hilod.wtd,fragments\car01x_hilod.wtd,car01x_hilod.wtd,.wtd,1625885,91c8d6d13959969f9646687939c47290cd139318,known_target_filename
textures,codered_driveable_vehicles_mod,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\Mods\Game - Driveable vehicles +\fragments\truck01x_hilod.wtd,fragments\truck01x_hilod.wtd,truck01x_hilod.wtd,.wtd,1182966,56bcf557245b8238623c29ed2f7220f239db07f5,known_target_filename
textures,driveable_vehicles_backup,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\fragments\truck01x_hilod.wtd,fragments\truck01x_hilod.wtd,truck01x_hilod.wtd,.wtd,1182966,56bcf557245b8238623c29ed2f7220f239db07f5,known_target_filename
tune_metadata,codered_driveable_vehicles_mod,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\Mods\Game - Driveable vehicles +\tune\vehicle\car01x.vehgyro,tune\vehicle\car01x.vehgyro,car01x.vehgyro,.vehgyro,392,ec9d70623b933c3ee7068f3a73ce4a3bc05f9864,known_target_filename
tune_metadata,codered_stock_vehicle_files,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\car01x.vehgyro,car01x.vehgyro,car01x.vehgyro,.vehgyro,392,ec9d70623b933c3ee7068f3a73ce4a3bc05f9864,known_target_filename
tune_metadata,driveable_vehicles_backup,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\tune\vehicle\car01x.vehgyro,tune\vehicle\car01x.vehgyro,car01x.vehgyro,.vehgyro,392,ec9d70623b933c3ee7068f3a73ce4a3bc05f9864,known_target_filename
tune_metadata,codered_driveable_vehicles_mod,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\Mods\Game - Driveable vehicles +\tune\vehicle\car01x.vehinput,tune\vehicle\car01x.vehinput,car01x.vehinput,.vehinput,179,0b0e79b03f146359a30760621ab11f6b0a37eb55,known_target_filename
tune_metadata,codered_stock_vehicle_files,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\car01x.vehinput,car01x.vehinput,car01x.vehinput,.vehinput,179,0b0e79b03f146359a30760621ab11f6b0a37eb55,known_target_filename
tune_metadata,driveable_vehicles_backup,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\tune\vehicle\car01x.vehinput,tune\vehicle\car01x.vehinput,car01x.vehinput,.vehinput,179,0b0e79b03f146359a30760621ab11f6b0a37eb55,known_target_filename
tune_metadata,codered_driveable_vehicles_mod,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\Mods\Game - Driveable vehicles +\tune\vehicle\car01x.vehmodel,tune\vehicle\car01x.vehmodel,car01x.vehmodel,.vehmodel,533,895dee09e5a351650e454358612b1425cd615c08,known_target_filename
tune_metadata,codered_stock_vehicle_files,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\car01x.vehmodel,car01x.vehmodel,car01x.vehmodel,.vehmodel,533,895dee09e5a351650e454358612b1425cd615c08,known_target_filename
tune_metadata,driveable_vehicles_backup,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\tune\vehicle\car01x.vehmodel,tune\vehicle\car01x.vehmodel,car01x.vehmodel,.vehmodel,533,895dee09e5a351650e454358612b1425cd615c08,known_target_filename
tune_metadata,codered_driveable_vehicles_mod,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\Mods\Game - Driveable vehicles +\tune\vehicle\car01x.vehsim,tune\vehicle\car01x.vehsim,car01x.vehsim,.vehsim,6306,1dad5c9dad4798a92807fa29636c8f0bd1db6471,known_target_filename
tune_metadata,codered_stock_vehicle_files,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\car01x.vehsim,car01x.vehsim,car01x.vehsim,.vehsim,6311,377950255976671be3c9d6e5fa8894be73487fd6,known_target_filename
tune_metadata,driveable_vehicles_backup,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\car01x.vehsim,car01x.vehsim,car01x.vehsim,.vehsim,6306,1dad5c9dad4798a92807fa29636c8f0bd1db6471,known_target_filename
tune_metadata,driveable_vehicles_backup,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\tune\vehicle\car01x.vehsim,tune\vehicle\car01x.vehsim,car01x.vehsim,.vehsim,6306,1dad5c9dad4798a92807fa29636c8f0bd1db6471,known_target_filename
tune_metadata,codered_driveable_vehicles_mod,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\Mods\Game - Driveable vehicles +\tune\vehicle\car01x.vehstuck,tune\vehicle\car01x.vehstuck,car01x.vehstuck,.vehstuck,269,1d23c7a656b0eae3c1b66b1a3064081716d881f6,known_target_filename
tune_metadata,codered_stock_vehicle_files,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\car01x.vehstuck,car01x.vehstuck,car01x.vehstuck,.vehstuck,269,1d23c7a656b0eae3c1b66b1a3064081716d881f6,known_target_filename
tune_metadata,driveable_vehicles_backup,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\tune\vehicle\car01x.vehstuck,tune\vehicle\car01x.vehstuck,car01x.vehstuck,.vehstuck,269,1d23c7a656b0eae3c1b66b1a3064081716d881f6,known_target_filename
tune_metadata,codered_driveable_vehicles_mod,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\Mods\Game - Driveable vehicles +\tune\vehicle\truck01x.vehgyro,tune\vehicle\truck01x.vehgyro,truck01x.vehgyro,.vehgyro,392,ec9d70623b933c3ee7068f3a73ce4a3bc05f9864,known_target_filename
tune_metadata,codered_stock_vehicle_files,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\truck01x.vehgyro,truck01x.vehgyro,truck01x.vehgyro,.vehgyro,392,ec9d70623b933c3ee7068f3a73ce4a3bc05f9864,known_target_filename
tune_metadata,driveable_vehicles_backup,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\tune\vehicle\truck01x.vehgyro,tune\vehicle\truck01x.vehgyro,truck01x.vehgyro,.vehgyro,392,ec9d70623b933c3ee7068f3a73ce4a3bc05f9864,known_target_filename
tune_metadata,codered_driveable_vehicles_mod,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\Mods\Game - Driveable vehicles +\tune\vehicle\truck01x.vehinput,tune\vehicle\truck01x.vehinput,truck01x.vehinput,.vehinput,179,0b0e79b03f146359a30760621ab11f6b0a37eb55,known_target_filename
tune_metadata,codered_stock_vehicle_files,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\truck01x.vehinput,truck01x.vehinput,truck01x.vehinput,.vehinput,179,0b0e79b03f146359a30760621ab11f6b0a37eb55,known_target_filename
tune_metadata,driveable_vehicles_backup,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\tune\vehicle\truck01x.vehinput,tune\vehicle\truck01x.vehinput,truck01x.vehinput,.vehinput,179,0b0e79b03f146359a30760621ab11f6b0a37eb55,known_target_filename
tune_metadata,codered_driveable_vehicles_mod,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\Mods\Game - Driveable vehicles +\tune\vehicle\truck01x.vehmodel,tune\vehicle\truck01x.vehmodel,truck01x.vehmodel,.vehmodel,533,895dee09e5a351650e454358612b1425cd615c08,known_target_filename
tune_metadata,codered_stock_vehicle_files,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\truck01x.vehmodel,truck01x.vehmodel,truck01x.vehmodel,.vehmodel,533,895dee09e5a351650e454358612b1425cd615c08,known_target_filename
tune_metadata,driveable_vehicles_backup,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\tune\vehicle\truck01x.vehmodel,tune\vehicle\truck01x.vehmodel,truck01x.vehmodel,.vehmodel,533,895dee09e5a351650e454358612b1425cd615c08,known_target_filename
tune_metadata,codered_driveable_vehicles_mod,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\Mods\Game - Driveable vehicles +\tune\vehicle\truck01x.vehsim,tune\vehicle\truck01x.vehsim,truck01x.vehsim,.vehsim,6319,e98e8bd7a346552b97d0781ca415fb5a8adaa028,known_target_filename
tune_metadata,codered_stock_vehicle_files,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\truck01x.vehsim,truck01x.vehsim,truck01x.vehsim,.vehsim,6310,5fc34fd89e2351aa69721d24af86d679be4a66da,known_target_filename
tune_metadata,driveable_vehicles_backup,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\tune\vehicle\truck01x.vehsim,tune\vehicle\truck01x.vehsim,truck01x.vehsim,.vehsim,6319,e98e8bd7a346552b97d0781ca415fb5a8adaa028,known_target_filename
tune_metadata,codered_driveable_vehicles_mod,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\Mods\Game - Driveable vehicles +\tune\vehicle\truck01x.vehstuck,tune\vehicle\truck01x.vehstuck,truck01x.vehstuck,.vehstuck,269,1d23c7a656b0eae3c1b66b1a3064081716d881f6,known_target_filename
tune_metadata,codered_stock_vehicle_files,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\truck01x.vehstuck,truck01x.vehstuck,truck01x.vehstuck,.vehstuck,269,1d23c7a656b0eae3c1b66b1a3064081716d881f6,known_target_filename
tune_metadata,driveable_vehicles_backup,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\tune\vehicle\truck01x.vehstuck,tune\vehicle\truck01x.vehstuck,truck01x.vehstuck,.vehstuck,269,1d23c7a656b0eae3c1b66b1a3064081716d881f6,known_target_filename
