# Code RED source/decompiled export
# Source: data/codered/faction_wars_actionable_targets.csv
# SHA1: f9589931db8580f41f04991eaa17756ee6bc5941

actionable_score,score,category,path,source_kind,regions,groups,high_value_terms,size
2499,2374,world host / gringo,research/IMPORTANT_readable_root_index_2026-05-02/categories/npc_ai_factions.csv,repo/text,armadillo,factions:849|scripting:158|spawning:390|war_behavior:210|weapons_pressure:111|world_hosts:611,commongringos|gringobrain|population|task_follow|vehicle_generator,114159
2495,2445,archive patch lane,scratch/script_workshop_pipeline/scan_index/script_pipeline_scan_index.json,repo/text,tumbleweed,factions:49|scripting:728|spawning:785|war_behavior:134|weapons_pressure:120|world_hosts:544,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,287543
2357,2232,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__IMPORTANT_readable_root_index_2026-05-02__categories__multiplayer_scripts.csv.decompiled_source.txt,manifest/text,armadillo|blackwater|gaptooth|rathskeller|tumbleweed,factions:499|scripting:463|spawning:321|war_behavior:105|weapons_pressure:169|world_hosts:610,commongringos|gringobrain|population|task_follow|vehicle_generator,176568
2356,2231,world host / gringo,research/IMPORTANT_readable_root_index_2026-05-02/categories/multiplayer_scripts.csv,repo/text,armadillo|blackwater|gaptooth|rathskeller|tumbleweed,factions:499|scripting:462|spawning:321|war_behavior:105|weapons_pressure:169|world_hosts:610,commongringos|gringobrain|population|task_follow|vehicle_generator,176010
2179,2129,archive patch lane,scratch/script_workshop_pipeline/scan_index/script_pipeline_scan_index.csv,repo/text,tumbleweed,factions:49|scripting:571|spawning:749|war_behavior:130|weapons_pressure:120|world_hosts:425,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,104596
1982,1857,world host / gringo,research/extracted_root_research/strings_findings.csv,repo/text,armadillo|chuparosa|gaptooth|thieves|tumbleweed,factions:255|scripting:65|spawning:368|war_behavior:55|weapons_pressure:341|world_hosts:716,commongringos|gringobrain|refgroup|vehicle_generator,775366
1982,1857,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__extracted_root_research__strings_findings.csv.decompiled_source.txt,manifest/text,armadillo|chuparosa|gaptooth|thieves|tumbleweed,factions:255|scripting:65|spawning:368|war_behavior:55|weapons_pressure:341|world_hosts:716,commongringos|gringobrain|refgroup|vehicle_generator,776078
1719,1594,world host / gringo,research/IMPORTANT_readable_root_index_2026-05-02/categories/model_resource_refs.csv,repo/text,blackwater|manzanita,factions:319|scripting:110|spawning:568|war_behavior:7|weapons_pressure:138|world_hosts:402,commongringos|gringobrain|population|refgroup|vehicle_generator,531374
1719,1594,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__IMPORTANT_readable_root_index_2026-05-02__categories__model_resource_refs.csv.decompiled_source.txt,manifest/text,blackwater|manzanita,factions:319|scripting:110|spawning:568|war_behavior:7|weapons_pressure:138|world_hosts:402,commongringos|gringobrain|population|refgroup|vehicle_generator,533098
1707,1657,script/native candidate,scratch/script_workshop_pipeline/recompile_queue/RECOMPILE_QUEUE.json,repo/text,tumbleweed,factions:53|scripting:326|spawning:709|war_behavior:128|weapons_pressure:122|world_hosts:234,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,105965
1564,1464,world host / gringo,research/IMPORTANT_readable_root_index_2026-05-02/categories/strings_ui_text.csv,repo/text,armadillo,factions:285|scripting:142|spawning:425|war_behavior:46|weapons_pressure:133|world_hosts:396,commongringos|gringobrain|population|vehicle_generator,279230
