# Code RED source/decompiled export
# Source: data/codered/faction_wars_targets.csv
# SHA1: b37f585be34a741f127b9af9c307ae0cd6b7a692

score,category,path,source_kind,regions,groups,high_value_terms,size
8725,world host / gringo,research/blackwater_wsi_gringo_correlation_outputs/wgd_keyword_components.csv,repo/text,,factions:28|scripting:3851|spawning:6|war_behavior:6|weapons_pressure:98|world_hosts:4720,gringobrain|vehicle_generator,173869
8725,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/read/research__blackwater_wsi_gringo_correlation_outputs__wgd_keyword_components.csv.fullread.txt,manifest/text,,factions:28|scripting:3851|spawning:6|war_behavior:6|weapons_pressure:98|world_hosts:4720,gringobrain|vehicle_generator,174853
8725,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/edit/research/blackwater_wsi_gringo_correlation_outputs/wgd_keyword_components.csv,manifest/text,,factions:28|scripting:3851|spawning:6|war_behavior:6|weapons_pressure:98|world_hosts:4720,gringobrain|vehicle_generator,173869
8089,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__extracted_root_research__vehicle_spawning_findings.csv.decompiled_source.txt,manifest/text,armadillo|chuparosa|escalera|gaptooth|landing|manzanita|tumbleweed,factions:255|scripting:336|spawning:3605|war_behavior:275|weapons_pressure:697|world_hosts:2838,commongringos|gringobrain|population|refgroup|task_kill|vehicle_generator,989275
8088,world host / gringo,research/extracted_root_research/vehicle_spawning_findings.csv,repo/text,armadillo|chuparosa|escalera|gaptooth|landing|manzanita|tumbleweed,factions:255|scripting:336|spawning:3604|war_behavior:275|weapons_pressure:697|world_hosts:2838,commongringos|gringobrain|population|refgroup|task_kill|vehicle_generator,988445
8088,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/read/research__extracted_root_research__vehicle_spawning_findings.csv.fullread.txt,manifest/text,armadillo|chuparosa|escalera|gaptooth|landing|manzanita|tumbleweed,factions:255|scripting:336|spawning:3604|war_behavior:275|weapons_pressure:697|world_hosts:2838,commongringos|gringobrain|population|refgroup|task_kill|vehicle_generator,989112
8088,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/edit/research/extracted_root_research/vehicle_spawning_findings.csv,manifest/text,armadillo|chuparosa|escalera|gaptooth|landing|manzanita|tumbleweed,factions:255|scripting:336|spawning:3604|war_behavior:275|weapons_pressure:697|world_hosts:2838,commongringos|gringobrain|population|refgroup|task_kill|vehicle_generator,988445
7021,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/data__codered__faction_wars_targets.csv.decompiled_source.txt,manifest/text,armadillo|blackwater|chuparosa|escalera|fort mercer|gaptooth|henningan|landing|macfarlane|manzanita|mexico|new austin|nuevo paraiso|plainview|rathskeller|ridgewood|rio bravo|tall trees|thieves|tumbleweed,factions:699|scripting:2796|spawning:1994|war_behavior:80|weapons_pressure:585|world_hosts:655,ai_is_hostile|commongringos|create_actor|get_actor_faction|gringobrain|population|refgroup|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander|vehicle_generator,270256
7020,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/read/data__codered__faction_wars_targets.csv.fullread.txt,manifest/text,armadillo|blackwater|chuparosa|escalera|fort mercer|gaptooth|henningan|landing|macfarlane|manzanita|mexico|new austin|nuevo paraiso|plainview|rathskeller|ridgewood|rio bravo|tall trees|thieves|tumbleweed,factions:698|scripting:2796|spawning:1994|war_behavior:80|weapons_pressure:585|world_hosts:655,ai_is_hostile|commongringos|create_actor|get_actor_faction|gringobrain|population|refgroup|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander|vehicle_generator,270118
7020,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/edit/data/codered/faction_wars_targets.csv,manifest/text,armadillo|blackwater|chuparosa|escalera|fort mercer|gaptooth|henningan|landing|macfarlane|manzanita|mexico|new austin|nuevo paraiso|plainview|rathskeller|ridgewood|rio bravo|tall trees|thieves|tumbleweed,factions:698|scripting:2796|spawning:1994|war_behavior:80|weapons_pressure:585|world_hosts:655,ai_is_hostile|commongringos|create_actor|get_actor_faction|gringobrain|population|refgroup|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander|vehicle_generator,268959
