index,path,raw_size,rsc,resource_type,codec,decoded_size,decode_error,score,reasons
492,root\content\release64\dlc\0x22398628\system\designerdefined\ui\0x5FE569A9,7875,False,,,,,32,
493,root\content\release64\dlc\0x22398628\system\designerdefined\ui\0xC349054C,7694,True,2,zstd,20480,,59,
494,root\content\release64\dlc\0x22398628\system\designerdefined\player\0x4FC59830,3819,True,2,zstd,12288,,139,
495,root\content\release64\dlc\0x22398628\system\designerdefined\player\0x89C2749B,3879,False,,,,,20,
508,root\content\release64\dlc\0x22398628\0x93896EB6\return\0x06D951E9,15706,False,,,,,235,u16be:1194:1;u16le:1193:1
509,root\content\release64\dlc\0x22398628\0x93896EB6\return\0x14F0A2BA,14044,False,,,,,100,u16be:1194:1
510,root\content\release64\dlc\0x22398628\0x93896EB6\return\0x4535036B,15157,True,2,zstd,36864,,298,
511,root\content\release64\dlc\0x22398628\0x93896EB6\return\0x5D6D1575,13532,True,2,zstd,36864,,278,
512,root\content\release64\dlc\0x22398628\0x93896EB6\0x34DC08E0\0x08D9B9A2,13040,True,2,zstd,36864,,280,
513,root\content\release64\dlc\0x22398628\0x93896EB6\0x34DC08E0\0x0AD89ED4,13534,False,,,,,47,
514,root\content\release64\dlc\0x22398628\0x93896EB6\0x34DC08E0\0x0ED93702,18191,False,,,,,193,u16be:1193:1;u16le:1193:1
515,root\content\release64\dlc\0x22398628\0x93896EB6\0x34DC08E0\0x1B363C03,17526,True,2,zstd,40960,,319,
516,root\content\release64\dlc\0x22398628\0x93896EB6\0x34DC08E0\0x1C654C6A,13534,False,,,,,184,u16be:1194:1;u16be:1193:1
517,root\content\release64\dlc\0x22398628\0x93896EB6\0x34DC08E0\0x1C6D7992,19788,True,2,zstd,53248,,367,u16be:1193:1
518,root\content\release64\dlc\0x22398628\0x93896EB6\0x34DC08E0\0x4A3C10CF,13535,False,,,,,67,
519,root\content\release64\dlc\0x22398628\0x93896EB6\0x34DC08E0\0x5F451037,13041,True,2,zstd,36864,,280,
520,root\content\release64\dlc\0x22398628\0x93896EB6\0x34DC08E0\0x8445DBEB,13045,True,2,zstd,36864,,280,
521,root\content\release64\dlc\0x22398628\0x93896EB6\0x34DC08E0\0x8EB5BF51,20647,False,,,,,82,
522,root\content\release64\dlc\0x22398628\0x93896EB6\0x34DC08E0\0x9E61A2F0,13041,True,2,zstd,36864,,280,
523,root\content\release64\dlc\0x22398628\0x93896EB6\0x34DC08E0\0xC80FF3FC,13041,True,2,zstd,36864,,280,
524,root\content\release64\dlc\0x22398628\0x93896EB6\0x34DC08E0\0xDF56A1C8,13537,False,,,,,134,u16le:1193:1
