index,path,name,size,resource_type,resource_type_hint,score,reasons,decoded_size,decode_error
1614,root\content\release64\frontier\0xDCF649E3\0x186E28ED\0x30140A39,0x30140A39,59185,2,.wsc/.csc script,757,u16be:1193:2;u16be:1194:1;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,159744,
1633,root\content\release64\frontier\0xDCF649E3\0xF9D28E84\0xAE4512F4,0xAE4512F4,59748,2,.wsc/.csc script,755,u16le:1193:1;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,159744,
1209,root\content\release64\mexico\0xDCF649E3\0x6F9F3F6B\0x886C708A,0x886C708A,56655,2,.wsc/.csc script,743,u16be:1193:1;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,143360,
1631,root\content\release64\frontier\0xDCF649E3\0xE94D35D2\0xAD132415,0xAD132415,54621,2,.wsc/.csc script,740,u16be:1194:27;u16be:1193:8,167936,
1218,root\content\release64\mexico\0xDCF649E3\0xFEFE6013\0x5EB287AA,0x5EB287AA,65145,2,.wsc/.csc script,724,u16be:1193:1;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,176128,
1635,root\content\release64\frontier\0xDCF649E3\0xFD0423B4\0xB5A8B748,0xB5A8B748,81194,2,.wsc/.csc script,701,u16be:1193:2;u16be:1194:1,233472,
276,root\content\release64\0xD8ED5F51,0xD8ED5F51,84437,,,695,u16be:1193:2;u16le:1193:2;u16le:1194:1,,
1207,root\content\release64\mexico\0xDCF649E3\0x27CBC3C7\0xD62C51EC,0xD62C51EC,73010,2,.wsc/.csc script,682,hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,192512,
1617,root\content\release64\frontier\0xDCF649E3\0x32B062A5\0x94068461,0x94068461,60159,2,.wsc/.csc script,681,hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,176128,
487,root\content\release64\dlc\0x22398628\system\0xAD45C199,0xAD45C199,42062,2,.wsc/.csc script,678,u16be:1193:4;u16be:1194:4,110592,
1620,root\content\release64\frontier\0xDCF649E3\0x5785434D\0x245D0D61,0x245D0D61,70506,2,.wsc/.csc script,677,u16be:1193:1;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,184320,
1212,root\content\release64\mexico\0xDCF649E3\0xD2341895\0x2E97126F,0x2E97126F,66951,2,.wsc/.csc script,673,string:gatlingshoot;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,167936,
1281,root\content\release64\0x72440E09\0xDCF649E3\0x033AAA40\0x8183E46C,0x8183E46C,57728,2,.wsc/.csc script,663,u16be:1194:2;u16le:1193:1,159744,
1296,root\content\release64\0x72440E09\0xDCF649E3\0xB58205E7\0x24E4CA19\0xB5138BCD,0xB5138BCD,64806,2,.wsc/.csc script,663,u16be:1193:2,212992,
1300,root\content\release64\0x72440E09\0xDCF649E3\0xB58205E7\0xD825E0DB\0x465DC09E,0x465DC09E,50552,2,.wsc/.csc script,663,u16le:1194:1;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,126976,
1301,root\content\release64\0x72440E09\0xDCF649E3\0xB58205E7\0xF5C7D231\0x375258F9,0x375258F9,57659,2,.wsc/.csc script,661,u16be:1194:3,159744,
1287,root\content\release64\0x72440E09\0xDCF649E3\0xAAAE7040\0xF1E24670,0xF1E24670,74072,2,.wsc/.csc script,650,,258048,
717,root\content\release64\dlc\0x22398628\frontier\gaptooth_ridge\0xA51AF855\0x498048D4,0x498048D4,44364,2,.wsc/.csc script,648,u16be:1193:2;u16be:1194:1,118784,
1623,root\content\release64\frontier\0xDCF649E3\0x8A1F7774\0xAF013698,0xAF013698,50920,2,.wsc/.csc script,640,u16be:1194:1;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,131072,
1077,root\content\release64\scripting\gringo\0xB834ADD2\0xFD89F4C0,0xFD89F4C0,24244,2,.wsc/.csc script,627,path:gringo;u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
855,root\content\release64\scripting\designerdefined\0x2A7FD8D4,0x2A7FD8D4,40800,2,.wsc/.csc script,621,,106496,
1211,root\content\release64\mexico\0xDCF649E3\0xB6FFD017\0xDBA116B8,0xDBA116B8,73024,2,.wsc/.csc script,602,hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,200704,
