"BasePath","HasWSC","HasSCO","WSCBytes","SCOBytes","WSCHead","SCOHead"
"game\content_extracted\release64\dlc\zombiepack\gringos\scripts\phosphorous","True","True","6954","7118","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\gringos\scripts\zombie_camp02_gringo","True","True","14166","14748","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\gringos\scripts\zombie_camp03_gringo","True","True","13026","13554","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\gringos\scripts\zombiebaitkit","True","True","6936","7101","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\gringos\scripts\zombieboomkit","True","True","6474","6606","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\gringos\scripts\zombiepack_footlocker","True","True","13457","14031","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\gringos\scripts\zombiepack_lootzombie","True","True","15178","15936","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\gringos\scripts\zombiepack_sleepgringo","True","True","10469","10740","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\gringos\scripts\zombiepack_treasure","True","True","18327","19138","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\agv_population_z","True","True","1867","1943","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\arm_population_z","True","True","2221","2328","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\beh_population_z","True","True","1844","1930","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\ben_population_z","True","True","1656","1724","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
