offset,offset_hex,opcode,width,value,actor_kind,operand_hex
46070,0xB3F6,37,1,31,eActorEnum_candidate,1F
46080,0xB400,37,1,64,eActorEnum_candidate,40
46091,0xB40B,37,1,34,eActorEnum_candidate,22
46101,0xB415,37,1,128,eActorEnum_candidate,80
46112,0xB420,37,1,37,eActorEnum_candidate,25
46122,0xB42A,65,2,256,eActorEnum_candidate,01 00
46134,0xB436,37,1,44,eActorEnum_candidate,2C
46144,0xB440,65,2,512,gang_actor,02 00
46156,0xB44C,37,1,48,eActorEnum_candidate,30
46166,0xB456,65,2,1024,eActorEnum_candidate,04 00
46178,0xB462,37,1,53,eActorEnum_candidate,35
46188,0xB46C,65,2,2048,,08 00
46200,0xB478,37,1,56,eActorEnum_candidate,38
46210,0xB482,65,2,4096,,10 00
46222,0xB48E,37,1,59,eActorEnum_candidate,3B
46232,0xB498,65,2,8192,,20 00
46244,0xB4A4,37,1,63,eActorEnum_candidate,3F
46254,0xB4AE,65,2,16384,,40 00
46266,0xB4BA,37,1,67,eActorEnum_candidate,43
46289,0xB4D1,37,1,71,eActorEnum_candidate,47
46312,0xB4E8,37,1,76,eActorEnum_candidate,4C
46349,0xB50D,37,1,9,eActorEnum_candidate,09
46363,0xB51B,37,1,10,eActorEnum_candidate,0A
46390,0xB536,37,1,15,eActorEnum_candidate,0F
46404,0xB544,37,1,14,eActorEnum_candidate,0E
46457,0xB579,37,1,8,eActorEnum_candidate,08
46930,0xB752,65,2,992,eActorEnum_candidate,03 E0
46938,0xB75A,37,1,52,eActorEnum_candidate,34
46965,0xB775,37,1,25,eActorEnum_candidate,19
46992,0xB790,37,1,11,eActorEnum_candidate,0B
47006,0xB79E,37,1,13,eActorEnum_candidate,0D
47020,0xB7AC,37,1,16,eActorEnum_candidate,10
47034,0xB7BA,37,1,17,eActorEnum_candidate,11
47048,0xB7C8,37,1,18,eActorEnum_candidate,12
47062,0xB7D6,37,1,24,eActorEnum_candidate,18
47076,0xB7E4,37,1,26,eActorEnum_candidate,1A
47090,0xB7F2,37,1,22,eActorEnum_candidate,16
47104,0xB800,37,1,28,eActorEnum_candidate,1C
47118,0xB80E,37,1,35,eActorEnum_candidate,23
47132,0xB81C,37,1,36,eActorEnum_candidate,24
47146,0xB82A,37,1,37,eActorEnum_candidate,25
47160,0xB838,37,1,38,eActorEnum_candidate,26
47174,0xB846,37,1,39,eActorEnum_candidate,27
47188,0xB854,37,1,23,eActorEnum_candidate,17
47216,0xB870,37,1,60,eActorEnum_candidate,3C
47225,0xB879,37,1,60,eActorEnum_candidate,3C
47250,0xB892,37,1,11,eActorEnum_candidate,0B
47376,0xB910,40,4,1092616192,,41 20 00 00
47512,0xB998,37,1,38,eActorEnum_candidate,26
47679,0xBA3F,37,1,128,eActorEnum_candidate,80
47697,0xBA51,37,1,64,eActorEnum_candidate,40
47708,0xBA5C,37,1,20,eActorEnum_candidate,14
47718,0xBA66,37,1,16,eActorEnum_candidate,10
47790,0xBAAE,65,2,275,eActorEnum_candidate,01 13
47884,0xBB0C,37,1,255,eActorEnum_candidate,FF
47901,0xBB1D,37,1,255,eActorEnum_candidate,FF
47931,0xBB3B,65,2,275,eActorEnum_candidate,01 13
47961,0xBB59,65,2,275,eActorEnum_candidate,01 13
48226,0xBC62,65,2,275,eActorEnum_candidate,01 13
48306,0xBCB2,37,1,15,eActorEnum_candidate,0F
48311,0xBCB7,37,1,255,eActorEnum_candidate,FF
48321,0xBCC1,37,1,255,eActorEnum_candidate,FF
48324,0xBCC4,37,1,12,eActorEnum_candidate,0C
49732,0xC244,37,1,18,eActorEnum_candidate,12
49740,0xC24C,37,1,30,eActorEnum_candidate,1E
49768,0xC268,37,1,18,eActorEnum_candidate,12
49776,0xC270,37,1,30,eActorEnum_candidate,1E
49817,0xC299,37,1,18,eActorEnum_candidate,12
49825,0xC2A1,37,1,30,eActorEnum_candidate,1E
49853,0xC2BD,37,1,18,eActorEnum_candidate,12
49861,0xC2C5,37,1,30,eActorEnum_candidate,1E
49889,0xC2E1,37,1,18,eActorEnum_candidate,12
49897,0xC2E9,37,1,30,eActorEnum_candidate,1E
49925,0xC305,37,1,18,eActorEnum_candidate,12
