offset,offset_hex,length,text,population_term,string_class
75269,0x12605,4,:9=(,,unknown
75280,0x12610,5,:9=(%,,debug/display text
75298,0x12622,4,:9>(,,unknown
75305,0x12629,5,-:9>(,,unknown
75315,0x12633,4,:9>(,,unknown
75324,0x1263C,5,:9>(%,,debug/display text
75343,0x1264F,4,:9?$,,debug/display text
75348,0x12654,5,:9?(b,,debug/display text
75372,0x1266C,4,:9>(,,unknown
75389,0x1267D,4,:9>(,,unknown
75406,0x1268E,4,:9>(,,unknown
75423,0x1269F,5,:9>(%,,debug/display text
75460,0x126C4,7,:9> :9>,,debug/display text
75479,0x126D7,4,SG-c,,unknown
75488,0x126E0,5,AM_ER,,unknown
75499,0x126EB,4,SF7%,,debug/display text
75586,0x12742,12,challenge_01,,unknown
75602,0x12752,5,:9? b,,debug/display text
75639,0x12777,7,SH;:9> ,,debug/display text
75656,0x12788,5,":9=,6",,unknown
75678,0x1279E,5,":9=,5",,unknown
75702,0x127B6,5,":9=,6",,unknown
75709,0x127BD,4,:9?$,,debug/display text
75717,0x127C5,4,S4d9,,unknown
75746,0x127E2,8,",C&,C')>",,unknown
75759,0x127EF,5,":9=,5",,unknown
75783,0x12807,7,",C&,C(,",,unknown
75807,0x1281F,4,",C)c",,unknown
75845,0x12845,12,AM_ERcounted,,unknown
75864,0x12858,6,!:9>$=,,debug/display text
75871,0x1285F,5,:9?$7,,debug/display text
75880,0x12868,12,AM_ERcounted,,unknown
75903,0x1287F,5,S:9>$,,unknown
75918,0x1288E,5,:9?$b,,debug/display text
75930,0x1289A,6,SF7%[7,,debug/display text
75938,0x128A2,4,S4d9,,unknown
75967,0x128BF,8,",C&,C')>",,unknown
75980,0x128CC,5,":9=,5",,unknown
76004,0x128E4,7,",C&,C(,",,unknown
76028,0x128FC,4,",C)c",,unknown
76081,0x12931,12,AM_ERcounted,,unknown
76100,0x12944,6,!:9>$=,,debug/display text
76107,0x1294B,5,:9?$7,,debug/display text
76116,0x12954,12,AM_ERcounted,,unknown
76139,0x1296B,5,D:9>$,,unknown
76154,0x1297A,5,:9?$b,,debug/display text
76166,0x12986,4,SF7b,,unknown
76172,0x1298C,4,SG-c,,unknown
76181,0x12995,5,AM_ER,,unknown
76192,0x129A0,4,SF7%,,debug/display text
76279,0x129F7,12,challenge_01,,unknown
76295,0x12A07,5,:9? b,,debug/display text
76304,0x12A10,4,h:9>,,unknown
76332,0x12A2C,7,SH;:9> ,,debug/display text
76349,0x12A3D,5,":9=,6",,unknown
76371,0x12A53,5,":9=,5",,unknown
76395,0x12A6B,5,":9=,6",,unknown
76402,0x12A72,4,:9?$,,debug/display text
76409,0x12A79,6,ANIMAL,,event/task name
76449,0x12AA1,8,",C&,C')>",,unknown
76462,0x12AAE,5,":9=,5",,unknown
76486,0x12AC6,7,",C&,C(,",,unknown
76510,0x12ADE,4,",C*c",,unknown
76531,0x12AF3,12,AM_ERcounted,,unknown
76550,0x12B06,6,!:9>$=,,debug/display text
76557,0x12B0D,5,:9?$7,,debug/display text
76566,0x12B16,12,AM_ERcounted,,unknown
76589,0x12B2D,5,d:9>$,,unknown
76604,0x12B3C,5,:9?$b,,debug/display text
76616,0x12B48,6,SF7%[o,,debug/display text
76623,0x12B4F,6,ANIMAL,,event/task name
76663,0x12B77,8,",C&,C')>",,unknown
76676,0x12B84,5,":9=,5",,unknown
76700,0x12B9C,7,",C&,C(,",,unknown
76724,0x12BB4,4,",C*c",,unknown
76760,0x12BD8,12,AM_ERcounted,,unknown
76779,0x12BEB,6,!:9>$=,,debug/display text
76786,0x12BF2,5,:9?$7,,debug/display text
76795,0x12BFB,12,AM_ERcounted,,unknown
76818,0x12C12,5,U:9>$,,unknown
76833,0x12C21,5,:9?$b,,debug/display text
76845,0x12C2D,4,SF7b,,unknown
76851,0x12C33,4,SG-c,,unknown
76860,0x12C3C,5,AM_ER,,unknown
76871,0x12C47,4,SF7%,,debug/display text
76900,0x12C64,6,:9?$S6,,debug/display text
76963,0x12CA3,12,challenge_01,,unknown
76979,0x12CB3,5,:9? b,,debug/display text
77015,0x12CD7,8,#SH;:9> ,,debug/display text
77033,0x12CE9,5,":9=,6",,unknown
77055,0x12CFF,5,":9=,5",,unknown
77079,0x12D17,5,":9=,6",,unknown
77091,0x12D23,4,:9>$,,unknown
77108,0x12D34,8,:9?$SH;P,,debug/display text
77148,0x12D5C,4,S4d9,,unknown
77177,0x12D79,8,",C&,C')>",,unknown
77190,0x12D86,5,":9=,5",,unknown
77226,0x12DAA,7,",C&,C(,",,unknown
77250,0x12DC2,4,",C)c",,unknown
