string_offset,string_offset_hex,string_text,string_class,reference_instruction_offset,reference_instruction_offset_hex,owner_function_index,owner_function,owner_function_offset_range
54714,0xD5BA,dixonCrossingAfter,unknown,54712,0xD5B8,226,Function_226,0xBCEF..0xF16F
54738,0xD5D2,dixonCrossingBefore,unknown,54736,0xD5D0,226,Function_226,0xBCEF..0xF16F
54763,0xD5EB,rsdROAD_thi_blk_road,unknown,54761,0xD5E9,226,Function_226,0xBCEF..0xF16F
54791,0xD607,rsdROAD_thi_blk_roaddetachedCurve2,unknown,54789,0xD605,226,Function_226,0xBCEF..0xF16F
54833,0xD631,rsdGPSTRAIL_curve124,unknown,54831,0xD62F,226,Function_226,0xBCEF..0xF16F
54861,0xD64D,rsdGPSTRAIL_curve132,unknown,54859,0xD64B,226,Function_226,0xBCEF..0xF16F
54892,0xD66C,hen_barn02x,unknown,54890,0xD66A,226,Function_226,0xBCEF..0xF16F
54909,0xD67D,hen_barn02props01x,unknown,54907,0xD67B,226,Function_226,0xBCEF..0xF16F
54933,0xD695,hen_barn01x,unknown,54931,0xD693,226,Function_226,0xBCEF..0xF16F
54950,0xD6A6,hen_barn01props01x,unknown,54948,0xD6A4,226,Function_226,0xBCEF..0xF16F
54980,0xD6C4,campoMiradaAfter,unknown,54978,0xD6C2,226,Function_226,0xBCEF..0xF16F
55002,0xD6DA,campoMiradaBefore,unknown,55000,0xD6D8,226,Function_226,0xBCEF..0xF16F
55034,0xD6FA,fronteraBridgeAfter,unknown,55032,0xD6F8,226,Function_226,0xBCEF..0xF16F
55059,0xD713,fronteraBridgeBefore,unknown,55057,0xD711,226,Function_226,0xBCEF..0xF16F
55088,0xD730,fronteraBridgeAfter,unknown,55086,0xD72E,226,Function_226,0xBCEF..0xF16F
55113,0xD749,fronteraBridgeBefore,unknown,55111,0xD747,226,Function_226,0xBCEF..0xF16F
55142,0xD766,fod_gates01x,unknown,55140,0xD764,226,Function_226,0xBCEF..0xF16F
55160,0xD778,fod_gates02x,unknown,55158,0xD776,226,Function_226,0xBCEF..0xF16F
55178,0xD78A,fod_gates02Doors01x,unknown,55176,0xD788,226,Function_226,0xBCEF..0xF16F
55215,0xD7AF,masonBridgeAfter,unknown,55213,0xD7AD,226,Function_226,0xBCEF..0xF16F
55237,0xD7C5,masonBridgeBefore,unknown,55235,0xD7C3,226,Function_226,0xBCEF..0xF16F
55263,0xD7DF,masonBridgeAfter,unknown,55261,0xD7DD,226,Function_226,0xBCEF..0xF16F
55285,0xD7F5,masonBridgeBefore,unknown,55283,0xD7F3,226,Function_226,0xBCEF..0xF16F
55317,0xD815,lmf_troughAfter01x,unknown,55315,0xD813,226,Function_226,0xBCEF..0xF16F
55341,0xD82D,lmf_troughBefore01x,unknown,55339,0xD82B,226,Function_226,0xBCEF..0xF16F
55369,0xD849,lmf_troughAfter01x,unknown,55367,0xD847,226,Function_226,0xBCEF..0xF16F
55393,0xD861,lmf_troughBefore01x,unknown,55391,0xD85F,226,Function_226,0xBCEF..0xF16F
55421,0xD87D,morningStar,unknown,55419,0xD87B,226,Function_226,0xBCEF..0xF16F
