index,type,path,name,extension,offset,size_in_archive,total_size,is_resource,is_compressed,resource_type
426,file,root/content/release64/dlc/zombiepack/gringos/scripts/zombiepack_lootzombie.wsc,zombiepack_lootzombie.wsc,.wsc,3364864,15178,36864,True,False,2
427,file,root/content/release64/dlc/zombiepack/gringos/scripts/missingpersonsposter.wsc,missingpersonsposter.wsc,.wsc,3307520,6989,20480,True,False,2
428,file,root/content/release64/dlc/zombiepack/gringos/scripts/holy_relic.sco,holy_relic.sco,.sco,16858704,6843,6843,False,False,
429,file,root/content/release64/dlc/zombiepack/gringos/scripts/dlc_player_burn_coffin.wsc,dlc_player_burn_coffin.wsc,.wsc,3289088,9083,20480,True,False,2
430,file,root/content/release64/dlc/zombiepack/gringos/scripts/zombiepack_treasure.wsc,zombiepack_treasure.wsc,.wsc,3393536,18327,53248,True,False,2
431,file,root/content/release64/dlc/zombiepack/gringos/scripts/blunderbussammokit.sco,blunderbussammokit.sco,.sco,16824312,7167,7167,False,False,
432,file,root/content/release64/dlc/zombiepack/gringos/scripts/missingpersonsposter.sco,missingpersonsposter.sco,.sco,16865552,7212,7212,False,False,
433,file,root/content/release64/dlc/zombiepack/gringos/scripts/dlc_player_burn_coffin.sco,dlc_player_burn_coffin.sco,.sco,16849416,9286,9286,False,False,
434,file,root/content/release64/dlc/zombiepack/gringos/scripts/phosphorous.wsc,phosphorous.wsc,.wsc,3325952,6954,20480,True,False,2
435,file,root/content/release64/dlc/zombiepack/gringos/scripts/zombiebaitkit.sco,zombiebaitkit.sco,.sco,16888360,7101,7101,False,False,
436,file,root/content/release64/dlc/zombiepack/gringos/scripts/zombieboomkit.sco,zombieboomkit.sco,.sco,16895464,6606,6606,False,False,
437,file,root/content/release64/dlc/zombiepack/gringos/scripts/zombiepack_footlocker.wsc,zombiepack_footlocker.wsc,.wsc,3350528,13457,36864,True,False,2
438,file,root/content/release64/dlc/zombiepack/gringos/scripts/holy_relic.wsc,holy_relic.wsc,.wsc,3299328,6702,20480,True,False,2
439,file,root/content/release64/dlc/zombiepack/gringos/scripts/zombiepack_treasure.sco,zombiepack_treasure.sco,.sco,16942792,19138,19138,False,False,
440,file,root/content/release64/dlc/zombiepack/gringos/scripts/zombiepack_lootzombie.sco,zombiepack_lootzombie.sco,.sco,16916104,15936,15936,False,False,
441,file,root/content/release64/dlc/zombiepack/gringos/scripts/zombie_camp03_gringo.wsc,zombie_camp03_gringo.wsc,.wsc,3426304,13026,36864,True,False,2
442,file,root/content/release64/dlc/zombiepack/gringos/scripts/zombiepack_footlocker.sco,zombiepack_footlocker.sco,.sco,16902072,14031,14031,False,False,
443,dir,root/content/release64/dlc/zombiepack/init/pop,pop,,,,,,,
444,file,root/content/release64/dlc/zombiepack/init/pop/arm_population_z.wsc,arm_population_z.wsc,.wsc,3442688,2221,12288,True,False,2
445,file,root/content/release64/dlc/zombiepack/init/pop/agv_population_z.sco,agv_population_z.sco,.sco,16990248,1943,1943,False,False,
446,file,root/content/release64/dlc/zombiepack/init/pop/upr_population_z.wsc,upr_population_z.wsc,.wsc,3549184,1767,12288,True,False,2
447,file,root/content/release64/dlc/zombiepack/init/pop/chu_population_z.wsc,chu_population_z.wsc,.wsc,3459072,1882,12288,True,False,2
448,file,root/content/release64/dlc/zombiepack/init/pop/coo_population_z.sco,coo_population_z.sco,.sco,17008456,2198,2198,False,False,
449,file,root/content/release64/dlc/zombiepack/init/pop/tor_population_z.sco,tor_population_z.sco,.sco,17067520,1720,1720,False,False,
450,file,root/content/release64/dlc/zombiepack/init/pop/ser_population_z.wsc,ser_population_z.wsc,.wsc,3528704,1919,12288,True,False,2
451,file,root/content/release64/dlc/zombiepack/init/pop/pln_population_z.wsc,pln_population_z.wsc,.wsc,3508224,1949,12288,True,False,2
452,file,root/content/release64/dlc/zombiepack/init/pop/blk_population_z.wsc,blk_population_z.wsc,.wsc,3450880,1987,12288,True,False,2
453,file,root/content/release64/dlc/zombiepack/init/pop/grt_population_z.wsc,grt_population_z.wsc,.wsc,3481600,2305,12288,True,False,2
454,file,root/content/release64/dlc/zombiepack/init/pop/emt_population_z.sco,emt_population_z.sco,.sco,17013128,1797,1797,False,False,
455,file,root/content/release64/dlc/zombiepack/init/pop/pik_population_z.sco,pik_population_z.sco,.sco,17039416,1721,1721,False,False,
456,file,root/content/release64/dlc/zombiepack/init/pop/cho_population_z.sco,cho_population_z.sco,.sco,17002016,2843,2843,False,False,
457,file,root/content/release64/dlc/zombiepack/init/pop/chu_population_z.sco,chu_population_z.sco,.sco,17004864,1948,1948,False,False,
458,file,root/content/release64/dlc/zombiepack/init/pop/pun_population_z.wsc,pun_population_z.wsc,.wsc,3514368,2429,12288,True,False,2
459,file,root/content/release64/dlc/zombiepack/init/pop/fom_population_z.wsc,fom_population_z.wsc,.wsc,3477504,1753,12288,True,False,2
460,file,root/content/release64/dlc/zombiepack/init/pop/cas_population_z.wsc,cas_population_z.wsc,.wsc,3452928,1678,8192,True,False,2
461,file,root/content/release64/dlc/zombiepack/init/pop/mtp_population_z.sco,mtp_population_z.sco,.sco,17033904,1756,1756,False,False,
462,file,root/content/release64/dlc/zombiepack/init/pop/rat_population_z.wsc,rat_population_z.wsc,.wsc,3518464,2031,12288,True,False,2
463,file,root/content/release64/dlc/zombiepack/init/pop/fom_population_z.sco,fom_population_z.sco,.sco,17018688,1806,1806,False,False,
464,file,root/content/release64/dlc/zombiepack/init/pop/twr_population_z.sco,twr_population_z.sco,.sco,17071368,1886,1886,False,False,
465,file,root/content/release64/dlc/zombiepack/init/pop/gtr_population_z.wsc,gtr_population_z.wsc,.wsc,3485696,2321,12288,True,False,2
466,file,root/content/release64/dlc/zombiepack/init/pop/mtp_population_z.wsc,mtp_population_z.wsc,.wsc,3500032,1703,8192,True,False,2
467,file,root/content/release64/dlc/zombiepack/init/pop/lsh_population_z.wsc,lsh_population_z.wsc,.wsc,3497984,1701,8192,True,False,2
468,file,root/content/release64/dlc/zombiepack/init/pop/tes_population_z.sco,tes_population_z.sco,.sco,17063328,1882,1882,False,False,
469,file,root/content/release64/dlc/zombiepack/init/pop/prd_population_z.wsc,prd_population_z.wsc,.wsc,3510272,2445,12288,True,False,2
470,file,root/content/release64/dlc/zombiepack/init/pop/sep_population_z.sco,sep_population_z.sco,.sco,17055112,2022,2022,False,False,
471,file,root/content/release64/dlc/zombiepack/init/pop/odd_population_z.wsc,odd_population_z.wsc,.wsc,3504128,1963,12288,True,False,2
472,file,root/content/release64/dlc/zombiepack/init/pop/fod_population_z.wsc,fod_population_z.wsc,.wsc,3475456,1707,12288,True,False,2
473,file,root/content/release64/dlc/zombiepack/init/pop/hgn_population_z.sco,hgn_population_z.sco,.sco,17029440,2701,2701,False,False,
