term,offset,offset_hex,context_ascii,context_hex
beh,57662,0xE13E,".,..b.Go.sp_anthro01x.,..b.2o.beh_grave01x.,..o.beh_grave02x.,..o.beh_grave03x.,..b..o.rsdGPSTRAIL_",00 2C 02 F8 62 10 47 6F 0D 73 70 5F 61 6E 74 68 72 6F 30 31 78 00 2C 02 F8 62 10 32 6F 0D 62 65 68 5F 67 72 61 76 65 30 31 78 00 2C 02 F8 6F 0D 62 65 68 5F 67 72 61 76 65 30 32 78 00 2C 02 F8 6F 0D 62 65 68 5F 67 72 61 76 65 30 33 78 00 2C 02 F8 62 0F F9 6F 19 72 73 64 47 50 53 54 52 41 49 4C 5F
beh,57680,0xE150,"01x.,..b.2o.beh_grave01x.,..o.beh_grave02x.,..o.beh_grave03x.,..b..o.rsdGPSTRAIL_elm_cas_path.P...,",30 31 78 00 2C 02 F8 62 10 32 6F 0D 62 65 68 5F 67 72 61 76 65 30 31 78 00 2C 02 F8 6F 0D 62 65 68 5F 67 72 61 76 65 30 32 78 00 2C 02 F8 6F 0D 62 65 68 5F 67 72 61 76 65 30 33 78 00 2C 02 F8 62 0F F9 6F 19 72 73 64 47 50 53 54 52 41 49 4C 5F 65 6C 6D 5F 63 61 73 5F 70 61 74 68 00 50 19 CE 06 2C
props01x,37589,0x92D5,"%).R....c.r.8.O..6.o.hen_barn01x.,..o.hen_barn01props01x.,..o.hen_barn01props02x.,..o.hen_barn02x.,..o.h",25 29 8B 52 2E DF 06 1F 63 00 72 8C 38 02 4F 99 9C 36 01 6F 0C 68 65 6E 5F 62 61 72 6E 30 31 78 00 2C 02 F8 6F 13 68 65 6E 5F 62 61 72 6E 30 31 70 72 6F 70 73 30 31 78 00 2C 02 F8 6F 13 68 65 6E 5F 62 61 72 6E 30 31 70 72 6F 70 73 30 32 78 00 2C 02 F8 6F 0C 68 65 6E 5F 62 61 72 6E 30 32 78 00 2C 02 F9 6F 13 68
props01x,37654,0x9316,"_barn01props02x.,..o.hen_barn02x.,..o.hen_barn02props01x.,..b.:%..R..%).R...c.r.8.O..6.o.hen_barn01x.,..",5F 62 61 72 6E 30 31 70 72 6F 70 73 30 32 78 00 2C 02 F8 6F 0C 68 65 6E 5F 62 61 72 6E 30 32 78 00 2C 02 F9 6F 13 68 65 6E 5F 62 61 72 6E 30 32 70 72 6F 70 73 30 31 78 00 2C 02 F9 62 13 3A 25 16 8B 52 2E DF 25 29 8B 52 2E DF 1F 63 00 72 8C 38 02 4F 99 9C 36 01 6F 0C 68 65 6E 5F 62 61 72 6E 30 31 78 00 2C 02 F9
props01x,37722,0x935A,".%).R...c.r.8.O..6.o.hen_barn01x.,..o.hen_barn01props01x.,..o.hen_barn01props02x.,..o.hen_barn02x.,..o.h",DF 25 29 8B 52 2E DF 1F 63 00 72 8C 38 02 4F 99 9C 36 01 6F 0C 68 65 6E 5F 62 61 72 6E 30 31 78 00 2C 02 F9 6F 13 68 65 6E 5F 62 61 72 6E 30 31 70 72 6F 70 73 30 31 78 00 2C 02 F9 6F 13 68 65 6E 5F 62 61 72 6E 30 31 70 72 6F 70 73 30 32 78 00 2C 02 F9 6F 0C 68 65 6E 5F 62 61 72 6E 30 32 78 00 2C 02 F8 6F 13 68
props01x,37787,0x939B,"_barn01props02x.,..o.hen_barn02x.,..o.hen_barn02props01x.,..b..%"".R..c.5.8.O..6.o.campoMiradaBefore.,..o",5F 62 61 72 6E 30 31 70 72 6F 70 73 30 32 78 00 2C 02 F9 6F 0C 68 65 6E 5F 62 61 72 6E 30 32 78 00 2C 02 F8 6F 13 68 65 6E 5F 62 61 72 6E 30 32 70 72 6F 70 73 30 31 78 00 2C 02 F8 62 12 B5 25 22 8B 52 2E DF 63 00 35 8C 38 02 4F 99 9C 36 01 6F 12 63 61 6D 70 6F 4D 69 72 61 64 61 42 65 66 6F 72 65 00 2C 02 F5 6F
props01x,38311,0x95A7,".:.8.O..6.o.rwf_barn01xprops02x.,..o.rwf_barn01xprops01x.,..b..%9.R..%9R.i c.*.8.O..6.o.beh_silo02x.,..o",00 3A 8C 38 02 4F 99 9C 36 01 6F 14 72 77 66 5F 62 61 72 6E 30 31 78 70 72 6F 70 73 30 32 78 00 2C 02 F8 6F 14 72 77 66 5F 62 61 72 6E 30 31 78 70 72 6F 70 73 30 31 78 00 2C 02 F9 62 10 A9 25 39 8B 52 2E DF 25 39 52 A6 69 20 63 00 2A 8C 38 02 4F 99 9C 36 01 6F 0C 62 65 68 5F 73 69 6C 6F 30 32 78 00 2C 02 F8 6F
props01x,38434,0x9622,"%0.R..c.^.8.O..6.o.beh_house02x.,..o.beh_house02props01x.,..o.beh_house01x.,..o.beh_house01props01x.,..b",25 30 8B 52 2E DF 63 00 5E 8C 38 02 4F 99 9C 36 01 6F 0D 62 65 68 5F 68 6F 75 73 65 30 32 78 00 2C 02 F8 6F 14 62 65 68 5F 68 6F 75 73 65 30 32 70 72 6F 70 73 30 31 78 00 2C 02 F8 6F 0D 62 65 68 5F 68 6F 75 73 65 30 31 78 00 2C 02 F9 6F 14 62 65 68 5F 68 6F 75 73 65 30 31 70 72 6F 70 73 30 31 78 00 2C 02 F9 62
props01x,38477,0x964D,"use02props01x.,..o.beh_house01x.,..o.beh_house01props01x.,..b..%..R..c.:.8.O..6.o.tor_militaryCamp01x.,.",75 73 65 30 32 70 72 6F 70 73 30 31 78 00 2C 02 F8 6F 0D 62 65 68 5F 68 6F 75 73 65 30 31 78 00 2C 02 F9 6F 14 62 65 68 5F 68 6F 75 73 65 30 31 70 72 6F 70 73 30 31 78 00 2C 02 F9 62 10 03 25 1C 8B 52 2E DF 63 00 3A 8C 38 02 4F 99 9C 36 01 6F 14 74 6F 72 5F 6D 69 6C 69 74 61 72 79 43 61 6D 70 30 31 78 00 2C 02
props01x,48392,0xBD08,".....#..b....b....b....-....o.blk_archeologist01Props01x.,..o.ram_missionProps01x.,..o.tes_wall02x.,..o.",00 09 00 00 00 23 00 08 62 00 0A 8C 7F 62 00 05 8C 7F 62 00 00 8B 7F 2D 00 00 03 00 6F 1B 62 6C 6B 5F 61 72 63 68 65 6F 6C 6F 67 69 73 74 30 31 50 72 6F 70 73 30 31 78 00 2C 02 F8 6F 14 72 61 6D 5F 6D 69 73 73 69 6F 6E 50 72 6F 70 73 30 31 78 00 2C 02 F8 6F 0C 74 65 73 5F 77 61 6C 6C 30 32 78 00 2C 02 F8 6F 10
props01x,48417,0xBD21,"...o.blk_archeologist01Props01x.,..o.ram_missionProps01x.,..o.tes_wall02x.,..o.mp_tes_coop01ax.,..o.mp_t",00 03 00 6F 1B 62 6C 6B 5F 61 72 63 68 65 6F 6C 6F 67 69 73 74 30 31 50 72 6F 70 73 30 31 78 00 2C 02 F8 6F 14 72 61 6D 5F 6D 69 73 73 69 6F 6E 50 72 6F 70 73 30 31 78 00 2C 02 F8 6F 0C 74 65 73 5F 77 61 6C 6C 30 32 78 00 2C 02 F8 6F 10 6D 70 5F 74 65 73 5F 63 6F 6F 70 30 31 61 78 00 2C 02 F8 6F 10 6D 70 5F 74
props01x,49243,0xC05B,"_wld_base01x.,..o.mp_chu_base01x.,..o.hen_barn03props01x.,..o.hen_beamsEntity01x.,..o.sp_outlaw03x.,..o.",5F 77 6C 64 5F 62 61 73 65 30 31 78 00 2C 02 F8 6F 0F 6D 70 5F 63 68 75 5F 62 61 73 65 30 31 78 00 2C 02 F8 6F 13 68 65 6E 5F 62 61 72 6E 30 33 70 72 6F 70 73 30 31 78 00 2C 02 F8 6F 13 68 65 6E 5F 62 65 61 6D 73 45 6E 74 69 74 79 30 31 78 00 2C 02 F8 6F 0D 73 70 5F 6F 75 74 6C 61 77 30 33 78 00 2C 02 F8 6F 0C
