input,file_name,platform,reader_endian_requested,returncode,duration_seconds,ok,decoded_size,object_start,function_count,decompiled_chars,error,error_type,stdout,stderr,reader_endian
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\ctf_arm\ctf_arm_sym.wsc,ctf_arm_sym.wsc,Switch,Auto,0,1.003,True,28672,24576,177,5058,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\ctf_arm\\ctf_arm_sym.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":28672,""object_start"":24576,""function_count"":177,""decompiled_chars"":5058,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\ctf_chu\ctf_chu.wsc,ctf_chu.wsc,Switch,Auto,0,0.96,True,28672,24576,161,4296,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\ctf_chu\\ctf_chu.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":28672,""object_start"":24576,""function_count"":161,""decompiled_chars"":4296,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\ctf_chu\ctf_chu_single.wsc,ctf_chu_single.wsc,Switch,Auto,0,0.981,True,28672,24576,178,4603,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\ctf_chu\\ctf_chu_single.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":28672,""object_start"":24576,""function_count"":178,""decompiled_chars"":4603,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\ctf_chu\ctf_chu_sym.wsc,ctf_chu_sym.wsc,Switch,Auto,0,0.996,True,28672,24576,176,4575,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\ctf_chu\\ctf_chu_sym.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":28672,""object_start"":24576,""function_count"":176,""decompiled_chars"":4575,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\ctf_dzc\ctf_dzc_sym.wsc,ctf_dzc_sym.wsc,Switch,Auto,0,0.973,True,28672,24576,187,9289,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\ctf_dzc\\ctf_dzc_sym.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":28672,""object_start"":24576,""function_count"":187,""decompiled_chars"":9289,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\ctf_hen\ctf_hen.wsc,ctf_hen.wsc,Switch,Auto,0,1.003,True,36864,32768,162,5036,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\ctf_hen\\ctf_hen.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":36864,""object_start"":32768,""function_count"":162,""decompiled_chars"":5036,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\ctf_lsh\ctf_lsh.wsc,ctf_lsh.wsc,Switch,Auto,0,1.004,True,36864,32768,163,4914,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\ctf_lsh\\ctf_lsh.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":36864,""object_start"":32768,""function_count"":163,""decompiled_chars"":4914,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\ctf_lsh\ctf_lsh_sym.wsc,ctf_lsh_sym.wsc,Switch,Auto,0,0.995,True,28672,24576,178,4706,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\ctf_lsh\\ctf_lsh_sym.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":28672,""object_start"":24576,""function_count"":178,""decompiled_chars"":4706,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\ctf_tes\ctf_tes_single.wsc,ctf_tes_single.wsc,Switch,Auto,0,0.989,True,24576,16384,177,7279,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\ctf_tes\\ctf_tes_single.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":24576,""object_start"":16384,""function_count"":177,""decompiled_chars"":7279,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\ctf_tes\ctf_tes_sym.wsc,ctf_tes_sym.wsc,Switch,Auto,0,1.073,True,24576,16384,175,7251,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\ctf_tes\\ctf_tes_sym.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":24576,""object_start"":16384,""function_count"":175,""decompiled_chars"":7251,""error"":""""}",,Little
