path,extension,size,sha1,first_32_bytes_hex,family,decode_status,conversion_status,note,normalized_flag1,normalized_flag2
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_chu\ctf_chu.csc,.csc,11939,5A15EACA6D6DF076BA4FA16DE48C3E808D347315,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07 E8 DA 9E 61 EB 79 CC 65 8B F1 F9 D5 14 EE AF B5,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_chu\ctf_chu_single.csc,.csc,11958,C2B8A2A172BBB9A09F678A03278C7A6E8D2D1BAE,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07 9F FD 21 8B 4B 46 02 08 B0 ED 77 15 71 54 97 39,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_chu\ctf_chu_sym.csc,.csc,11912,1468BFF54CADCBA4EBAC0013BD87727F89C48665,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07 31 13 21 69 78 D2 F8 4B B0 3E 24 0C C4 3F 3B E1,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_dzc\ctf_dzc_sym.csc,.csc,12251,45DF618BBB88E5CC347D5A2DFCDCAFB28320F7A9,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07 63 4F 37 3A 20 9A 6F 1D 0C F6 ED 11 71 79 05 5B,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_hen\ctf_hen.csc,.csc,12979,A92E82616BA47F42F0B777A2141FDF7011D3D4AD,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 09 A6 D4 9E D5 2D E5 92 C2 82 BA E5 0D F9 FD 81 07,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_lsh\ctf_lsh.csc,.csc,14025,BF83228AF8F33B60A1528C5AF1200BD100C96860,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 09 AB 83 C5 E1 81 9B 6A 95 E7 7F 9B 05 0A 4F 20 ED,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_lsh\ctf_lsh_sym.csc,.csc,11885,1FBE3542972B295B63E95E999C77A7749ED04399,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07 31 72 89 72 7B CE 98 0E 26 CE 1F 74 6C 06 56 1F,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_tes\ctf_tes_single.csc,.csc,11222,4234628BB4525AAA2D6550298BBF7586F244A254,86 43 53 52 00 00 00 02 80 00 00 00 90 00 00 06 A7 ED 85 B2 98 04 F9 EA 7E 3B 6D F6 50 3A F2 25,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_tes\ctf_tes_sym.csc,.csc,11170,A74EEBD9978B06D820F4560B383A85CDCC329821,86 43 53 52 00 00 00 02 80 00 00 00 90 00 00 06 96 5C C8 9A 19 4C 06 AE C5 7B 4E C0 CC 52 1F 2D,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_tum\ctf_tum_single.csc,.csc,12747,0D991D11E971DC0862674A6EC9290533BAB2CCC5,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07 9C F9 5F E1 EB 5D 9F 03 AF D2 C5 62 67 47 43 1D,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_upr\ctf_upr.csc,.csc,12105,0531172BF3EF64C1E3E0D666FF38C14C25330380,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07 37 E4 27 4C 5F 2A DA 2B D1 6B B8 68 0E 5B D3 6C,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_w2\ctf_w2_single.csc,.csc,9555,D79302A2DA70182950C82B2CF028E03049570571,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 05 46 37 65 DD A9 96 D8 7A ED 20 AB 14 30 2E A0 3D,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\dm_arm\deathmatch_arm.csc,.csc,13315,DF7CD2F22971BF213B35CE030D26851DFCEC8C49,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 09 18 19 B6 B1 46 39 20 6E 57 32 5E BA 3E DE E1 E2,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\dm_chu\deathmatch_chu.csc,.csc,12338,503110D06267891E3A61A55307F96294F84436BA,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07 E4 0D FB EB 9F 1A 70 A0 5C 8A D3 D6 17 E8 13 94,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\dm_hen\deathmatch_hen.csc,.csc,13599,6C6741C57BAA6BAF7D5DC6FEAB3AFEBA149B3169,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 09 50 B4 FB 1E 34 85 7C 12 0D D2 31 91 CF 07 FC 0C,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\dm_lsh\deathmatch_lsh.csc,.csc,13710,A840B93F284F4C84A14A9B266581F0F1971D1637,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 09 EC 25 2F 94 2F 55 E9 92 8F A7 EA 7E 84 79 BF 86,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\dm_tum\deathmatch_tum.csc,.csc,13193,78E14990F74ECF66869653E092D61AEB8536B1D9,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07 EA 5E 65 A9 BF CE 06 C2 B6 B8 FC DF 63 4C 4B 89,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\minigames\liarsdice_sb.csc,.csc,2666,23C220C282522D356A4C4DD8F66952BD103CB9F5,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 03 2B 04 60 87 79 89 09 B5 05 B9 AC 2C E4 FF D9 0F,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\minigames\poker_sb.csc,.csc,2685,4970EC2C4A906B2891B956094424896EDAD9CCFE,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 03 3C A7 57 81 FF F3 E4 F1 B5 EF EB 90 81 03 2F FD,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\spectator\mp_spectatormk2.csc,.csc,3660,240B7623CD384625E0DC8824EBC8C41AD1F6C8A5,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 03 63 BB AE 30 B3 2F EC 26 F4 73 B5 BB F7 BF 64 DF,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\tutorial\mp_tutorial.csc,.csc,2854,94C820400D0045106566F2D2E95BB03B882D3628,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 03 DD 67 B9 DD A0 97 C2 F2 05 EC DB 8B 45 26 D5 66,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
