term,offset,offset_hex,context_ascii,context_hex
SpawnVolGroup_set,29404,0x72DC,").M.^)B..B)E....)A....)A..S)@.O.)A..S,..:.?.;.o.SpawnVolGroup_set.,..9.;.o.SpawnVol_0..).Lp.)B...)E.C..)C....)?).",29 C4 4D E7 5E 29 42 BB 9E 42 29 45 17 F1 D6 94 29 41 A0 00 00 94 29 41 B9 FF 53 29 40 DA 4F 02 29 41 B9 FF 53 2C 19 DE 3A AC 3F 04 3B AC 6F 12 53 70 61 77 6E 56 6F 6C 47 72 6F 75 70 5F 73 65 74 00 2C 05 DF 39 04 3B AC 6F 0B 53 70 61 77 6E 56 6F 6C 5F 30 00 8E 29 C4 4C 70 EC 29 42 B8 B8 B8 29 45 13 43 DD 94 29 43 80 CE 99 94 29 3F 29 A6
SpawnVolGroup_set,33335,0x8237,").&..)B...)E..3.)A....)A...)Az.?)A...,..:.?.;.o.SpawnVolGroup_set.,..9.;.o.SpawnVol_0..).,.3)B...)E....)A..H.)?..",29 C5 26 E3 AB 29 42 0F 9F 01 29 45 84 F7 33 94 29 41 A0 00 00 94 29 41 D2 AA E6 29 41 7A AC 3F 29 41 D2 AA E6 2C 19 DE 3A AA 3F 04 3B AA 6F 12 53 70 61 77 6E 56 6F 6C 47 72 6F 75 70 5F 73 65 74 00 2C 05 DF 39 04 3B AA 6F 0B 53 70 61 77 6E 56 6F 6C 5F 30 00 8E 29 C5 2C 88 33 29 42 00 80 80 29 45 85 00 01 94 29 41 13 BB 48 94 29 3F 85 DC
SpawnVolGroup_set,35421,0x8A5D,"e..)..mx)A.S )E""vk.)A....)A.W:)A{..)A.W:,..+;.o.SpawnVolGroup_set.,..9.;.o.SpawnVol_0..)..%.)A...)E..d.)=V(s.)?.I",65 00 8E 29 C5 07 6D 78 29 41 A7 53 20 29 45 22 76 6B 94 29 41 A0 00 00 94 29 41 BD 57 3A 29 41 7B F5 F0 29 41 BD 57 3A 2C 19 DE 2B 3B A9 6F 12 53 70 61 77 6E 56 6F 6C 47 72 6F 75 70 5F 73 65 74 00 2C 05 DF 39 04 3B A9 6F 0B 53 70 61 77 6E 56 6F 6C 5F 30 00 8E 29 C5 07 25 9E 29 41 82 C8 9A 29 45 1D 9A 64 94 29 3D 56 28 73 94 29 3F C5 49
PlayerLayout,47210,0xB86A,"...b..8.c..8.o.IsFadedIn.,.++....-....S.Z9.R..o.PlayerLayout.,..9.8.,.G.c......R.x7.7..7.27.>..,OC.c...7.2.7",02 8B 87 62 00 19 38 06 63 00 12 38 00 6F 0A 49 73 46 61 64 65 64 49 6E 00 2C 05 2B 2B 8C 87 8B 87 2D 08 00 19 00 53 81 5A 39 0A 52 18 EE 6F 0D 50 6C 61 79 65 72 4C 61 79 6F 75 74 00 2C 03 DC 39 0B 38 0B 2C 03 47 06 63 00 04 8B 2E 08 01 52 CD 78 37 0C 37 0F 8E 37 00 32 37 03 3E 04 8B 2C 4F 43 06 63 00 10 8E 37 00 32 8E 37
Respawn,40384,0x9DC0,".>,.S.p8.>,%.S.p .c..8.>d,.K.c.XR.!,...c.'o.net_respawn_button.........,..8.?db.$o.net_respawn_button..",00 3E 2C 8D 53 03 70 38 00 3E 2C 25 80 53 03 70 20 06 63 00 9B 38 00 3E 64 2C 03 4B 06 63 00 58 52 E2 21 2C 01 FE 1F 63 00 27 6F 13 6E 65 74 5F 72 65 73 70 61 77 6E 5F 62 75 74 74 6F 6E 00 8B 90 8B 8B 8B 8B 8A 8B 2C 13 FF 38 00 3F 64 62 00 24 6F 13 6E 65 74 5F 72 65 73 70 61 77 6E 5F 62 75 74 74 6F 6E 00 8B
Respawn,40423,0x9DE7,"c.'o.net_respawn_button.........,..8.?db.$o.net_respawn_button.........,..8.?db.5.,C....,I.c.(o.HUD_MEN",63 00 27 6F 13 6E 65 74 5F 72 65 73 70 61 77 6E 5F 62 75 74 74 6F 6E 00 8B 90 8B 8B 8B 8B 8A 8B 2C 13 FF 38 00 3F 64 62 00 24 6F 13 6E 65 74 5F 72 65 73 70 61 77 6E 5F 62 75 74 74 6F 6E 00 8B 91 8B 8B 8B 8B 8A 8B 2C 13 FF 38 00 3F 64 62 00 35 8B 2C 43 00 91 8C 8C 2C 49 01 63 00 28 6F 17 48 55 44 5F 4D 45 4E
Respawn,47477,0xB975,"BI8.,...c......8.,C.+.,B....,FJ8..c.d8..R.+R..o.Respawn..7.2R..,. c.D,.V9..7.?..7.2...R.69.8.R.|c..8.7.",42 49 38 0A 2C 03 1F 06 63 00 04 8B 2E 08 01 38 0A 2C 43 1B 2B 8B 2C 42 1C 8B 8B 8B 2C 46 4A 38 06 06 63 00 64 38 0A 8B 52 CC 2B 52 BA 10 6F 08 52 65 73 70 61 77 6E 00 8E 37 00 32 52 B9 D2 2C 01 20 63 00 44 2C 01 56 39 14 8C 37 14 3F 0C 8E 37 00 32 8B 8B 8C 52 99 36 39 18 38 18 52 11 7C 63 00 09 38 18 37 14
FREEMODE,226,0xE2,"N...N...N...N..,..N..%.S.U.9..9.L..S.......,..o.FreeModeThread.S..<.S.2M..n..................,b.So.OLNM_",4E 01 04 8B 4E 02 0A 8B 4E 02 0B 8B 4E 02 0D 2C 01 00 4E 02 0C 25 08 53 9F 55 94 39 03 8B 39 04 4C 01 A0 53 9E EB 8C 8B 8B 8B 8B 2C 0A 01 6F 0F 46 72 65 65 4D 6F 64 65 54 68 72 65 61 64 00 53 9E 9B 3C F0 53 9E 32 4D 02 0C 6E 03 00 00 00 01 00 0F 00 00 00 02 00 09 00 00 00 00 00 2C 62 00 53 6F 10 4F 4C 4E 4D 5F
FREEMODE,58099,0xE2F3,"..-....8./...-.....R..{-....j.3.>48.R...-.....o.FREEMODE.o.Enabling the Ambient World.....,.T.S.U.,B..R.",08 7F 2D 01 00 03 00 38 00 2F 8C 08 7F 2D 00 00 02 00 8C 52 E2 DA 7B 2D 01 00 03 00 6A 01 33 19 3E 34 38 00 52 0F C3 7F 2D 00 00 02 00 8C 6F 09 46 52 45 45 4D 4F 44 45 00 6F 1B 45 6E 61 62 6C 69 6E 67 20 74 68 65 20 41 6D 62 69 65 6E 74 20 57 6F 72 6C 64 00 8B 8B 8B 8B 2C 0E 54 8C 53 9F 55 8C 2C 42 A8 91 52 E3
LoadingScreen,708,0x2C4,".h,..O@.>.c...%<.S.q,..c.Jo.LS_.7.r..%.,..7.u.o.LoadingScreenTexture.7.,..o.LoadingScreenTexture.,..M...d..P.",96 68 2C 00 09 4F 40 8C 3E 10 63 00 07 8B 25 3C 8B 53 93 71 2C 01 0A 63 00 4A 6F 04 4C 53 5F 00 37 07 72 08 8C 25 0D 2C 05 0B 37 07 75 08 6F 15 4C 6F 61 64 69 6E 67 53 63 72 65 65 6E 54 65 78 74 75 72 65 00 37 07 2C 04 0C 6F 15 4C 6F 61 64 69 6E 67 53 63 72 65 65 6E 54 65 78 74 75 72 65 00 2C 02 0D 4D 02 0C 8C 64 00 0C 50 0D
