term,offset,offset_hex,status,reason
FREEMODE,226,0xE2,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
FREEMODE,58099,0xE2F3,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
LoadingScreen,708,0x2C4,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
LoadingScreen,736,0x2E0,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
LoadingScreen,1184,0x4A0,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
LoadingScreen,105163,0x19ACB,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUD,549,0x225,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUD,2123,0x84B,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUD,2154,0x86A,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUD,8107,0x1FAB,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUD,8416,0x20E0,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUD,8666,0x21DA,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUD,11241,0x2BE9,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUD,11274,0x2C0A,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUD,11332,0x2C44,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUD,18124,0x46CC,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUD,18181,0x4705,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUD,18366,0x47BE,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUD,18468,0x4824,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUD,18569,0x4889,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUD,18626,0x48C2,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUD,40471,0x9E17,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUD,40728,0x9F18,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUD,44490,0xADCA,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUD,44524,0xADEC,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUD,53172,0xCFB4,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUD,60730,0xED3A,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUD,63149,0xF6AD,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUDScene,8416,0x20E0,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUDScene,8666,0x21DA,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUDScene,11241,0x2BE9,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
online,8424,0x20E8,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
online,8674,0x21E2,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
online,11249,0x2BF1,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
