relative_path,returncode,ok,stdout,stderr
playground/mpplayground.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\playground__mpplayground.wsc"",
  ""strings"": 1296,
  ""functions"": 322,
  ""natives"": 2024
}",
playground/simple_mpplayground.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\playground__simple_mpplayground.wsc"",
  ""strings"": 2198,
  ""functions"": 510,
  ""natives"": 2882
}",
playground/test001.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\playground__test001.wsc"",
  ""strings"": 3,
  ""functions"": 1,
  ""natives"": 6
}",
pr_multiplayer.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\pr_multiplayer.wsc"",
  ""strings"": 747,
  ""functions"": 225,
  ""natives"": 644
}",
regions/coop/coopbasic.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__coop__coopbasic.wsc"",
  ""strings"": 375,
  ""functions"": 143,
  ""natives"": 405
}",
regions/ctf_arm/ctf_arm.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__ctf_arm__ctf_arm.wsc"",
  ""strings"": 688,
  ""functions"": 162,
  ""natives"": 565
}",
regions/ctf_arm/ctf_arm_single.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__ctf_arm__ctf_arm_single.wsc"",
  ""strings"": 588,
  ""functions"": 180,
  ""natives"": 565
}",
regions/ctf_arm/ctf_arm_sym.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__ctf_arm__ctf_arm_sym.wsc"",
  ""strings"": 604,
  ""functions"": 177,
  ""natives"": 558
}",
regions/ctf_chu/ctf_chu.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__ctf_chu__ctf_chu.wsc"",
  ""strings"": 522,
  ""functions"": 161,
  ""natives"": 509
}",
regions/ctf_chu/ctf_chu_single.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__ctf_chu__ctf_chu_single.wsc"",
  ""strings"": 470,
  ""functions"": 178,
  ""natives"": 521
}",
