offset,offset_hex,length,text,population_term,string_class
16979,0x4253,4,)B%+,,debug/display text
17129,0x42E9,4, )Ex,,debug/display text
17343,0x43BF,4,w)A4,,unknown
17420,0x440C,5,[J)Ew,,debug/display text
17489,0x4451,4,()AQ,,unknown
17703,0x4527,5,<)D=N,,unknown
17817,0x4599,6,)Bm338,,unknown
17858,0x45C2,4,cE)D,,unknown
18004,0x4654,5,OH)EV,,unknown
18078,0x469E,4,f)EM,,unknown
18202,0x471A,5,2R=Lc,,unknown
18227,0x4733,47,3o-Here's what we're returning as a save spot: ,,debug/display text
18300,0x477C,4,OqP5,,unknown
18314,0x478A,4,R:D8,,unknown
18324,0x4794,5,R:D 8,,debug/display text
18335,0x479F,5,R:D 8,,debug/display text
18380,0x47CC,4,R:Dc,,unknown
18526,0x485E,15,bPlayerSleeping,,unknown
18571,0x488B,4,RIQ7,,unknown
18658,0x48E2,4,RIQ8,,unknown
18677,0x48F5,8,CQueue_X,,unknown
18710,0x4916,8,CQueue_T,,unknown
18743,0x4937,8,CQueue_H,,unknown
18776,0x4958,12,CQueue_Count,,unknown
18798,0x496E,5,RIr~-,,unknown
19046,0x4A66,4,_des,,unknown
19085,0x4A8D,14,_DYNAMIC_TITLE,,unknown
19501,0x4C2D,4,RMq9,,unknown
19532,0x4C4C,8,_INTSLOT,,unknown
19602,0x4C92,10,_FLOATSLOT,,unknown
19688,0x4CE8,10,_TIMERSLOT,,unknown
19757,0x4D2D,11,_OBJECTSLOT,,unknown
19832,0x4D78,22,AmbientMissions_Layout,,likely logic anchor
19871,0x4D9F,22,AmbientMissions_Layout,,likely logic anchor
19909,0x4DC5,19,MP_Revenge_Icon_128,,unknown
19982,0x4E0E,4,R8'c,,unknown
19988,0x4E14,4,RN#A,,unknown
19994,0x4E1A,4,Rkm%,,debug/display text
19999,0x4E1F,5,Rk[z-,,debug/display text
20032,0x4E40,4,RO5%,,debug/display text
20053,0x4E55,4,RO5%,,debug/display text
20059,0x4E5B,9,RO5%@R8'c,,debug/display text
