index,type,path,name,extension,offset,size_in_archive,total_size,is_resource,is_compressed,resource_type
709,file,root/content/release64/dlc/zombiepack/frontier/gaptooth_ridge/rathskeller_fork/rathskellerfork_z.wsc,rathskellerfork_z.wsc,.wsc,3594240,28655,73728,True,False,2
710,file,root/content/release64/dlc/zombiepack/frontier/gaptooth_ridge/benedict_point/benedictpoint_z.wsc,benedictpoint_z.wsc,.wsc,3536896,27747,69632,True,False,2
711,file,root/content/release64/dlc/zombiepack/frontier/gaptooth_ridge/benedict_point/benedictpoint_z.sco,benedictpoint_z.sco,.sco,17074672,29596,29596,False,False,
712,file,root/content/release64/dlc/zombiepack/frontier/gaptooth_ridge/solomons_folly/solomonsfolly_z.sco,solomonsfolly_z.sco,.sco,17165296,27927,27927,False,False,
713,file,root/content/release64/dlc/zombiepack/frontier/gaptooth_ridge/solomons_folly/solomonsfolly_z.wsc,solomonsfolly_z.wsc,.wsc,3622912,26291,69632,True,False,2
714,file,root/content/release64/dlc/zombiepack/frontier/gaptooth_ridge/gaptooth_breach/gaptoothbreach_z.sco,gaptoothbreach_z.sco,.sco,17104272,30380,30380,False,False,
715,file,root/content/release64/dlc/zombiepack/frontier/gaptooth_ridge/gaptooth_breach/gaptoothbreach_z.wsc,gaptoothbreach_z.wsc,.wsc,3565568,28495,73728,True,False,2
716,file,root/content/release64/dlc/zombiepack/frontier/gaptooth_ridge/tumbleweed/tumbleweed_z.wsc,tumbleweed_z.wsc,.wsc,3649536,44364,118784,True,False,2
717,file,root/content/release64/dlc/zombiepack/frontier/gaptooth_ridge/tumbleweed/tumbleweed_z.sco,tumbleweed_z.sco,.sco,17193224,47827,47827,False,False,
718,dir,root/content/release64/dlc/zombiepack/frontier/hennigans_stead/pikes_basin,pikes_basin,,,,,,,
719,dir,root/content/release64/dlc/zombiepack/frontier/hennigans_stead/hennigans_ranch,hennigans_ranch,,,,,,,
720,dir,root/content/release64/dlc/zombiepack/frontier/hennigans_stead/thieves_landing,thieves_landing,,,,,,,
721,file,root/content/release64/dlc/zombiepack/frontier/hennigans_stead/hennigansstead_z.sco,hennigansstead_z.sco,.sco,17241056,21916,21916,False,False,
722,file,root/content/release64/dlc/zombiepack/frontier/hennigans_stead/hennigansstead_z.wsc,hennigansstead_z.wsc,.wsc,3694592,20098,69632,True,False,2
723,file,root/content/release64/dlc/zombiepack/frontier/hennigans_stead/pikes_basin/pikesbasin_z.wsc,pikesbasin_z.wsc,.wsc,3749888,32842,86016,True,False,2
724,file,root/content/release64/dlc/zombiepack/frontier/hennigans_stead/pikes_basin/pikesbasin_z.sco,pikesbasin_z.sco,.sco,17298744,35209,35209,False,False,
725,file,root/content/release64/dlc/zombiepack/frontier/hennigans_stead/hennigans_ranch/hennigansranch_z.wsc,hennigansranch_z.wsc,.wsc,3715072,33147,94208,True,False,2
726,file,root/content/release64/dlc/zombiepack/frontier/hennigans_stead/hennigans_ranch/hennigansranch_z.sco,hennigansranch_z.sco,.sco,17262976,35765,35765,False,False,
727,file,root/content/release64/dlc/zombiepack/frontier/hennigans_stead/thieves_landing/thieveslanding_z.sco,thieveslanding_z.sco,.sco,17333960,37524,37524,False,False,
728,file,root/content/release64/dlc/zombiepack/frontier/hennigans_stead/thieves_landing/thieveslanding_z.wsc,thieveslanding_z.wsc,.wsc,3784704,34607,94208,True,False,2
729,file,root/content/release64/dlc/ultimate/init_ultimate_disc1.wsc,init_ultimate_disc1.wsc,.wsc,2875392,7920,20480,True,False,2
730,file,root/content/release64/dlc/ultimate/init_ultimate_disc1.sco,init_ultimate_disc1.sco,.sco,16398576,8130,8130,False,False,
731,file,root/content/release64/dlc/bonuspack2/init_bonuspack2.sco,init_bonuspack2.sco,.sco,16342880,6886,6886,False,False,
732,file,root/content/release64/dlc/bonuspack2/init_bonuspack2.wsc,init_bonuspack2.wsc,.wsc,2811904,6724,20480,True,False,2
733,file,root/content/release64/dlc/bonuspack1/init_bonuspack1.wsc,init_bonuspack1.wsc,.wsc,2809856,825,4096,True,False,2
734,file,root/content/release64/dlc/bonuspack1/init_bonuspack1.sco,init_bonuspack1.sco,.sco,16342080,796,796,False,False,
735,file,root/content/release64/dlc/bonuspack3/init_bonuspack3.sco,init_bonuspack3.sco,.sco,16349768,499,499,False,False,
736,file,root/content/release64/dlc/bonuspack3/init_bonuspack3.wsc,init_bonuspack3.wsc,.wsc,2820096,529,4096,True,False,2
737,file,root/content/release64/dlc/titlestorage/tms_boot_360.wsc,tms_boot_360.wsc,.wsc,2836480,14382,36864,True,False,2
738,file,root/content/release64/dlc/titlestorage/tms_boot_ps3.wsc,tms_boot_ps3.wsc,.wsc,2852864,14932,36864,True,False,2
739,file,root/content/release64/dlc/titlestorage/tms_run_360.sco,tms_run_360.sco,.sco,16393800,3300,3300,False,False,
740,file,root/content/release64/dlc/titlestorage/tms_run_ps3.sco,tms_run_ps3.sco,.sco,16397104,1468,1468,False,False,
741,file,root/content/release64/dlc/titlestorage/tms_boot_360.sco,tms_boot_360.sco,.sco,16363224,14997,14997,False,False,
742,file,root/content/release64/dlc/titlestorage/tms_boot_ps3.sco,tms_boot_ps3.sco,.sco,16378224,15574,15574,False,False,
743,file,root/content/release64/dlc/titlestorage/tms_run_360.wsc,tms_run_360.wsc,.wsc,2869248,3278,12288,True,False,2
744,file,root/content/release64/dlc/titlestorage/tms_run_ps3.wsc,tms_run_ps3.wsc,.wsc,2873344,1476,4096,True,False,2
745,file,root/content/release64/dlc/mooutfitspack/init_mooutfitspack.wsc,init_mooutfitspack.wsc,.wsc,2832384,2821,20480,True,False,2
746,file,root/content/release64/dlc/mooutfitspack/event_jackalope.wsc,event_jackalope.wsc,.wsc,2822144,9738,24576,True,False,2
747,file,root/content/release64/dlc/mooutfitspack/init_mooutfitspack.sco,init_mooutfitspack.sco,.sco,16360296,2926,2926,False,False,
748,file,root/content/release64/dlc/mooutfitspack/event_jackalope.sco,event_jackalope.sco,.sco,16350272,10023,10023,False,False,
749,file,root/content/release64/init/rdr2init_gringo_mex.sco,rdr2init_gringo_mex.sco,.sco,16334272,363,363,False,False,
750,file,root/content/release64/init/rdr2init.wsc,rdr2init.wsc,.wsc,8712192,82585,913408,True,False,2
751,file,root/content/release64/init/initpopulation.sco,initpopulation.sco,.sco,16221408,1212,1212,False,False,
752,file,root/content/release64/init/rdr2init_gringo_nor.wsc,rdr2init_gringo_nor.wsc,.wsc,8808448,404,4096,True,False,2
753,file,root/content/release64/init/rdr2init_gringo_nor.sco,rdr2init_gringo_nor.sco,.sco,16334640,378,378,False,False,
754,file,root/content/release64/init/rdr2init_each_load.sco,rdr2init_each_load.sco,.sco,16327096,6797,6797,False,False,
755,file,root/content/release64/init/rdr2init.sco,rdr2init.sco,.sco,16224008,103080,103080,False,False,
756,file,root/content/release64/init/initpopulation.wsc,initpopulation.wsc,.wsc,8708096,1183,4096,True,False,2
