offset,offset_hex,opcode,width,value,actor_kind,operand_hex
83091,0x14493,37,1,120,eActorEnum_candidate,78
83114,0x144AA,37,1,121,eActorEnum_candidate,79
83137,0x144C1,37,1,122,eActorEnum_candidate,7A
83160,0x144D8,37,1,123,eActorEnum_candidate,7B
83183,0x144EF,37,1,124,eActorEnum_candidate,7C
83206,0x14506,37,1,125,eActorEnum_candidate,7D
83229,0x1451D,37,1,126,eActorEnum_candidate,7E
83252,0x14534,37,1,127,eActorEnum_candidate,7F
83275,0x1454B,37,1,128,eActorEnum_candidate,80
83297,0x14561,37,1,129,eActorEnum_candidate,81
83319,0x14577,37,1,130,eActorEnum_candidate,82
83342,0x1458E,37,1,131,eActorEnum_candidate,83
83365,0x145A5,37,1,132,eActorEnum_candidate,84
83388,0x145BC,37,1,133,eActorEnum_candidate,85
83411,0x145D3,37,1,134,eActorEnum_candidate,86
83434,0x145EA,37,1,135,eActorEnum_candidate,87
83457,0x14601,37,1,136,eActorEnum_candidate,88
83480,0x14618,37,1,137,eActorEnum_candidate,89
83503,0x1462F,37,1,138,eActorEnum_candidate,8A
83526,0x14646,37,1,139,eActorEnum_candidate,8B
83549,0x1465D,37,1,140,eActorEnum_candidate,8C
83572,0x14674,37,1,141,eActorEnum_candidate,8D
83595,0x1468B,37,1,142,eActorEnum_candidate,8E
83617,0x146A1,37,1,143,eActorEnum_candidate,8F
83639,0x146B7,37,1,144,eActorEnum_candidate,90
83662,0x146CE,37,1,145,eActorEnum_candidate,91
83685,0x146E5,37,1,146,eActorEnum_candidate,92
83708,0x146FC,37,1,147,eActorEnum_candidate,93
83731,0x14713,37,1,148,eActorEnum_candidate,94
83754,0x1472A,37,1,149,eActorEnum_candidate,95
83777,0x14741,37,1,150,eActorEnum_candidate,96
83800,0x14758,37,1,151,eActorEnum_candidate,97
83823,0x1476F,37,1,152,eActorEnum_candidate,98
83846,0x14786,37,1,153,eActorEnum_candidate,99
83869,0x1479D,37,1,154,eActorEnum_candidate,9A
83892,0x147B4,37,1,155,eActorEnum_candidate,9B
83915,0x147CB,37,1,156,eActorEnum_candidate,9C
83937,0x147E1,37,1,157,eActorEnum_candidate,9D
83959,0x147F7,37,1,158,eActorEnum_candidate,9E
83982,0x1480E,37,1,159,eActorEnum_candidate,9F
84005,0x14825,37,1,160,eActorEnum_candidate,A0
84028,0x1483C,37,1,161,eActorEnum_candidate,A1
84047,0x1484F,37,1,162,eActorEnum_candidate,A2
84068,0x14864,37,1,163,eActorEnum_candidate,A3
84089,0x14879,37,1,164,eActorEnum_candidate,A4
84110,0x1488E,37,1,165,eActorEnum_candidate,A5
84131,0x148A3,37,1,166,eActorEnum_candidate,A6
84152,0x148B8,37,1,167,eActorEnum_candidate,A7
84173,0x148CD,37,1,168,eActorEnum_candidate,A8
84194,0x148E2,37,1,169,eActorEnum_candidate,A9
84217,0x148F9,37,1,170,eActorEnum_candidate,AA
84240,0x14910,37,1,171,eActorEnum_candidate,AB
84263,0x14927,37,1,172,eActorEnum_candidate,AC
84286,0x1493E,37,1,173,eActorEnum_candidate,AD
84309,0x14955,37,1,174,eActorEnum_candidate,AE
84332,0x1496C,37,1,175,eActorEnum_candidate,AF
84355,0x14983,37,1,176,eActorEnum_candidate,B0
84378,0x1499A,37,1,177,eActorEnum_candidate,B1
84401,0x149B1,37,1,178,eActorEnum_candidate,B2
84424,0x149C8,37,1,179,eActorEnum_candidate,B3
84447,0x149DF,37,1,180,eActorEnum_candidate,B4
84470,0x149F6,37,1,181,eActorEnum_candidate,B5
84493,0x14A0D,37,1,182,eActorEnum_candidate,B6
84516,0x14A24,37,1,183,eActorEnum_candidate,B7
84539,0x14A3B,37,1,184,eActorEnum_candidate,B8
84562,0x14A52,37,1,185,eActorEnum_candidate,B9
84585,0x14A69,37,1,186,eActorEnum_candidate,BA
84608,0x14A80,37,1,187,eActorEnum_candidate,BB
84630,0x14A96,37,1,188,eActorEnum_candidate,BC
84652,0x14AAC,37,1,189,eActorEnum_candidate,BD
84674,0x14AC2,37,1,190,eActorEnum_candidate,BE
84696,0x14AD8,37,1,191,eActorEnum_candidate,BF
84718,0x14AEE,37,1,192,eActorEnum_candidate,C0
84740,0x14B04,37,1,193,eActorEnum_candidate,C1
84762,0x14B1A,37,1,194,eActorEnum_candidate,C2
84784,0x14B30,37,1,195,eActorEnum_candidate,C3
84806,0x14B46,37,1,196,eActorEnum_candidate,C4
84829,0x14B5D,37,1,197,eActorEnum_candidate,C5
84852,0x14B74,37,1,198,eActorEnum_candidate,C6
84874,0x14B8A,37,1,199,eActorEnum_candidate,C7
84896,0x14BA0,37,1,200,eActorEnum_candidate,C8
84918,0x14BB6,37,1,201,eActorEnum_candidate,C9
84940,0x14BCC,37,1,202,eActorEnum_candidate,CA
84962,0x14BE2,37,1,203,eActorEnum_candidate,CB
84984,0x14BF8,37,1,204,eActorEnum_candidate,CC
85006,0x14C0E,37,1,205,eActorEnum_candidate,CD
85028,0x14C24,37,1,206,eActorEnum_candidate,CE
85050,0x14C3A,37,1,207,eActorEnum_candidate,CF
85073,0x14C51,37,1,208,eActorEnum_candidate,D0
85096,0x14C68,37,1,209,eActorEnum_candidate,D1
85119,0x14C7F,37,1,210,eActorEnum_candidate,D2
85142,0x14C96,37,1,211,eActorEnum_candidate,D3
85165,0x14CAD,37,1,212,eActorEnum_candidate,D4
85188,0x14CC4,37,1,213,eActorEnum_candidate,D5
85211,0x14CDB,37,1,214,eActorEnum_candidate,D6
85234,0x14CF2,37,1,215,eActorEnum_candidate,D7
85257,0x14D09,37,1,216,eActorEnum_candidate,D8
85280,0x14D20,37,1,217,eActorEnum_candidate,D9
85303,0x14D37,37,1,218,eActorEnum_candidate,DA
85326,0x14D4E,37,1,219,eActorEnum_candidate,DB
85349,0x14D65,37,1,220,eActorEnum_candidate,DC
85372,0x14D7C,37,1,221,eActorEnum_candidate,DD
85395,0x14D93,37,1,222,eActorEnum_candidate,DE
85418,0x14DAA,37,1,223,eActorEnum_candidate,DF
85441,0x14DC1,37,1,224,eActorEnum_candidate,E0
85464,0x14DD8,37,1,225,eActorEnum_candidate,E1
85487,0x14DEF,37,1,226,eActorEnum_candidate,E2
86251,0x150EB,65,2,1000,eActorEnum_candidate,03 E8
86259,0x150F3,37,1,35,eActorEnum_candidate,23
86276,0x15104,65,2,1000,eActorEnum_candidate,03 E8
86301,0x1511D,40,4,33554432,,02 00 00 00
86369,0x15161,37,1,222,eActorEnum_candidate,DE
86391,0x15177,65,2,696,eActorEnum_candidate,02 B8
86931,0x15393,37,1,40,eActorEnum_candidate,28
87028,0x153F4,37,1,16,eActorEnum_candidate,10
87499,0x155CB,37,1,57,eActorEnum_candidate,39
87509,0x155D5,37,1,57,eActorEnum_candidate,39
87564,0x1560C,65,2,1000,eActorEnum_candidate,03 E8
87610,0x1563A,65,2,837,eActorEnum_candidate,03 45
87617,0x15641,65,2,971,eActorEnum_candidate,03 CB
87647,0x1565F,65,2,1287,eActorEnum_candidate,05 07
87654,0x15666,65,2,1310,,05 1E
87723,0x156AB,37,1,32,eActorEnum_candidate,20
87737,0x156B9,65,2,1287,eActorEnum_candidate,05 07
87745,0x156C1,65,2,1287,eActorEnum_candidate,05 07
87756,0x156CC,65,2,837,eActorEnum_candidate,03 45
87771,0x156DB,37,1,32,eActorEnum_candidate,20
87788,0x156EC,65,2,1000,eActorEnum_candidate,03 E8
87873,0x15741,37,1,128,eActorEnum_candidate,80
87890,0x15752,37,1,64,eActorEnum_candidate,40
87928,0x15778,65,2,976,eActorEnum_candidate,03 D0
87934,0x1577E,65,2,1007,eActorEnum_candidate,03 EF
87964,0x1579C,65,2,1311,,05 1F
87996,0x157BC,65,2,976,eActorEnum_candidate,03 D0
88002,0x157C2,65,2,1007,eActorEnum_candidate,03 EF
88079,0x1580F,65,2,1000,eActorEnum_candidate,03 E8
88086,0x15816,65,2,996,eActorEnum_candidate,03 E4
88093,0x1581D,65,2,987,eActorEnum_candidate,03 DB
88100,0x15824,65,2,976,eActorEnum_candidate,03 D0
88103,0x15827,37,1,21,eActorEnum_candidate,15
88108,0x1582C,65,2,982,eActorEnum_candidate,03 D6
88111,0x1582F,37,1,32,eActorEnum_candidate,20
88116,0x15834,65,2,979,eActorEnum_candidate,03 D3
88119,0x15837,37,1,39,eActorEnum_candidate,27
88124,0x1583C,65,2,1006,eActorEnum_candidate,03 EE
88127,0x1583F,37,1,49,eActorEnum_candidate,31
88135,0x15847,65,2,1000,eActorEnum_candidate,03 E8
88142,0x1584E,65,2,996,eActorEnum_candidate,03 E4
88149,0x15855,65,2,987,eActorEnum_candidate,03 DB
88156,0x1585C,65,2,976,eActorEnum_candidate,03 D0
88159,0x1585F,37,1,10,eActorEnum_candidate,0A
88164,0x15864,65,2,982,eActorEnum_candidate,03 D6
88167,0x15867,37,1,21,eActorEnum_candidate,15
88172,0x1586C,65,2,979,eActorEnum_candidate,03 D3
88175,0x1586F,37,1,32,eActorEnum_candidate,20
88180,0x15874,65,2,1006,eActorEnum_candidate,03 EE
88183,0x15877,37,1,39,eActorEnum_candidate,27
88188,0x1587C,65,2,1004,eActorEnum_candidate,03 EC
88191,0x1587F,37,1,49,eActorEnum_candidate,31
88199,0x15887,65,2,1000,eActorEnum_candidate,03 E8
88206,0x1588E,65,2,996,eActorEnum_candidate,03 E4
88213,0x15895,65,2,987,eActorEnum_candidate,03 DB
88220,0x1589C,65,2,976,eActorEnum_candidate,03 D0
88223,0x1589F,37,1,10,eActorEnum_candidate,0A
88228,0x158A4,65,2,982,eActorEnum_candidate,03 D6
88231,0x158A7,37,1,14,eActorEnum_candidate,0E
88236,0x158AC,65,2,979,eActorEnum_candidate,03 D3
88239,0x158AF,37,1,21,eActorEnum_candidate,15
88244,0x158B4,65,2,1006,eActorEnum_candidate,03 EE
88247,0x158B7,37,1,32,eActorEnum_candidate,20
88252,0x158BC,65,2,1004,eActorEnum_candidate,03 EC
88255,0x158BF,37,1,39,eActorEnum_candidate,27
88260,0x158C4,65,2,1005,eActorEnum_candidate,03 ED
88263,0x158C7,37,1,49,eActorEnum_candidate,31
88271,0x158CF,65,2,1000,eActorEnum_candidate,03 E8
88278,0x158D6,65,2,996,eActorEnum_candidate,03 E4
88285,0x158DD,65,2,987,eActorEnum_candidate,03 DB
88292,0x158E4,65,2,976,eActorEnum_candidate,03 D0
