function_index,function_name,start_decoded_offset,start_decoded_offset_hex,end_decoded_offset,end_decoded_offset_hex,size,string_reference_count,native_call_count,constant_count,branch_count,table_block_count,purpose_tags
152,Function_152,38076,0x94BC,38091,0x94CB,15,0,0,0,1,0,[]
153,Function_153,38091,0x94CB,38104,0x94D8,13,0,0,0,1,0,[]
154,Function_154,38104,0x94D8,38137,0x94F9,33,0,0,0,1,0,[]
155,Function_155,38137,0x94F9,38356,0x95D4,219,11,0,0,1,0,[]
156,Function_156,38356,0x95D4,38380,0x95EC,24,0,0,0,3,0,[]
157,Function_157,38380,0x95EC,38391,0x95F7,11,0,0,0,1,0,[]
158,Function_158,38391,0x95F7,38410,0x960A,19,0,0,0,1,0,[]
159,Function_159,38410,0x960A,38421,0x9615,11,0,0,0,1,0,[]
160,Function_160,38421,0x9615,38433,0x9621,12,0,0,0,0,0,[]
161,Function_161,38433,0x9621,38445,0x962D,12,0,0,1,1,0,[]
162,Function_162,38445,0x962D,38703,0x972F,258,0,2,2,18,0,[]
163,Function_163,38703,0x972F,38783,0x977F,80,0,9,0,6,0,[]
164,Function_164,38783,0x977F,39043,0x9883,260,0,17,3,17,0,[]
165,Function_165,39043,0x9883,39222,0x9936,179,1,8,0,9,0,[]
166,Function_166,39222,0x9936,39377,0x99D1,155,0,2,1,13,0,[]
167,Function_167,39377,0x99D1,39386,0x99DA,9,0,0,0,0,0,[]
168,Function_168,39386,0x99DA,39502,0x9A4E,116,0,2,2,9,0,[]
169,Function_169,39502,0x9A4E,39596,0x9AAC,94,0,0,0,0,0,[]
170,Function_170,39596,0x9AAC,39635,0x9AD3,39,0,2,0,1,0,[]
171,Function_171,39635,0x9AD3,39652,0x9AE4,17,0,1,0,0,0,[]
172,Function_172,39652,0x9AE4,39763,0x9B53,111,0,0,4,17,0,[]
173,Function_173,39763,0x9B53,39791,0x9B6F,28,0,0,0,4,0,[]
174,Function_174,39791,0x9B6F,40125,0x9CBD,334,0,7,3,27,0,[]
175,Function_175,40125,0x9CBD,44414,0xAD7E,4289,26,150,84,386,0,['spawn']
176,Function_176,44414,0xAD7E,44442,0xAD9A,28,0,2,0,1,0,[]
177,Function_177,44442,0xAD9A,44683,0xAE8B,241,3,5,2,12,0,[]
178,Function_178,44683,0xAE8B,44697,0xAE99,14,0,1,0,1,0,[]
179,Function_179,44697,0xAE99,44861,0xAF3D,164,6,4,0,10,0,[]
180,Function_180,44861,0xAF3D,44947,0xAF93,86,0,10,3,5,0,[]
181,Function_181,44947,0xAF93,44964,0xAFA4,17,0,1,0,0,0,[]
182,Function_182,44964,0xAFA4,44974,0xAFAE,10,0,0,0,1,0,[]
183,Function_183,44974,0xAFAE,45037,0xAFED,63,0,3,1,5,0,[]
184,Function_184,45037,0xAFED,45128,0xB048,91,1,2,1,6,0,[]
185,Function_185,45128,0xB048,45156,0xB064,28,0,0,0,2,0,[]
186,Function_186,45156,0xB064,45184,0xB080,28,0,0,0,3,0,[]
187,Function_187,45184,0xB080,45199,0xB08F,15,0,0,0,0,0,[]
188,Function_188,45199,0xB08F,45250,0xB0C2,51,0,3,0,3,0,[]
189,Function_189,45250,0xB0C2,45989,0xB3A5,739,4,33,6,53,0,[]
190,Function_190,45989,0xB3A5,46024,0xB3C8,35,0,0,0,5,0,[]
191,Function_191,46024,0xB3C8,46055,0xB3E7,31,0,2,0,1,0,[]
192,Function_192,46055,0xB3E7,46067,0xB3F3,12,0,1,0,0,0,[]
193,Function_193,46067,0xB3F3,46078,0xB3FE,11,0,0,1,1,0,[]
194,Function_194,46078,0xB3FE,46124,0xB42C,46,0,1,1,3,0,[]
195,Function_195,46124,0xB42C,46158,0xB44E,34,0,1,0,2,0,[]
196,Function_196,46158,0xB44E,46176,0xB460,18,0,0,0,2,0,[]
197,Function_197,46176,0xB460,46202,0xB47A,26,0,0,0,2,0,[]
198,Function_198,46202,0xB47A,46221,0xB48D,19,0,0,0,0,0,[]
199,Function_199,46221,0xB48D,46388,0xB534,167,2,5,3,16,0,[]
200,Function_200,46388,0xB534,46516,0xB5B4,128,0,7,0,10,0,[]
201,Function_201,46516,0xB5B4,46897,0xB731,381,0,16,14,29,0,[]
202,Function_202,46897,0xB731,46912,0xB740,15,0,0,0,1,0,[]
203,Function_203,46912,0xB740,46963,0xB773,51,0,0,1,5,0,[]
204,Function_204,46963,0xB773,47038,0xB7BE,75,0,3,1,6,0,[]
205,Function_205,47038,0xB7BE,47195,0xB85B,157,4,8,0,10,0,[]
206,Function_206,47195,0xB85B,47570,0xB9D2,375,3,18,6,24,0,['spawn']
207,Function_207,47570,0xB9D2,47632,0xBA10,62,3,4,0,0,0,[]
208,Function_208,47632,0xBA10,47682,0xBA42,50,0,0,0,6,0,[]
209,Function_209,47682,0xBA42,47819,0xBACB,137,0,0,4,12,0,[]
210,Function_210,47819,0xBACB,48486,0xBD66,667,5,13,2,8,0,[]
211,Function_211,48486,0xBD66,50069,0xC395,1583,29,37,14,65,0,[]
212,Function_212,50069,0xC395,50086,0xC3A6,17,0,0,0,0,0,[]
213,Function_213,50086,0xC3A6,50187,0xC40B,101,0,2,2,3,0,[]
214,Function_214,50187,0xC40B,50205,0xC41D,18,0,0,0,1,0,[]
215,Function_215,50205,0xC41D,50223,0xC42F,18,0,0,0,1,0,[]
216,Function_216,50223,0xC42F,50527,0xC55F,304,1,5,4,13,0,[]
217,Function_217,50527,0xC55F,50542,0xC56E,15,0,0,0,0,0,[]
218,Function_218,50542,0xC56E,50599,0xC5A7,57,1,1,0,1,0,[]
219,Function_219,50599,0xC5A7,50660,0xC5E4,61,1,1,0,1,0,[]
220,Function_220,50660,0xC5E4,51070,0xC77E,410,4,8,0,4,0,[]
221,Function_221,51070,0xC77E,51650,0xC9C2,580,4,4,5,11,0,[]
222,Function_222,51650,0xC9C2,51715,0xCA03,65,1,2,0,1,0,[]
223,Function_223,51715,0xCA03,52222,0xCBFE,507,4,10,2,10,0,[]
224,Function_224,52222,0xCBFE,52246,0xCC16,24,0,0,0,2,0,[]
225,Function_225,52246,0xCC16,52267,0xCC2B,21,0,0,0,1,0,[]
226,Function_226,52267,0xCC2B,52531,0xCD33,264,0,33,5,10,0,[]
227,Function_227,52531,0xCD33,52547,0xCD43,16,0,0,1,1,0,[]
228,Function_228,52547,0xCD43,52600,0xCD78,53,1,1,4,1,0,[]
229,Function_229,52600,0xCD78,52621,0xCD8D,21,0,2,0,1,0,[]
230,Function_230,52621,0xCD8D,52804,0xCE44,183,1,10,0,9,0,[]
231,Function_231,52804,0xCE44,52830,0xCE5E,26,0,1,0,1,0,[]
232,Function_232,52830,0xCE5E,52865,0xCE81,35,0,4,0,0,0,[]
233,Function_233,52865,0xCE81,52904,0xCEA8,39,0,2,0,1,0,[]
234,Function_234,52904,0xCEA8,52921,0xCEB9,17,0,1,0,0,0,[]
235,Function_235,52921,0xCEB9,52962,0xCEE2,41,0,4,0,2,0,[]
236,Function_236,52962,0xCEE2,52987,0xCEFB,25,0,0,2,4,0,[]
237,Function_237,52987,0xCEFB,53494,0xD0F6,507,1,26,8,25,0,[]
238,Function_238,53494,0xD0F6,53559,0xD137,65,0,7,0,0,0,[]
239,Function_239,53559,0xD137,53964,0xD2CC,405,2,19,2,17,0,[]
240,Function_240,53964,0xD2CC,53978,0xD2DA,14,0,0,0,1,0,[]
241,Function_241,53978,0xD2DA,53999,0xD2EF,21,0,1,0,0,0,[]
242,Function_242,53999,0xD2EF,54129,0xD371,130,2,8,0,8,0,[]
243,Function_243,54129,0xD371,54412,0xD48C,283,0,23,0,6,0,[]
244,Function_244,54412,0xD48C,54689,0xD5A1,277,1,25,3,0,0,[]
245,Function_245,54689,0xD5A1,54970,0xD6BA,281,1,25,3,0,0,[]
246,Function_246,54970,0xD6BA,55236,0xD7C4,266,1,23,3,0,0,[]
247,Function_247,55236,0xD7C4,55498,0xD8CA,262,1,23,3,0,0,[]
248,Function_248,55498,0xD8CA,55674,0xD97A,176,0,15,3,0,0,[]
249,Function_249,55674,0xD97A,55857,0xDA31,183,0,16,3,0,0,[]
250,Function_250,55857,0xDA31,55976,0xDAA8,119,2,8,0,8,0,[]
251,Function_251,55976,0xDAA8,56084,0xDB14,108,0,9,0,2,0,[]
252,Function_252,56084,0xDB14,56278,0xDBD6,194,0,11,0,4,0,[]
253,Function_253,56278,0xDBD6,56472,0xDC98,194,0,11,0,4,0,[]
254,Function_254,56472,0xDC98,57278,0xDFBE,806,27,35,7,24,0,[]
255,Function_255,57278,0xDFBE,57444,0xE064,166,2,6,3,9,0,[]
256,Function_256,57444,0xE064,57461,0xE075,17,0,0,1,0,0,[]
257,Function_257,57461,0xE075,57487,0xE08F,26,0,0,0,3,0,[]
258,Function_258,57487,0xE08F,57611,0xE10B,124,2,10,0,8,0,[]
259,Function_259,57611,0xE10B,57623,0xE117,12,0,0,0,0,0,[]
260,Function_260,57623,0xE117,57636,0xE124,13,0,0,0,0,0,[]
261,Function_261,57636,0xE124,57655,0xE137,19,0,0,0,2,0,[]
262,Function_262,57655,0xE137,57696,0xE160,41,0,2,0,1,0,[]
263,Function_263,57696,0xE160,57712,0xE170,16,0,0,0,0,0,[]
264,Function_264,57712,0xE170,57783,0xE1B7,71,0,1,1,6,0,[]
265,Function_265,57783,0xE1B7,57798,0xE1C6,15,0,0,0,1,0,[]
266,Function_266,57798,0xE1C6,57813,0xE1D5,15,0,0,0,1,0,[]
267,Function_267,57813,0xE1D5,57835,0xE1EB,22,0,1,0,1,0,[]
268,Function_268,57835,0xE1EB,57889,0xE221,54,0,0,1,5,0,[]
269,Function_269,57889,0xE221,57903,0xE22F,14,1,1,0,0,0,[]
270,Function_270,57903,0xE22F,57921,0xE241,18,0,0,1,0,0,[]
271,Function_271,57921,0xE241,57944,0xE258,23,0,2,0,2,0,[]
272,Function_272,57944,0xE258,58012,0xE29C,68,0,1,1,9,0,[]
273,Function_273,58012,0xE29C,58022,0xE2A6,10,0,0,0,1,0,[]
274,Function_274,58022,0xE2A6,58041,0xE2B9,19,0,0,0,1,0,[]
275,Function_275,58041,0xE2B9,58053,0xE2C5,12,0,0,1,0,0,[]
276,Function_276,58053,0xE2C5,58064,0xE2D0,11,0,0,0,0,0,[]
277,Function_277,58064,0xE2D0,58074,0xE2DA,10,0,0,0,1,0,[]
278,Function_278,58074,0xE2DA,58091,0xE2EB,17,0,0,0,1,0,[]
279,Function_279,58091,0xE2EB,58170,0xE33A,79,2,2,1,3,0,[]
280,Function_280,58170,0xE33A,58184,0xE348,14,0,0,0,1,0,[]
281,Function_281,58184,0xE348,58219,0xE36B,35,0,0,1,0,0,[]
282,Function_282,58219,0xE36B,58233,0xE379,14,0,0,0,1,0,[]
283,Function_283,58233,0xE379,58260,0xE394,27,0,0,1,0,0,[]
284,Function_284,58260,0xE394,58274,0xE3A2,14,0,0,0,1,0,[]
285,Function_285,58274,0xE3A2,58302,0xE3BE,28,0,0,0,2,0,[]
286,Function_286,58302,0xE3BE,58377,0xE409,75,0,7,0,8,0,[]
287,Function_287,58377,0xE409,58448,0xE450,71,0,1,1,7,0,[]
288,Function_288,58448,0xE450,58464,0xE460,16,0,0,0,0,0,[]
289,Function_289,58464,0xE460,58498,0xE482,34,0,1,1,1,0,[]
290,Function_290,58498,0xE482,58515,0xE493,17,0,0,0,1,0,[]
291,Function_291,58515,0xE493,58924,0xE62C,409,11,12,11,37,0,['enable']
292,Function_292,58924,0xE62C,59300,0xE7A4,376,9,18,7,26,0,[]
293,Function_293,59300,0xE7A4,59317,0xE7B5,17,0,0,0,1,0,[]
294,Function_294,59317,0xE7B5,59418,0xE81A,101,2,5,1,3,0,[]
295,Function_295,59418,0xE81A,59444,0xE834,26,0,2,1,2,0,[]
296,Function_296,59444,0xE834,59457,0xE841,13,0,0,0,1,0,[]
297,Function_297,59457,0xE841,59464,0xE848,7,0,0,0,0,0,[]
298,Function_298,59464,0xE848,59913,0xEA09,449,6,14,14,37,0,[]
299,Function_299,59913,0xEA09,60102,0xEAC6,189,2,4,4,7,0,[]
300,Function_300,60102,0xEAC6,60121,0xEAD9,19,0,0,0,0,0,[]
301,Function_301,60121,0xEAD9,60154,0xEAFA,33,0,2,0,4,0,[]
302,Function_302,60154,0xEAFA,60445,0xEC1D,291,8,11,1,17,0,[]
303,Function_303,60445,0xEC1D,60506,0xEC5A,61,0,2,5,9,0,[]
304,Function_304,60506,0xEC5A,60635,0xECDB,129,2,5,3,10,0,[]
305,Function_305,60635,0xECDB,60772,0xED64,137,1,4,3,10,0,[]
306,Function_306,60772,0xED64,60792,0xED78,20,0,0,1,1,0,[]
307,Function_307,60792,0xED78,60861,0xEDBD,69,1,2,3,3,0,[]
308,Function_308,60861,0xEDBD,60913,0xEDF1,52,0,4,0,5,0,[]
309,Function_309,60913,0xEDF1,61082,0xEE9A,169,0,8,9,21,0,[]
