category,archive,entry_index,hash_name,hash_value,guessed_name,entry_path,offset,stored_size,total_size,resource,resource_type,compressed,decode_status,decoded_size,raw_sha1,decoded_sha1,reference_path,reference_sha1,raw_sha1_matches_reference,decoded_sha1_matches_reference
nav,navres.rpf,866,0x54651654,0x54651654,car01x.wnm,root/0x72686CAD/0x2CD9D7A5/0x54651654,815104,390,256,True,33,True,compressed_resource_not_decoded,,02314844e00f77695edd78a1c64150f3c2ec1b8c,,,,,
nav,navres.rpf,829,0x01974589,0x01974589,truck01x.wnm,root/0x72686CAD/0x2CD9D7A5/0x01974589,1044480,207,256,True,33,True,compressed_resource_not_decoded,,fe73d5108990d2aea17ac5517ee934d2a020cb38,,,,,
scripts,content.rpf,1443,car_gringo.wsc,0xC79B589C,car_gringo.wsc,root/content/release64/scripting/gringo/commonscripts/car_gringo.wsc,13553664,2877,12288,True,2,False,plain,2877,1751bd2b912039048fd480b43da6ea2b9386ffa9,1751bd2b912039048fd480b43da6ea2b9386ffa9,,,,
scripts,content.rpf,1358,carcrank_gringo.wsc,0x56813787,carcrank_gringo.wsc,root/content/release64/scripting/gringo/commonscripts/carcrank_gringo.wsc,13543424,9853,20480,True,2,False,plain,9853,387bf936a58b3d41dfcddda22776c5ce2550d011,387bf936a58b3d41dfcddda22776c5ce2550d011,,,,
scripts,content.rpf,1491,gen_vehicle_brain.wsc,0xFD81AC66,gen_vehicle_brain.wsc,root/content/release64/scripting/gringo/gringobrains/gringobrainscripts/gen_vehicle_brain.wsc,15349760,138,4096,True,2,False,plain,138,a97c7461993124f568e0bc5b9a76638b73ce74e0,a97c7461993124f568e0bc5b9a76638b73ce74e0,,,,
scripts,content.rpf,1446,playercar.wsc,0xCC2125BF,playercar.wsc,root/content/release64/scripting/gringo/commonscripts/playercar.wsc,14780416,9908,24576,True,2,False,plain,9908,1b0a2469309d9a761ccfcc9370d9c22fe458894d,1b0a2469309d9a761ccfcc9370d9c22fe458894d,,,,
scripts,content.rpf,1291,traincar_gringo.wsc,0x03A3E1F1,traincar_gringo.wsc,root/content/release64/scripting/gringo/commonscripts/traincar_gringo.wsc,15200256,3062,12288,True,2,False,plain,3062,f7a84c3a00dc59314ca3e5e4f42f83d2f6bb5a13,f7a84c3a00dc59314ca3e5e4f42f83d2f6bb5a13,,,,
scripts,content.rpf,1460,traincararmored_gringo.wsc,0xDF485D39,traincararmored_gringo.wsc,root/content/release64/scripting/gringo/commonscripts/traincararmored_gringo.wsc,15157248,2292,8192,True,2,False,plain,2292,1e8ab5f3a89b8d0b8bbc90f7fcea7cb552a1dc48,1e8ab5f3a89b8d0b8bbc90f7fcea7cb552a1dc48,,,,
scripts,content.rpf,1322,traincarbaggage_gringo.wsc,0x3001E0D6,traincarbaggage_gringo.wsc,root/content/release64/scripting/gringo/commonscripts/traincarbaggage_gringo.wsc,15161344,2797,12288,True,2,False,plain,2797,32dd222ead20e7a0136f49de66b9f0ea3a496614,32dd222ead20e7a0136f49de66b9f0ea3a496614,,,,
scripts,content.rpf,1457,traincarbox01_gringo.wsc,0xDA678F7E,traincarbox01_gringo.wsc,root/content/release64/scripting/gringo/commonscripts/traincarbox01_gringo.wsc,15165440,2390,8192,True,2,False,plain,2390,33547f85c85787f578804ff8171c2791e98ace5e,33547f85c85787f578804ff8171c2791e98ace5e,,,,
scripts,content.rpf,1419,traincarbox02_gringo.wsc,0xA6EEF879,traincarbox02_gringo.wsc,root/content/release64/scripting/gringo/commonscripts/traincarbox02_gringo.wsc,15169536,2248,4096,True,2,False,plain,2248,add01544511fb3d176cfb1ebf57bf8f4f4f3a0ee,add01544511fb3d176cfb1ebf57bf8f4f4f3a0ee,,,,
scripts,content.rpf,1384,traincarbox03_gringo.wsc,0x7286D436,traincarbox03_gringo.wsc,root/content/release64/scripting/gringo/commonscripts/traincarbox03_gringo.wsc,15173632,2528,12288,True,2,False,plain,2528,fcb7e110327876f1297be124c353c6315f2f5d21,fcb7e110327876f1297be124c353c6315f2f5d21,,,,
scripts,content.rpf,1429,traincarbox04_gringo.wsc,0xB1577B43,traincarbox04_gringo.wsc,root/content/release64/scripting/gringo/commonscripts/traincarbox04_gringo.wsc,15177728,2301,8192,True,2,False,plain,2301,14f5790969f63b0fd151ba83e1c7696a089cc4d4,14f5790969f63b0fd151ba83e1c7696a089cc4d4,,,,
scripts,content.rpf,1444,traincarbox05_gringo.wsc,0xC94E7AF1,traincarbox05_gringo.wsc,root/content/release64/scripting/gringo/commonscripts/traincarbox05_gringo.wsc,15181824,1146,4096,True,2,False,plain,1146,fa0442a2575bf1344f63f90c54dfe74246448aae,fa0442a2575bf1344f63f90c54dfe74246448aae,,,,
scripts,content.rpf,1328,traincarcaboose_gringo.wsc,0x3394ABD0,traincarcaboose_gringo.wsc,root/content/release64/scripting/gringo/commonscripts/traincarcaboose_gringo.wsc,15183872,2221,4096,True,2,False,plain,2221,ed96efe296b455a7bf8e9ddb841aa2924afa5ce3,ed96efe296b455a7bf8e9ddb841aa2924afa5ce3,,,,
scripts,content.rpf,1448,traincarcattle_gringo.wsc,0xCEA76D89,traincarcattle_gringo.wsc,root/content/release64/scripting/gringo/commonscripts/traincarcattle_gringo.wsc,15187968,2288,8192,True,2,False,plain,2288,1713caaa93e3bdc003c3d882c62c5d756fa03859,1713caaa93e3bdc003c3d882c62c5d756fa03859,,,,
scripts,content.rpf,1480,traincarflat_gringo.wsc,0xFD89F4C0,traincarflat_gringo.wsc,root/content/release64/scripting/gringo/commonscripts/traincarflat_gringo.wsc,15192064,1124,4096,True,2,False,plain,1124,b65a454403d3a8ecb970c3f0a50e1cb4e543f389,b65a454403d3a8ecb970c3f0a50e1cb4e543f389,,,,
scripts,content.rpf,1339,traincarsteamer_gringo.wsc,0x407D1766,traincarsteamer_gringo.wsc,root/content/release64/scripting/gringo/commonscripts/traincarsteamer_gringo.wsc,15194112,3281,12288,True,2,False,plain,3281,1ac69df585734c5ec36278ff24081d5d4cbe0c5f,1ac69df585734c5ec36278ff24081d5d4cbe0c5f,,,,
scripts,content.rpf,1361,traincarwood_gringo.wsc,0x5A2E3DD1,traincarwood_gringo.wsc,root/content/release64/scripting/gringo/commonscripts/traincarwood_gringo.wsc,15198208,1127,4096,True,2,False,plain,1127,64a2335d9042fb96401fce7fa7716862d1f91e4f,64a2335d9042fb96401fce7fa7716862d1f91e4f,,,,
scripts,content.rpf,1403,vehicle_generator.wsc,0x922ACA88,vehicle_generator.wsc,root/content/release64/scripting/gringo/commonscripts/vehicle_generator.wsc,15276032,2372,4096,True,2,False,plain,2372,b754bd583399726f568f2e406f3dcdb9d472a11c,b754bd583399726f568f2e406f3dcdb9d472a11c,,,,
templates,tune_d11generic.rpf,1403,0x86FBF6EF,0x86FBF6EF,template_draftvehicle.xml,root/0xA562A52D/0xBEE46552/0x86FBF6EF,4407784,439,1240,False,,True,zstd_decoded_with_toc_size,1240,de60d2934c831ff9d25b102a8576fe6b01d2a5c9,d1c4363cbba2e45f3300ab6c5c461ae316abf734,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\template_draftvehicle.xml,d1c4363cbba2e45f3300ab6c5c461ae316abf734,False,True
templates,tune_d11generic.rpf,1425,0xFC1EB16D,0xFC1EB16D,template_vehicle.xml,root/0xA562A52D/0xBEE46552/0xFC1EB16D,4412384,373,1091,False,,True,zstd_decoded_with_toc_size,1091,38145cd87b58c8e373ea0c2ef6a6591abd5d84db,5d912f4a9e088534878e7ec081d1a23875eff6ad,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\template_vehicle.xml,5d912f4a9e088534878e7ec081d1a23875eff6ad,False,True
templates,tune_d11generic.rpf,1389,0x49B8077D,0x49B8077D,template_vehiclecar01.xml,root/0xA562A52D/0xBEE46552/0x49B8077D,4413104,544,1325,False,,True,zstd_decoded_with_toc_size,1325,8d5c4ffe0b251d573138c05c66d1e9740888cd9d,05f69ef36c8cab9ea5ba5ce62edcc047cc9956be,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\template_vehiclecar01.xml,05f69ef36c8cab9ea5ba5ce62edcc047cc9956be,False,True
templates,tune_d11generic.rpf,1411,0xA3EC685B,0xA3EC685B,template_vehicletruck01.xml,root/0xA562A52D/0xBEE46552/0xA3EC685B,4421344,330,660,False,,True,zstd_decoded,660,68481873f5d98817128ffec921693d27c65ddbcb,662025cb627dce9866694be7a4bfe97dceb0655c,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\tune\template\template_vehicletruck01.xml,662025cb627dce9866694be7a4bfe97dceb0655c,False,True
textures,fragments.rpf,5294,car01x_hilod.wtd,0x8A690556,car01x_hilod.wtd,root/fragments/car01x_hilod.wtd,942153728,1562153,163840,True,10,True,compressed_resource_not_decoded,,5c5d87377e82613687e1be3710978da963933f4b,,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\Mods\Game - Driveable vehicles +\fragments\car01x_hilod.wtd,91c8d6d13959969f9646687939c47290cd139318,False,
textures,fragments.rpf,4163,truck01x_hilod.wtd,0x6CF51E9B,truck01x_hilod.wtd,root/fragments/truck01x_hilod.wtd,1978750976,1056003,131072,True,10,True,compressed_resource_not_decoded,,ef9cce4ab5a1692e9e816de3d7289eacdb213a6a,,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\Mods\Game - Driveable vehicles +\fragments\truck01x_hilod.wtd,56bcf557245b8238623c29ed2f7220f239db07f5,False,
tune_metadata,tune_d11generic.rpf,1667,0x0CC47108,0x0CC47108,car01x.vehgyro,root/0xA562A52D/0xDD245B9C/0x0CC47108,4492800,392,392,False,,False,plain,392,ec9d70623b933c3ee7068f3a73ce4a3bc05f9864,ec9d70623b933c3ee7068f3a73ce4a3bc05f9864,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\car01x.vehgyro,ec9d70623b933c3ee7068f3a73ce4a3bc05f9864,True,True
tune_metadata,tune_d11generic.rpf,1766,0x8AE16B72,0x8AE16B72,car01x.vehinput,root/0xA562A52D/0xDD245B9C/0x8AE16B72,4493200,179,179,False,,False,plain,179,0b0e79b03f146359a30760621ab11f6b0a37eb55,0b0e79b03f146359a30760621ab11f6b0a37eb55,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\car01x.vehinput,0b0e79b03f146359a30760621ab11f6b0a37eb55,True,True
tune_metadata,tune_d11generic.rpf,1846,0xD9330DD7,0xD9330DD7,car01x.vehmodel,root/0xA562A52D/0xDD245B9C/0xD9330DD7,4493384,533,533,False,,False,plain,533,895dee09e5a351650e454358612b1425cd615c08,895dee09e5a351650e454358612b1425cd615c08,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\car01x.vehmodel,895dee09e5a351650e454358612b1425cd615c08,True,True
tune_metadata,tune_d11generic.rpf,1821,0xBF26C020,0xBF26C020,car01x.vehsim,root/0xA562A52D/0xDD245B9C/0xBF26C020,4493920,6306,6306,False,,False,plain,6306,1dad5c9dad4798a92807fa29636c8f0bd1db6471,1dad5c9dad4798a92807fa29636c8f0bd1db6471,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\car01x.vehsim,377950255976671be3c9d6e5fa8894be73487fd6,False,False
tune_metadata,tune_d11generic.rpf,1830,0xC7335C52,0xC7335C52,car01x.vehstuck,root/0xA562A52D/0xDD245B9C/0xC7335C52,4500232,269,269,False,,False,plain,269,1d23c7a656b0eae3c1b66b1a3064081716d881f6,1d23c7a656b0eae3c1b66b1a3064081716d881f6,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\car01x.vehstuck,1d23c7a656b0eae3c1b66b1a3064081716d881f6,True,True
tune_metadata,tune_d11generic.rpf,1881,0xF7633120,0xF7633120,truck01x.vehgyro,root/0xA562A52D/0xDD245B9C/0xF7633120,4590992,392,392,False,,False,plain,392,ec9d70623b933c3ee7068f3a73ce4a3bc05f9864,ec9d70623b933c3ee7068f3a73ce4a3bc05f9864,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\truck01x.vehgyro,ec9d70623b933c3ee7068f3a73ce4a3bc05f9864,True,True
tune_metadata,tune_d11generic.rpf,1708,0x4474D421,0x4474D421,truck01x.vehinput,root/0xA562A52D/0xDD245B9C/0x4474D421,4591392,179,179,False,,False,plain,179,0b0e79b03f146359a30760621ab11f6b0a37eb55,0b0e79b03f146359a30760621ab11f6b0a37eb55,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\truck01x.vehinput,0b0e79b03f146359a30760621ab11f6b0a37eb55,True,True
tune_metadata,tune_d11generic.rpf,1651,0x033F4F06,0x033F4F06,truck01x.vehmodel,root/0xA562A52D/0xDD245B9C/0x033F4F06,4591576,533,533,False,,False,plain,533,895dee09e5a351650e454358612b1425cd615c08,895dee09e5a351650e454358612b1425cd615c08,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\truck01x.vehmodel,895dee09e5a351650e454358612b1425cd615c08,True,True
tune_metadata,tune_d11generic.rpf,1726,0x5FF3557D,0x5FF3557D,truck01x.vehsim,root/0xA562A52D/0xDD245B9C/0x5FF3557D,4592112,6319,6319,False,,False,plain,6319,e98e8bd7a346552b97d0781ca415fb5a8adaa028,e98e8bd7a346552b97d0781ca415fb5a8adaa028,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\truck01x.vehsim,5fc34fd89e2351aa69721d24af86d679be4a66da,False,False
tune_metadata,tune_d11generic.rpf,1794,0xAE040120,0xAE040120,truck01x.vehstuck,root/0xA562A52D/0xDD245B9C/0xAE040120,4598432,269,269,False,,False,plain,269,1d23c7a656b0eae3c1b66b1a3064081716d881f6,1d23c7a656b0eae3c1b66b1a3064081716d881f6,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\truck01x.vehstuck,1d23c7a656b0eae3c1b66b1a3064081716d881f6,True,True
