archive,archive_path,entry_path,name,extension,layer,size,offset,is_resource,resource_type,base_name,name_hash
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/13402700_bnd.wtb,13402700_bnd.wtb,.wtb,terrain_bounds_wtb,121171,143198208,True,36,13402700_bnd,0x65D11BD5
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/10c01e80_bnd.wtb,10c01e80_bnd.wtb,.wtb,terrain_bounds_wtb,4165,116600832,True,36,10c01e80_bnd,0x65F7BAAE
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/1c001fc0_bnd.wtb,1c001fc0_bnd.wtb,.wtb,terrain_bounds_wtb,2160,211873792,True,36,1c001fc0_bnd,0x0833FC8A
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/11002040_bnd.wtb,11002040_bnd.wtb,.wtb,terrain_bounds_wtb,10126,119207936,True,36,11002040_bnd,0xCD6880A4
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0f402a40_bnd.wtb,0f402a40_bnd.wtb,.wtb,terrain_bounds_wtb,45763,105342976,True,36,0f402a40_bnd,0x25D872FC
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0e402ac0_bnd.wtb,0e402ac0_bnd.wtb,.wtb,terrain_bounds_wtb,50969,95506432,True,36,0e402ac0_bnd,0xD5987ADC
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/11402400_bnd.wtb,11402400_bnd.wtb,.wtb,terrain_bounds_wtb,21308,121792512,True,36,11402400_bnd,0xB000AF69
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/18401cc0_bnd.wtb,18401cc0_bnd.wtb,.wtb,terrain_bounds_wtb,10063,196487168,True,36,18401cc0_bnd,0xEB439683
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/19c01c40_bnd.wtb,19c01c40_bnd.wtb,.wtb,terrain_bounds_wtb,10610,206452736,True,36,19c01c40_bnd,0x57F759A0
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/10402940_bnd.wtb,10402940_bnd.wtb,.wtb,terrain_bounds_wtb,31491,113514496,True,36,10402940_bnd,0xFE363B7A
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0e4024c0_bnd.wtb,0e4024c0_bnd.wtb,.wtb,terrain_bounds_wtb,49975,94267392,True,36,0e4024c0_bnd,0x9CF139CC
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/16001ac0_bnd.wtb,16001ac0_bnd.wtb,.wtb,terrain_bounds_wtb,16976,174401536,True,36,16001ac0_bnd,0x70DE1D3A
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/04002a00_bnd.wtb,04002a00_bnd.wtb,.wtb,terrain_bounds_wtb,12858,477184,True,36,04002a00_bnd,0x7FD1A9CB
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0c002440_bnd.wtb,0c002440_bnd.wtb,.wtb,terrain_bounds_wtb,34932,73551872,True,36,0c002440_bnd,0xF1E03EED
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0d4020c0_bnd.wtb,0d4020c0_bnd.wtb,.wtb,terrain_bounds_wtb,44885,83574784,True,36,0d4020c0_bnd,0xA8DB9BA6
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/064029c0_bnd.wtb,064029c0_bnd.wtb,.wtb,terrain_bounds_wtb,51504,16963584,True,36,064029c0_bnd,0xAC4C9D5A
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/14c02400_bnd.wtb,14c02400_bnd.wtb,.wtb,terrain_bounds_wtb,22429,161116160,True,36,14c02400_bnd,0x2C3AC7D0
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/070029c0_bnd.wtb,070029c0_bnd.wtb,.wtb,terrain_bounds_wtb,71673,26433536,True,36,070029c0_bnd,0x810F7648
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/16c01e40_bnd.wtb,16c01e40_bnd.wtb,.wtb,terrain_bounds_wtb,25440,184356864,True,36,16c01e40_bnd,0x3B3C0B99
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/16402980_bnd.wtb,16402980_bnd.wtb,.wtb,terrain_bounds_wtb,6012,180848640,True,36,16402980_bnd,0x4E48966E
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/1a402000_bnd.wtb,1a402000_bnd.wtb,.wtb,terrain_bounds_wtb,4443,208893952,True,36,1a402000_bnd,0x86141033
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/08002600_bnd.wtb,08002600_bnd.wtb,.wtb,terrain_bounds_wtb,46542,35825664,True,36,08002600_bnd,0x305E9021
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/05002680_bnd.wtb,05002680_bnd.wtb,.wtb,terrain_bounds_wtb,69631,3805184,True,36,05002680_bnd,0x0DBBFDE5
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/17802200_bnd.wtb,17802200_bnd.wtb,.wtb,terrain_bounds_wtb,70294,191195136,True,36,17802200_bnd,0xA850EE79
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/11002140_bnd.wtb,11002140_bnd.wtb,.wtb,terrain_bounds_wtb,13613,119304192,True,36,11002140_bnd,0xA472E309
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/11802a00_bnd.wtb,11802a00_bnd.wtb,.wtb,terrain_bounds_wtb,25758,125028352,True,36,11802a00_bnd,0xDB306A8E
