offset,offset_hex,opcode,width,value,actor_kind,operand_hex
58274,0xE3A2,37,1,25,eActorEnum_candidate,19
58288,0xE3B0,37,1,25,eActorEnum_candidate,19
58304,0xE3C0,37,1,25,eActorEnum_candidate,19
58338,0xE3E2,37,1,25,eActorEnum_candidate,19
58349,0xE3ED,37,1,25,eActorEnum_candidate,19
58358,0xE3F6,37,1,25,eActorEnum_candidate,19
58371,0xE403,37,1,100,eActorEnum_candidate,64
58376,0xE408,38,2,6500,,19 64
58382,0xE40E,65,2,3040,,0B E0
58401,0xE421,37,1,100,eActorEnum_candidate,64
58415,0xE42F,37,1,25,eActorEnum_candidate,19
58446,0xE44E,37,1,26,eActorEnum_candidate,1A
58465,0xE461,37,1,22,eActorEnum_candidate,16
58513,0xE491,37,1,22,eActorEnum_candidate,16
58524,0xE49C,37,1,22,eActorEnum_candidate,16
58533,0xE4A5,37,1,22,eActorEnum_candidate,16
58554,0xE4BA,38,2,5782,,16 96
58560,0xE4C0,65,2,3038,,0B DE
58592,0xE4E0,37,1,22,eActorEnum_candidate,16
58623,0xE4FF,37,1,28,eActorEnum_candidate,1C
58654,0xE51E,37,1,27,eActorEnum_candidate,1B
58688,0xE540,37,1,27,eActorEnum_candidate,1B
58699,0xE54B,37,1,27,eActorEnum_candidate,1B
58708,0xE554,37,1,27,eActorEnum_candidate,1B
58721,0xE561,37,1,10,eActorEnum_candidate,0A
58726,0xE566,37,1,27,eActorEnum_candidate,1B
58738,0xE572,37,1,50,eActorEnum_candidate,32
58742,0xE576,38,2,12900,,32 64
58748,0xE57C,65,2,3042,,0B E2
58774,0xE596,37,1,10,eActorEnum_candidate,0A
58788,0xE5A4,37,1,27,eActorEnum_candidate,1B
58804,0xE5B4,37,1,27,eActorEnum_candidate,1B
58838,0xE5D6,37,1,27,eActorEnum_candidate,1B
58849,0xE5E1,37,1,27,eActorEnum_candidate,1B
58858,0xE5EA,37,1,27,eActorEnum_candidate,1B
58871,0xE5F7,37,1,50,eActorEnum_candidate,32
58876,0xE5FC,37,1,27,eActorEnum_candidate,1B
58888,0xE608,37,1,100,eActorEnum_candidate,64
58892,0xE60C,38,2,25750,,64 96
58898,0xE612,65,2,3043,,0B E3
58924,0xE62C,37,1,50,eActorEnum_candidate,32
58938,0xE63A,37,1,27,eActorEnum_candidate,1B
58954,0xE64A,37,1,27,eActorEnum_candidate,1B
58988,0xE66C,37,1,27,eActorEnum_candidate,1B
58999,0xE677,37,1,27,eActorEnum_candidate,1B
