string_offset,string_offset_hex,string_text,string_class,reference_instruction_offset,reference_instruction_offset_hex,owner_function_index,owner_function,owner_function_offset_range
74663,0x123A7,stormy,unknown,74661,0x123A5,242,Function_242,0x12342..0x12400
74687,0x123BF,snowy,unknown,74685,0x123BD,242,Function_242,0x12342..0x12400
74710,0x123D6,clear,unknown,74708,0x123D4,242,Function_242,0x12342..0x12400
74925,0x124AD,setwind,unknown,74923,0x124AB,245,Function_245,0x124A3..0x1250F
75001,0x124F9,autowind,unknown,74999,0x124F7,245,Function_245,0x124A3..0x1250F
75033,0x12519,invert_y,unknown,75031,0x12517,246,Function_246,0x1250F..0x1254F
75060,0x12534,false,unknown,75058,0x12532,246,Function_246,0x1250F..0x1254F
75097,0x12559,gps,unknown,75095,0x12557,247,Function_247,0x1254F..0x125FA
75308,0x1262C,regions_layout,unknown,75306,0x1262A,248,Function_248,0x125FA..0x126C3
75502,0x126EE,teleport,unknown,75500,0x126EC,250,Function_250,0x126E4..0x1274C
75566,0x1272E,TELEPORTING...,unknown,75564,0x1272C,250,Function_250,0x126E4..0x1274C
75583,0x1273F,,unknown,75581,0x1273D,250,Function_250,0x126E4..0x1274C
75664,0x12790,vteleport,unknown,75662,0x1278E,252,Function_252,0x12786..0x127F0
75725,0x127CD,Teleporting to %s...,debug/display text,75723,0x127CB,252,Function_252,0x12786..0x127F0
75829,0x12835,print,unknown,75827,0x12833,254,Function_254,0x1282B..0x1288D
75851,0x1284B,Console Print: ,debug/display text,75849,0x12849,254,Function_254,0x1282B..0x1288D
75896,0x12878, ,debug/display text,75894,0x12876,254,Function_254,0x1282B..0x1288D
75927,0x12897,toggle,unknown,75925,0x12895,255,Function_255,0x1288D..0x128EA
75959,0x128B7,channel,unknown,75957,0x128B5,255,Function_255,0x1288D..0x128EA
75985,0x128D1,flag,unknown,75983,0x128CF,255,Function_255,0x1288D..0x128EA
76027,0x128FB,ambient,unknown,76025,0x128F9,256,Function_256,0x128EA..0x12A50
76067,0x12923,missions,likely logic anchor,76065,0x12921,256,Function_256,0x128EA..0x12A50
76108,0x1294C,tutorials,unknown,76106,0x1294A,256,Function_256,0x128EA..0x12A50
76150,0x12976,ambientpop,unknown,76148,0x12974,256,Function_256,0x128EA..0x12A50
76200,0x129A8,locname,unknown,76198,0x129A6,256,Function_256,0x128EA..0x12A50
76243,0x129D3,clock,unknown,76241,0x129D1,256,Function_256,0x128EA..0x12A50
76284,0x129FC,adebug,unknown,76282,0x129FA,256,Function_256,0x128EA..0x12A50
76326,0x12A26,law,likely logic anchor,76324,0x12A24,256,Function_256,0x128EA..0x12A50
76416,0x12A80,callstack,unknown,76414,0x12A7E,258,Function_258,0x12A6C..0x12BE7
76443,0x12A9B,global,unknown,76441,0x12A99,258,Function_258,0x12A6C..0x12BE7
76467,0x12AB3,ambient,unknown,76465,0x12AB1,258,Function_258,0x12A6C..0x12BE7
76492,0x12ACC,regional,unknown,76490,0x12ACA,258,Function_258,0x12A6C..0x12BE7
76518,0x12AE6,mission,likely logic anchor,76516,0x12AE4,258,Function_258,0x12A6C..0x12BE7
76543,0x12AFF,launcher,unknown,76541,0x12AFD,258,Function_258,0x12A6C..0x12BE7
76569,0x12B19,gringo,unknown,76567,0x12B17,258,Function_258,0x12A6C..0x12BE7
76594,0x12B32,layout,unknown,76592,0x12B30,258,Function_258,0x12A6C..0x12BE7
76619,0x12B4B,tutorial,unknown,76617,0x12B49,258,Function_258,0x12A6C..0x12BE7
76645,0x12B65,companion,unknown,76643,0x12B63,258,Function_258,0x12A6C..0x12BE7
76673,0x12B81,law,likely logic anchor,76671,0x12B7F,258,Function_258,0x12A6C..0x12BE7
76695,0x12B97,traffic,unknown,76693,0x12B95,258,Function_258,0x12A6C..0x12BE7
76721,0x12BB1,weather,unknown,76719,0x12BAF,258,Function_258,0x12A6C..0x12BE7
76785,0x12BF1,stamb,unknown,76783,0x12BEF,259,Function_259,0x12BE7..0x12D25
76940,0x12C8C,ScriptConsole: The script could not be found. Try to specify a path.,debug/display text,76938,0x12C8A,259,Function_259,0x12BE7..0x12D25
77014,0x12CD6,ScriptConsole: This script file could not be found - ,debug/display text,77012,0x12CD4,259,Function_259,0x12BE7..0x12D25
77159,0x12D67,Camera Position: ,debug/display text,77157,0x12D65,260,Function_260,0x12D25..0x12E68
77192,0x12D88,Probe Position: ,debug/display text,77190,0x12D86,260,Function_260,0x12D25..0x12E68
77225,0x12DA9,Distance,unknown,77223,0x12DA7,260,Function_260,0x12D25..0x12E68
77436,0x12E7C,AMBIENT,unknown,77434,0x12E7A,261,Function_261,0x12E68..0x12E9D
77479,0x12EA7,end,unknown,77477,0x12EA5,262,Function_262,0x12E9D..0x12F7D
77540,0x12EE4,ScriptConsole: The script could not be found. Try to specify a path.,debug/display text,77538,0x12EE2,262,Function_262,0x12E9D..0x12F7D
77614,0x12F2E,ScriptConsole: This script file could not be found - ,debug/display text,77612,0x12F2C,262,Function_262,0x12E9D..0x12F7D
77749,0x12FB5,Frontier/Missions,likely logic anchor,77747,0x12FB3,263,Function_263,0x12F7D..0x13091
77776,0x12FD0,Frontier/Mini_Games,unknown,77774,0x12FCE,263,Function_263,0x12F7D..0x13091
77805,0x12FED,Mexico/Missions,likely logic anchor,77803,0x12FEB,263,Function_263,0x12F7D..0x13091
77830,0x13006,Mexico/Mini_Games,unknown,77828,0x13004,263,Function_263,0x12F7D..0x13091
77857,0x13021,North/Missions,likely logic anchor,77855,0x1301F,263,Function_263,0x12F7D..0x13091
77881,0x13039,North/Mini_Games,unknown,77879,0x13037,263,Function_263,0x12F7D..0x13091
77907,0x13053,systemtest,unknown,77905,0x13051,263,Function_263,0x12F7D..0x13091
77927,0x13067,systemtest,unknown,77925,0x13065,263,Function_263,0x12F7D..0x13091
77979,0x1309B,start,unknown,77977,0x13099,264,Function_264,0x13091..0x1322B
78026,0x130CA,$/content/,unknown,78024,0x130C8,264,Function_264,0x13091..0x1322B
78074,0x130FA,"Attempting to start a mission script that exists, but does not have a valid asset_ID. Please add the script to init/rdr2init_script.sc",likely logic anchor,78072,0x130F8,264,Function_264,0x13091..0x1322B
78226,0x13192,ScriptConsole: The script could not be found. Try to specify a path.,debug/display text,78224,0x13190,264,Function_264,0x13091..0x1322B
78300,0x131DC,ScriptConsole: This script file could not be found - ,debug/display text,78298,0x131DA,264,Function_264,0x13091..0x1322B
78389,0x13235,terminate,unknown,78387,0x13233,265,Function_265,0x1322B..0x133DE
78410,0x1324A,\,unknown,78408,0x13248,265,Function_265,0x1322B..0x133DE
78420,0x13254,/,unknown,78418,0x13252,265,Function_265,0x1322B..0x133DE
78449,0x13271,ScriptConsole: This script is not running.,debug/display text,78447,0x1326F,265,Function_265,0x1322B..0x133DE
78497,0x132A1,ScriptConsole: This script is not running - ,debug/display text,78495,0x1329F,265,Function_265,0x1322B..0x133DE
78571,0x132EB,.sc,unknown,78569,0x132E9,265,Function_265,0x1322B..0x133DE
78583,0x132F7,"ScriptConsole: If terminating a mission, please do not specify .sc at the end of the script name.",likely logic anchor,78581,0x132F5,265,Function_265,0x1322B..0x133DE
78733,0x1338D,ScriptConsole: The script is not running. Try to specify a path.,debug/display text,78731,0x1338B,265,Function_265,0x1322B..0x133DE
