offset,offset_hex,length,text,population_term,string_class
159989,0x270F5,24,rsdGPSTRAIL_but_cas_path,,unknown
160027,0x2711B,54,o5rsdGPSTRAIL_but_cas_pathdetachedCurve4detachedCurve2,,unknown
160097,0x27161,19,rsdGPSTRAIL_curve80,,unknown
160130,0x27182,36,o#rsdGPSTRAIL_curve154detachedCurve2,,unknown
160182,0x271B6,20,rsdGPSTRAIL_curve155,,unknown
160218,0x271DA,20,rsdGPSTRAIL_curve156,,unknown
160252,0x271FC,36,o#rsdGPSTRAIL_curve156detachedCurve2,,unknown
160304,0x27230,20,rsdGPSTRAIL_curve157,,unknown
160340,0x27254,20,rsdGPSTRAIL_curve158,,unknown
160374,0x27276,35,"o""rsdGPSTRAIL_curve159rebuiltCurve1",,unknown
160425,0x272A9,20,rsdGPSTRAIL_curve507,,unknown
160459,0x272CB,36,o#rsdGPSTRAIL_curve154detachedCurve2,,unknown
160511,0x272FF,20,rsdGPSTRAIL_curve214,,unknown
160547,0x27323,20,rsdGPSTRAIL_curve219,,unknown
160583,0x27347,20,rsdGPSTRAIL_curve220,,unknown
160619,0x2736B,20,rsdGPSTRAIL_curve221,,unknown
160655,0x2738F,20,rsdGPSTRAIL_curve163,,unknown
160691,0x273B3,20,rsdGPSTRAIL_curve164,,unknown
160727,0x273D7,20,rsdGPSTRAIL_curve165,,unknown
160763,0x273FB,20,rsdGPSTRAIL_curve166,,unknown
160799,0x2741F,20,rsdGPSTRAIL_curve168,,unknown
160833,0x27441,35,"o""rsdGPSTRAIL_curve333rebuiltCurve1",,unknown
160882,0x27472,35,"o""rsdGPSTRAIL_curve334rebuiltCurve1",,unknown
160931,0x274A3,49,o0rsdGPSTRAIL_curve329rebuiltCurve1detachedCurve2,,unknown
160994,0x274E2,35,"o""rsdGPSTRAIL_curve330rebuiltCurve1",,unknown
161043,0x27513,35,"o""rsdGPSTRAIL_curve331rebuiltCurve1",,unknown
161092,0x27544,35,"o""rsdGPSTRAIL_curve332rebuiltCurve1",,unknown
161141,0x27575,35,"o""rsdGPSTRAIL_curve206rebuiltCurve1",,unknown
161192,0x275A8,20,rsdGPSTRAIL_curve207,,unknown
161228,0x275CC,20,rsdGPSTRAIL_curve208,,unknown
161262,0x275EE,35,"o""rsdGPSTRAIL_curve209rebuiltCurve1",,unknown
161313,0x27621,20,rsdGPSTRAIL_curve210,,unknown
161349,0x27645,20,rsdGPSTRAIL_curve213,,unknown
161385,0x27669,20,rsdGPSTRAIL_curve460,,unknown
161419,0x2768B,35,"o""rsdGPSTRAIL_curve337rebuiltCurve1",,unknown
161470,0x276BE,20,rsdGPSTRAIL_curve129,,unknown
161504,0x276E0,35,"o""rsdGPSTRAIL_curve128rebuiltCurve1",,unknown
161553,0x27711,48,o/rsdGPSTRAIL_curve324rebuiltCurve1rebuiltCurve1,,unknown
161615,0x2774F,35,"o""rsdGPSTRAIL_curve377rebuiltCurve1",,unknown
161664,0x27780,48,o/rsdGPSTRAIL_curve325rebuiltCurve1rebuiltCurve1,,unknown
161726,0x277BE,62,o=rsdGPSTRAIL_curve325rebuiltCurve1detachedCurve2rebuiltCurve1,,unknown
161802,0x2780A,48,o/rsdGPSTRAIL_curve326rebuiltCurve1rebuiltCurve1,,unknown
161866,0x2784A,20,rsdGPSTRAIL_curve129,,unknown
161900,0x2786C,35,"o""rsdGPSTRAIL_curve128rebuiltCurve1",,unknown
161951,0x2789F,20,rsdGPSTRAIL_curve127,,unknown
161985,0x278C1,35,"o""rsdGPSTRAIL_curve126rebuiltCurve1",,unknown
162036,0x278F4,20,rsdGPSTRAIL_curve125,,unknown
162072,0x27918,20,rsdGPSTRAIL_curve124,,unknown
162108,0x2793C,20,rsdGPSTRAIL_curve123,,unknown
162144,0x27960,20,rsdGPSTRAIL_curve122,,unknown
162180,0x27984,20,rsdGPSTRAIL_curve121,,unknown
